Name,Date,Previous Names,Capital,Government,Languages
Argentina,1816,,Buenos Aires,Federal Republic,Spanish Italian German
Bolivia,1825,Alto-Peru,La Paz,Republic,Spanish Aymara Quechua Guarani
Bouvet Island,,,,Colony (Norway),
Brazil,1822,,Brasilia,Federal Republic,Portuguese Tupi Arawak Guarani
Chile,1818,,Santiago,Republic,Spanish German Mapuche
Colombia,1819,New Granada,Bogota,Republic,Spanish Arawak Carib
Ecuador,1830,New Granada,Quito,Republic,Spanish Quechua
Falkland Islands,,,Stanley,Dependency (UK),English
French Guiana,,,Cayenne,Colony (France),French
Guyana,,,Georgetown,Constitutional Monarchy,English Arawak
Paraguay,1811,,Asuncion,Republic,Spanish Guarani
Peru,1824,,Lima,Republic,Spanish Quechua
South Georgia,,,Grytviken,Dependency (UK),
Suriname,,,Paramaribo,Republic,Dutch Pidgin English
Uruguay,1828,,Montevideo,Republic,Spanish
Venezuela,1821,New Grenada,Caracas,Republic,Spanish
