Mathematician,Year of PhD,Granting Institution,Supervisor,Thesis
Keith F. Taylor,1975,University of Alberta,Anthony To-Ming Lau,The Structure of the Regular Representation of a Locally Compact Group
Anthony To-Ming Lau,1969,University of British Columbia,Edmond E. Granirer,Topological Semigroups
Edmond E. Granirer,1962,Hebrew University,Harry Kesten,On Amenable Semigroups with a Finite Dimensional Set of Invariant Mean
Harry Kesten,1958,Cornell University,Mark Kac,Symmetric Random Walks on Groups
Mark Kac,1937,University of Lw?w,Hugo Steinhaus,unknown
Hugo Steinhaus,1911,Georg-August-Universit?t G?ttingen,David Hilbert,Neue Anwendungen des Dirichlet'schen Prinzips
David Hilbert,1885,Universit?t K?nigsberg,C. L. Ferdinand Lindemann,"?ber invariante Eigenschaften specieller bin?rer Formen, insbesondere der Kugelfunctionen"
C. L. Ferdinand Lindemann,1873,Friedrich-Alexander-Universit?t Erlangen-N?rnberg,C. Felix Klein,?ber unendlich kleine Bewegungen und ?ber Kraftsysteme bei allgemeiner projektivischer Ma?bestimmung
C. Felix Klein,1868,Rheinische Friedrich-Wilhelms-Universit?t Bonn,Julius Pl?cker and Rudolf Lipschitz,?ber die Transformation der allgemeinen Gleichung des zweiten Grades zwischen Linien-Koordinaten auf eine kanonische Form
Julius Pl?cker,1823,Philipps - Universit?t Marburg,Christian Gerling,Generalem analyeseos applicationem ad ea quae geometriae altioris et mechanicae basis et fundamenta sunt e serie Tayloria deducit
Christian Ludwig Gerling,1812,Georg-August-Universit?t G?ttingen,Carl Friedrich Gauss,Methodi proiectionis orthographicae usum ad calculos parallacticos facilitandos explicavit simulque eclipsin solarem die
Carl Friedrich Gauss,1799,Universit?t Helmstedt,Johann Friedrich Pfaff,Demonstratio nova theorematis omnem functionem algebraicam rationalem integram unius variabilis in factores reales primi vel secundi gradus resolvi posse
Johann Friedrich Pfaff,1786,Georg-August-Universit?t G?ttingen,Abraham Gotthelf Kaestner,Commentatio de ortibus et occasibus siderum apud auctores classicos commemoratis
Abraham Gotthelf Kaestner,1739,Universit?t Leipzig,Christian August Hausen,Theoria radicum in aequationibus
Christian August Hausen,1713,Martin-Luther-Universit?t Halle-Wittenberg,Christian Andreas Siber,Ex Philologicis De Asiarchis
Christian Andreas Siber,1682,Martin-Luther-Universit?t Halle-Wittenberg,unknown,De stylo Novi Testamenti Graeco
Rudolf Lipschitz,1853,Universit?t Berlin,Gustav Dirichlet and Martin Ohm,Determinatio status magnetici viribus inducentibus commoti in ellipsoide
Gustav Peter Lejeune Dirichlet,1827,Rheinische Friedrich-Wilhelms-Universit?t Bonn,Simeon Poisson and Jean-Baptiste Fourier,unknown
Simeon Denis Poisson,unknown,unknown,Joseph Lagrange,unknown
Jean-Baptiste Fourier,unknown,unknown,Joseph Louis Lagrange,unknown
Joseph Louis Lagrange,unknown,unknown,Leonhard Euler,unknown
Leonhard Euler,1726,Universit?t Basel,Johann Bernoulli,unknown
Johann Bernoulli,1694,unknown,Jacob Bernoulli,unknown
Jacob Bernoulli,unknown,unknown,unknown,unknown
Martin Ohm,1811,Friedrich-Alexander-Universit?t Erlangen-N?rnberg,Karl Christian von Langsdorf,De elevatione serierum infinitarum secundi ordinis ad potestatem exponentis indeterminati
Karl Christian von Langsdorf,unknown,unknown,unknown,unknown
