Fans' Rank,Title,Year,Director(s),Overall Rank
76,12 Angry Men,1957,Sidney Lumet,154
9,2001: A Space Odyssey,1968,Stanley Kubrick,4
312,The 39 Steps,1935,Alfred Hitchcock,206
140,The 400 Blows,1959,Fran?ois Truffaut,71
89,8 1/2,1963,Federico Fellini,80
329,Adaptation.,2002,Spike Jonze,971
278,The Adventures of Robin Hood,1938,Michael Curtiz and William Keighley,153
158,The African Queen,1951,John Huston,120
208,Aguirre: The Wrath of God,1972,Werner Herzog,188
163,Airplane!,1980,"Jerry Zucker, Jim Abrahams, and David Zucker",175
386,Akira,1988,Katsuhiro ?tomo,302
404,Aladdin,1992,Ron Clements and John Musker,750
41,Alien,1979,Ridley Scott,38
47,Aliens,1986,James Cameron,65
81,All about Eve,1950,Joseph L. Mankiewicz,37
231,All Quiet on the Western Front,1930,Lewis Milestone,146
222,All the President's Men,1976,Alan J. Pakula,277
166,Almost Famous,2000,Cameron Crowe,571
66,Amadeus,1984,Milos Forman,141
470,Amarcord,1973,Federico Fellini,365
141,Am?lie,2001,Jean-Pierre Jeunet,182
25,American Beauty,1999,Sam Mendes,111
204,American Graffiti,1973,George Lucas,198
129,American History X,1998,Tony Kaye,706
422,Amores perros,2000,Alejandro Gonz?lez I??rritu,748
286,Andrei Rublev,1966,Andrei Tarkovsky,236
215,Animal House,1978,John Landis,299
39,Annie Hall,1977,Woody Allen,25
116,The Apartment,1960,Billy Wilder,127
10,Apocalypse Now,1979,Francis Ford Coppola,13
221,Apollo 13,1995,Ron Howard,485
483,Armageddon,1998,Michael Bay,733
444,Army of Darkness,1992,Sam Raimi,1360
347,Arsenic and Old Lace,1944,Frank Capra,686
227,As Good as It Gets,1997,James L. Brooks,635
376,L'Atalante,1934,Jean Vigo,189
301,Austin Powers: International Man of Mystery,1997,Jay Roach,401
291,L'Avventura,1960,Michelangelo Antonioni,196
350,Babe,1995,Chris Noonan,372
60,Back to the Future,1985,Robert Zemeckis,91
366,Back to the Future Part II,1989,Robert Zemeckis,1067
499,Back to the Future Part III,1990,Robert Zemeckis,1192
280,Badlands,1973,Terrence Malick,249
241,Barry Lyndon,1975,Stanley Kubrick,355
321,Barton Fink,1991,Joel Coen,907
161,Batman,1989,Tim Burton,451
500,Batman Begins,2005,Christopher Nolan,592
469,Batman Returns,1992,Tim Burton,1296
187,The Battleship Potemkin,1925,Sergei M. Eisenstein,74
322,A Beautiful Mind,2001,Ron Howard,621
198,Beauty and the Beast,1991,Gary Trousdale and Kirk Wise,246
132,Being John Malkovich,1999,Spike Jonze,319
282,Being There,1979,Hal Ashby,459
396,Belle de Jour,1967,Luis Bu?uel,274
110,Ben-Hur,1959,William Wyler,140
194,The Best Years of Our Lives,1946,William Wyler,126
124,The Bicycle Thief,1948,Vittorio De Sica,67
416,Big,1988,Penny Marshall,608
410,Big Fish,2003,Tim Burton,1258
100,The Big Lebowski,1998,Joel Coen,173
145,The Big Sleep,1946,Howard Hawks,163
190,The Birds,1963,Alfred Hitchcock,262
417,The Birth of a Nation,1915,D.W. Griffith,161
430,Black Hawk Down,2001,Ridley Scott,866
30,Blade Runner,1982,Ridley Scott,21
434,The Blair Witch Project,1999,Daniel Myrick and Eduardo S?nchez,283
212,Blazing Saddles,1974,Mel Brooks,224
326,Blood Simple,1984,Joel Coen,479
274,Blow-Up,1966,Michelangelo Antonioni,266
90,Blue Velvet,1986,David Lynch,59
237,The Blues Brothers,1980,John Landis,293
87,Bonnie and Clyde,1967,Arthur Penn,48
170,Boogie Nights,1997,Paul Thomas Anderson,373
157,Das Boot,1981,Wolfgang Petersen,194
414,Born on the Fourth of July,1989,Oliver Stone,781
401,Bowling for Columbine,2002,Michael Moore,840
383,Boyz N the Hood,1991,John Singleton,568
45,Braveheart,1995,Mel Gibson,116
71,Brazil,1985,Terry Gilliam,77
284,Breakfast at Tiffany's,1961,Blake Edwards,203
207,The Breakfast Club,1985,John Hughes,346
418,Breaking the Waves,1996,Lars von Trier,456
188,Breathless,1960,Jean-Luc Godard,81
269,Bride of Frankenstein,1935,James Whale,121
65,The Bridge on the River Kwai,1957,David Lean,57
372,Brief Encounter,1945,David Lean,148
173,Bringing Up Baby,1938,Howard Hawks,52
98,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,114
