Title,Category,Rating,Release
Sonic Chronicles: The Dark Brotherhood,RPG,95%,TBA
Mario Kart DS,Driving,93%,11/13/05
Castlevania: Dawn of Sorrow,Action,92%,10/03/05
Advance Wars: Dual Strike,Strategy,92%,08/21/05
Kirby Super Star Ultra,Action,90%,09/22/08
Osu! Tatakae! Ouendan!,Music,89%,07/27/05
New Super Mario Bros.,Platform,88%,05/14/06
Bomberman Land Touch!,Puzzle,88%,11/06/06
Meteos,Puzzle,88%,06/26/05
Picross DS,Puzzle,88%,07/29/07
Mario & Luigi: Partners in Time,RPG,89%,11/27/05
Kirby: Canvas Curse,Platform,89%,06/12/05
Metroid Prime: Hunters,Shooter,85%,03/19/06
Pokemon Pearl,RPG,86%,04/21/07
Pokemon Diamond,RPG,86%,04/21/07
Elite Beat Agents,Music,86%,11/05/06
Animal Crossing: Wild World,RPG,86%,12/04/05
Spectrobes: Beyond the Portals,Action,85%,10/07/08
Nintendogs: Chihuahua and Friends,Other,85%,08/21/05
Tetris DS,Puzzle,85%,03/19/06
Nintendogs: Labrador and Friends,Other,85%,08/21/05
Nintendogs: Dachshund and Friends,Other,85%,08/21/05
Clubhouse Games,Cards,84%,10/08/06
Shin Megami Tensei: Devil Survivor,RPG,84%,06/22/09
Age of Empires: Age of Kings,Strategy,83%,02/13/06
Dragon Quest Heroes: Rocket Slime,RPG,83%,09/18/06
Tony Hawk's American Sk8land,Sports,83%,11/14/05
Mario vs. Donkey Kong: Minis March Again!,Action,83%,06/07/09
Asphalt Urban GT,Sports,66%,11/16/04
Trauma Center: Under the Knife,Action,82%,10/03/05
Sonic Rush,Action,81%,11/14/05
Phoenix Wright: Ace Attorney,Adventure,82%,10/10/05
"New York Times Crosswords, The",Puzzle,81%,05/21/07
Super Mario 64 DS,Platform,86%,11/19/04
Metroid Prime Pinball,Pinball,82%,10/23/05
WarioWare Touched!,Puzzle,81%,02/13/05
Mega Man ZX,Platform,81%,09/11/06
Phoenix Wright: Ace Attorney Trials and Tribulations,Simulation,81%,10/22/07
Star Wars: The Force Unleashed,Action,80%,09/16/08
Jam with the Band,Music,80%,TBA
SimCity Creator,Simulation,80%,09/22/08
Etrian Odyssey,RPG,80%,05/14/07
Mr. Driller Drill Spirits,Puzzle,71%,11/29/04
Chibi-Robo Park Patrol,Action,80%,10/01/07
Puyo Pop Fever,Puzzle,79%,05/02/05
Madden NFL 2005,Sports,69%,11/16/04
Hotel Dusk Room 215,Adventure,79%,01/21/07
Yoshi's Island DS,Platform,78%,11/12/06
Ridge Racer DS,Driving,61%,12/06/04
Sonic Rush Adventure,Platform,78%,09/17/07
Super Robot Taisen OG Saga: Endless Frontier,RPG,78%,04/28/09
Ultimate Spider-Man,Action,80%,09/18/05
Bomberman DS,Puzzle,77%,06/20/05
Yoshi's Touch & Go,Platform,74%,03/13/05
Ping Pals,Other,22%,12/06/04
Final Fantasy III,RPG,77%,11/13/06
"Animaniacs: Lights, Camera, Action!",Action,77%,11/13/05
Nintendogs: Dalmatian and Friends,Other,77%,10/15/06
Mega Man ZX Advent,Adventure,77%,10/14/07
Donkey Kong Jungle Climber,Action,76%,09/14/07
Spectrobes,RPG,76%,03/12/07
Spider-Man 2,Action,64%,11/16/04
Brain Age: Train Your Brain in Minutes A Day,Puzzle,76%,04/16/06
Need for Speed Carbon,Driving,76%,10/30/06
Front Mission,Strategy,76%,09/30/07
Zoo Keeper,Puzzle,76%,01/16/05
Star Wars Episode III: Revenge of the Sith,Action,77%,05/03/05
"Dark Spire, The",RPG,76%,04/13/09
Sprung,Adventure,47%,12/07/04
Pokemon Trozei,Puzzle,75%,03/05/06
Digimon World DS,RPG,75%,11/06/06
"Legend of Kage 2, The",Action,75%,10/07/08
Asphalt: Urban GT 2,Driving,75%,11/13/06
My Frogger: Toy Trials,Action,75%,11/06/06
SpongeBob Squarepants: The Yellow Avenger,Action,75%,11/06/05
That's So Raven: Psychic on the Scene,Adventure,75%,10/30/06
FIFA 07,Sports,75%,10/02/06
Custom Robo Arena,Fighting,75%,03/18/07
Viewtiful Joe Double Trouble,Action,75%,11/17/05
Meteos: Disney Magic Edition,Puzzle,75%,02/26/07
Super Princess Peach,Platform,74%,02/26/06
Final Fantasy Fables: Chocobo Tales,RPG,74%,04/02/07
Gunpey,Puzzle,74%,11/13/06
"Sims 2, The",Strategy,74%,10/23/05
Big Brain Academy,Puzzle,74%,06/04/06
Luminous Arc,RPG,74%,08/13/07
Polarium,Puzzle,75%,04/17/05
Pac-Pix,Puzzle,76%,04/25/05
Tony Hawk's Downhill Jam,Sports,74%,10/23/06
Pac 'n Roll,Action,74%,08/22/05
Phoenix Wright: Ace Attorney Justice for All,Adventure,73%,01/15/07
Madagascar,Platform,73%,05/22/05
Bust-A-Move DS,Puzzle,73%,12/12/05
Feel the Magic: XY/XX,Adventure,74%,10/15/04
2006 FIFA World Cup,Sports,73%,04/23/06
Konami Classics Series: Arcade Hits,Compilation,73%,03/26/07
Prism: Light the Way,Puzzle,73%,10/15/07
True Swing Golf,Sports,72%,01/22/06
Nanostray,Shooter,72%,07/18/05
Open Season,Platform,72%,09/18/06
Star Fox Command,Action,72%,08/27/06
Dragon Ball Z: Supersonic Warriors 2,Fighting,72%,11/19/05
World Championship Poker,Cards,72%,04/13/05
Pokemon Mystery Dungeon: Blue Rescue Team,RPG,72%,09/17/06
FIFA 06,Sports,72%,10/03/05
Trace Memory,Adventure,72%,09/25/05
Yu-Gi-Oh! Nightmare Troubadour,Puzzle,72%,08/29/05
Drawn to Life,Adventure,71%,09/09/07
Lost in Blue,RPG,72%,09/26/05
"Legend of Spyro: A New Beginning, The",Action,71%,10/09/06
Electroplankton,Puzzle,73%,01/07/06
Contact,RPG,70%,10/18/06
Mario vs Donkey Kong 2: March of the Minis,Platform,70%,09/24/06
Izuna: Legend of the Unemployed Ninja,RPG,70%,02/19/07
Dig Dug: Digging Strike,Platform,69%,10/17/05
Disgaea DS,RPG,70%,09/23/08
Disney's Chicken Little: Ace in Action,Action,70%,11/08/06
PictoChat,Puzzle,70%,TBA
Point Blank DS,Shooter,70%,06/12/06
Finding Nemo: Escape to the Big Blue,Puzzle,70%,02/08/06
Pokemon Ranger,RPG,70%,10/29/06
Avatar: The Last Airbender,Action,70%,10/09/06
Mega Man Star Force 3: Black Ace,Action,70%,06/29/09
Egg Monster Heroes,Action,70%,TBA
Mega Man Star Force 3: Red Joker,Action,70%,06/29/09
Frogger Helmet Chaos,Platform,70%,09/26/05
Nervous Brickdown,Puzzle,70%,06/25/07
Break 'Em All,Puzzle,70%,06/19/06
Resident Evil: Deadly Silence,Action,69%,02/06/06
Magical Starsign,RPG,69%,10/22/06
Namco Museum DS,Compilation,69%,09/17/07
Mega Man Battle Network 5: Double Team,Platform,69%,10/31/05
Need for Speed Underground 2,Driving,69%,05/09/05
Disney's Kim Possible: Kimmunicator,Action,69%,11/08/05
Madden NFL 07,Sports,69%,08/21/06
Harvest Moon DS,Strategy,68%,09/11/06
Over the Hedge,Platform,68%,05/04/06
Harry Potter and the Goblet of Fire,Action,68%,11/07/05
Tamagotchi Connection: Corner Shop 2,Strategy,67%,11/13/06
Tak: The Great Juju Challenge,Platform,70%,09/18/05
Magnetica,Puzzle,67%,06/04/06
Monster House,Action,67%,07/17/06
"URBZ: Sims in the City, The",Strategy,66%,11/16/04
Flash Focus: Vision Training in Minutes a Day,Puzzle,66%,10/14/07
Mario Hoops 3 On 3,Sports,66%,09/10/06
Cooking Mama,Other,66%,09/11/06
Disney's American Dragon: Jake Long,Action,65%,10/11/06
Naruto: Path of the Ninja 2,RPG,65%,10/14/08
Lost in Blue: Shipwrecked,Action,65%,09/23/08
Eragon,Action,65%,11/13/06
"Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The",Action,65%,11/13/05
Transformers: Autobots,Action,65%,06/18/07
Lost Magic,RPG,68%,04/24/06
Transformers: Decepticons,Action,64%,06/18/07
Wario: Master of Disguise,Action,64%,03/04/07
"Rub Rabbits!, The",Puzzle,67%,02/06/06
GoldenEye: Rogue Agent,Shooter,65%,06/12/05
Scooby-Doo! Unmasked,Platform,63%,10/16/05
Fossil League: Dino Tournament Championship,RPG,63%,01/15/07
Deep Labyrinth,RPG,63%,08/14/06
Star Trek: Tactical Assault,Strategy,62%,10/23/06
Children of Mana,RPG,62%,10/29/06
Lost In Blue 2,Adventure,62%,03/26/07
Super Monkey Ball: Touch & Roll,Puzzle,64%,02/20/06
Madden NFL 06,Sports,62%,08/07/05
Sudoku Gridmaster,Puzzle,61%,06/25/06
Honeycomb Beat,Puzzle,61%,03/26/07
Tiger Woods PGA Tour 2005,Sports,61%,12/13/04
Mage Knight: Destiny's Soldier,Strategy,61%,09/25/06
Danny Phantom: Urban Jungle,Platform,60%,09/18/06
Scurge: Hive,Action,60%,10/23/06
Texas Hold 'Em Poker DS,Cards,60%,11/01/05
Spider-Man: Battle for New York,Action,60%,11/13/06
Worms: Open Warfare,Strategy,60%,03/21/06
Pirates of the Caribbean: Dead Man's Chest,Action,60%,06/26/06
Shrek SuperSlam,Fighting,59%,10/24/05
Battles of Prince of Persia,Strategy,58%,12/05/05
Mech Assault: Phantom War,Shooter,58%,09/11/06
Nacho Libre,Action,57%,10/23/06
Winning Eleven: Pro Evolution Soccer 2007,Sports,57%,02/05/07
Lunar: Dragon Song,RPG,59%,09/26/05
"Incredibles: Rise of the Underminer, The",Platform,56%,10/31/05
Rayman DS,Platform,56%,03/23/05
SEGA Casino,Cards,55%,11/14/05
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Action,55%,10/31/05
SpongeBob SquarePants: Creature from the Krusty Krab,Platform,55%,10/15/06
Ice Age 2,Platform,55%,03/13/06
Guilty Gears: Dust Strikers,Fighting,55%,04/24/06
"Flower, Sun, and Rain",Other,55%,06/15/09
Dynasty Warriors DS: Fighter's Battle,Fighting,55%,07/23/07
Cake Mania,Puzzle,55%,04/02/07
Tom and Jerry Tales,Puzzle,55%,10/30/06
SBK: Snowboard Kids,Sports,55%,11/21/05
Spyro Shadow Legacy,Platform,54%,10/17/05
Dynasty Warriors,Action,53%,TBA
Nicktoons Unite!,Platform,53%,01/09/06
Tao's Adventure: Curse of the Demon Seal,RPG,53%,03/20/06
Snood 2: On Vacation,Puzzle,53%,11/07/05
Touch Detective,Puzzle,53%,10/23/06
Tamagotchi Connection: Corner Shop,Strategy,51%,01/30/06
Rainbow Islands Revolution,Platform,51%,09/28/06
Flushed Away,Platform,50%,10/17/06
"Suite Life of Zack & Cody: Tipton Trouble, The",Action,50%,09/18/06
Golden Nugget Casino DS,Cards,50%,02/27/06
Strawberry Shortcake: Strawberryland Games,Action,50%,10/16/06
Happy Feet,Music,50%,11/13/06
Rayman Raving Rabbids,Platform,50%,03/05/07
Top Spin 2,Sports,50%,03/28/06
LEGO Star Wars II: The Original Trilogy,Action,49%,09/11/06
Brain Boost: Gamma Wave,Puzzle,49%,11/14/06
Ford Racing 3,Driving,49%,12/06/05
Tom Clancy's Splinter Cell Chaos Theory,Stealth,50%,06/27/05
X-Men: The Official Game,Action,48%,05/15/06
Cars,Driving,48%,06/05/06
"Sims 2: Pets, The",Strategy,48%,10/30/06
Superman Returns: The Videogame,Action,48%,11/19/06
Justice League Heroes,RPG,47%,10/16/06
Need for Speed Most Wanted,Driving,47%,11/14/05
Monopoly / Boggle / Yahtzee / Battleship,Compilation,46%,12/23/05
Zoo Tycoon DS,Strategy,45%,10/09/05
Pokemon Dash,Driving,45%,03/13/05
Robots,Platform,45%,02/22/05
Bratz: Forever Diamondz,Action,45%,09/17/06
Retro Atari Classics,Compilation,45%,03/14/05
Space Invaders Revolution,Action,44%,09/19/05
Freedom Wings,Simulation,44%,08/20/06
Greg Hastings' Tournament Paintball Max'd,Sports,44%,01/29/06
Crash Boom Bang!,Puzzle,43%,10/09/06
Top Gun,Simulation,43%,04/25/06
Konductra,Puzzle,42%,10/24/06
Blades of Thunder 2,Simulation,42%,04/12/06
Burnout Legends,Driving,41%,11/28/05
Alex Rider: Stormbreaker,Action,40%,09/26/06
Arthur and the Invisibles,Action,40%,01/08/07
Big Mutha Truckers,Driving,40%,10/03/05
Miss Spider: Harvest Time Hop and Fly,Action,40%,05/29/06
Super Black Bass Fishing,Sports,39%,03/27/06
Tenchu: Dark Secret,Action,39%,08/20/06
Brain Boost: Beta Wave,Puzzle,39%,11/14/06
FIFA Street 2,Sports,38%,02/27/06
Pac-Man World 3,Platform,36%,12/05/05
Bubble Bobble Revolution,Puzzle,36%,09/28/06
Hi Hi Puffy AmiYumi: The Genie & the Amp,Action,35%,06/26/06
ATV Quad Frenzy,Driving,31%,11/13/05
Dragon Booster,Action,31%,12/05/05
Marvel Nemesis: Rise of the Imperfects,Fighting,29%,10/10/05
Peter Jackson's King Kong,Action,29%,11/20/05
Real Time Conflict: Shogun Empires,Strategy,29%,11/20/05
Dino Master,Action,25%,05/23/06
Sudoku Mania,Puzzle,24%,06/22/06
Elf Bowling 1 & 2,Sports,15%,11/14/05
Monster Trucks DS,Driving,10%,11/22/05
Professional Fisherman's Tour: Northern Hemisphere,Sports,n/a,08/27/07
Garfield's Nightmare,Action,n/a,08/27/07
Tiger Woods PGA Tour 08,Sports,n/a,08/27/07
Jam Sessions,Music,n/a,09/10/07
Juiced 2: Hot Import Nights,Driving,n/a,09/16/07
Shin Megami Tensei DS,RPG,n/a,TBA
Digimon World: Dawn,RPG,n/a,09/17/07
Digimon World: Dusk,RPG,n/a,09/17/07
AniMates,Simulation,n/a,09/16/07
Fantastic 4: Rise of the Silver Surfer,Action,n/a,06/14/07
MySims,Strategy,n/a,09/17/07
Turn it Around,Puzzle,n/a,08/20/07
Brain Age 2: More Training in Minutes a Day,Puzzle,n/a,08/19/07
Chameleon: To Dye For!,Puzzle,n/a,07/29/07
Bratz Ponyz,Adventure,n/a,07/29/07
Spelling Challenges and More!,Puzzle,n/a,09/10/07
Glory Days 2,Strategy,n/a,07/30/07
Worms: Open Warfare 2,Strategy,n/a,09/03/07
Pet Alien,Action,n/a,08/05/07
High School Musical: Makin' the Cut,Music,n/a,08/06/07
Mega Man Star Force: Dragon,RPG,n/a,08/06/07
Mega Man Star Force: Leo,RPG,n/a,08/06/07
Mobile Suit Gundam Seed,Action,n/a,TBA
Mega Man Star Force: Pegasus,RPG,n/a,08/06/07
ChoroQ,Driving,n/a,TBA
Rune Factory: Fantasy Harvest Moon,RPG,n/a,08/13/07
Madden NFL 08,Sports,n/a,08/13/07
Heroes of Mana,Strategy,n/a,08/13/07
Operation: Vietnam,Shooter,n/a,08/13/07
Ultimate Puzzle Games: Sudoku Edition,Puzzle,n/a,07/23/07
Nancy Drew,Adventure,n/a,09/17/07
Crayola Treasure Adventures,Puzzle,n/a,09/27/07
"Legend of Spyro: The Eternal Night, The",Action,n/a,10/01/07
Holly Hobbie & Friends,Party,n/a,10/01/07
FIFA Soccer 08,Sports,n/a,10/08/07
Call of Duty 4: Modern Warfare,Shooter,n/a,11/04/07
"Cheetah Girls: Pop Star Sensations, The",Music,n/a,10/08/07
Touch Detective 2 1/2,Adventure,n/a,10/08/07
Flipper Critters,Pinball,n/a,10/08/07
Bleach: The Blade of Fate,Fighting,n/a,10/08/07
Thrillville: Off the Rails,Strategy,n/a,10/08/07
Backyard Football 2008,Sports,n/a,10/01/07
Wild Petz: Dolphinz,Other,n/a,10/15/07
Tony Hawk's Proving Ground,Sports,n/a,10/14/07
Avatar: The Burning Earth,Action,n/a,10/15/07
"Bee Game, The",Action,n/a,10/14/07
Fish Tycoon,Strategy,n/a,10/15/07
Hannah Montana: Music Jam,Music,n/a,10/15/07
Kurupoto Cool Cool Stars,Puzzle,n/a,09/30/07
Moonlight Fables,Action,n/a,TBA
Jackass: The Game,Action,n/a,01/07/08
World Series of Poker 2008: Battle for the Bracelets,Cards,n/a,11/05/07
Math Play,Other,n/a,09/23/07
Original Frisbee Disc Sports: Ultimate & Golf,Sports,n/a,09/23/07
Xenosaga DS,RPG,n/a,TBA
Animal Genius,Puzzle,n/a,09/24/07
Backyard Hockey,Sports,n/a,09/24/07
Backyard Basketball,Sports,n/a,09/24/07
Lunar Knights,RPG,n/a,02/05/07
Final Fantasy: Crystal Chronicles,RPG,n/a,TBA
Balls of Fury,Sports,n/a,10/24/07
Master Jin Jin's IQ Challenge,Puzzle,n/a,10/07/07
Kenshuui Tendo Dokuta,Puzzle,n/a,TBA
Crash of the Titans,Action,n/a,10/01/07
Spider-Man: Friend or Foe,Action,n/a,10/01/07
Race Driver: Create & Race,Driving,n/a,09/30/07
Europa Universalis II,Strategy,n/a,TBA
Power Rangers Super Legends,Action,n/a,10/15/07
Vegas Casino High 5!,Cards,n/a,07/02/07
InuYasha: Secret of the Divine Jewel,RPG,n/a,01/22/07
Major League Baseball 2K6,Sports,n/a,12/28/06
DS Air,Action,n/a,TBA
Diddy Kong Racing,Driving,n/a,02/04/07
Death Jr and the Science Fair of Doom,Platform,n/a,05/21/07
Hamsterz Life,Simulation,n/a,11/27/06
Cartoon Network Racing,Driving,n/a,11/27/06
Lionel Trains: On Track,Simulation,n/a,11/26/06
Totally Spies! 2: Undercover,Action,n/a,11/20/06
