Game,Genre,Platform,Release
Aliens: Colonial Marines,Shooter,PS3,Late 2008
All-Pro Football 2K8,Sports,PS3,07/16/07
Alone in the Dark,Survival Horror,PS3,11/18/08
Alpha Protocol,RPG,PS3,TBA 2009
Army Of Two,Action,PS3,03/04/08
Army of Two: The 40th Day,Action,PS3,01/12/10
Assassin's Creed,Action,PS3,11/13/07
Batman: Arkham Asylum,Action,PS3,08/25/09
Bioshock,Action,PS3,10/21/08
Blacksite: Area 51,Action,PS3,12/10/07
Bladestorm: The Hundred Years War,Real Time Strategy,PS3,11/06/07
Blazing Angels: Squadrons of WWII,Flight - Action,PS3,12/12/06
Blur,Racing,PS3,05/25/10
Borderlands,Action,PS3,Holiday 2008
Brothers in Arms: Hell's Highway,First Person Shooter,PS3,09/23/08
Burnout Paradise,Racing,PS3,01/22/08
Call of Duty 3,First Person Shooter,PS3,12/14/06
Call of Duty 4: Modern Warfare,Shooter,PS3,11/05/07
Call of Duty: World at War,First Person Shooter,PS3,11/11/08
Calling All Cars,Action,PS3,05/10/07
Civilization Revolution,Strategy,PS3,Spring 2008
College Hoops 2K8,Sports,PS3,11/19/07
Conan,Action,PS3,10/23/07
Condemned 2: Bloodshot,Action,PS3,03/11/08
Conflict: Denied Ops,Shooter,PS3,02/12/08
Damnation,Action,PS3,TBA 2008
Dark Sector,Action,PS3,03/25/08
Darksiders: Wrath of War,Action,PS3,TBA 2008
Dead Space,Action,PS3,10/20/08
Destroy All Humans! Path of the Furon,Action,PS3,Q1 2008
Devil May Cry 4,Action,PS3,02/05/08
DiRT,Racing,PS3,09/11/07
DJ Hero,Music,PS3,09/27/09
Dynasty Warriors 6,Action,PS3,02/19/08
Eternal Sonata,RPG,PS3,10/21/08
F.E.A.R.,Shooter,PS3,04/24/07
Facebreaker,Sports,PS3,09/03/08
Fallout 3,RPG,PS3,10/28/08
Fantastic 4: Rise of the Silver Surfer,Action,PS3,06/15/07
Far Cry 2,First Person Shooter,PS3,10/21/08
Fatal Inertia,Racing Action,PS3,May 2008
FIFA Soccer 08,Sports,PS3,10/09/07
Fight Night Round 3,Sports,PS3,12/05/06
Final Fantasy XIII,RPG,PS3,TBA 2009
Folklore,RPG,PS3,10/09/07
Fracture,Action,PS3,10/07/08
Full Auto 2: Battlelines,Racing Action,PS3,12/12/06
Genji: Days Of The Blade,Action,PS3,11/17/06
Ghostbusters: The Video Game,Action,PS3,TBA
God of War III,Action,PS3,TBA
God of War III,Action,PS3,03/06/10
Gran Turismo 5 Prologue,Racing,PS3,04/15/08
Grand Theft Auto IV,Action,PS3,04/29/08
Guitar Hero III: Legends of Rock,Music,PS3,10/29/07
Guitar Hero World Tour,Music,PS3,10/26/08
Guitar Hero: Aerosmith,Music,PS3,06/29/08
Guitar Hero: Metallica,Music,PS3,03/29/09
Harry Potter and the Order of the Phoenix,Adventure,PS3,06/25/07
Haze,Action,PS3,05/20/08
Heavenly Sword,Action,PS3,09/12/07
Heavy Rain,Adventure,PS3,02/23/10
Hellboy: Science of Evil,Action,PS3,TBA 2008
Hot Shots Golf: Out of Bounds,Sports,PS3,03/18/08
Infamous,Action,PS3,TBA 2008
Iron Man,Action,PS3,05/02/08
James Bond 007 in Quantum of Solace,Action,PS3,11/04/08
Jericho,Actin,PS3,10/23/07
John Woo Presents Stranglehold,Action,PS3,10/29/07
Juiced 2: Hot Import Nights,Racing,PS3,09/25/07
Kane & Lynch: Dead Men,Action,PS3,11/13/07
Killzone 2,Action,PS3,TBA 2008
Lair,Action,PS3,09/04/07
Legendary,Shooter,PS3,Summer 2008
LEGO Batman: The Videogame,Action,PS3,09/23/08
Little Big Planet,Action,PS3,10/21/08
