World rank,City,Country,City population,Metro population,Mayor
n/r,Aachen,Germany,"259,000","1,240,000",Marcel Philipp
56,Abidjan,Ivory Coast,"3,800,000","4,000,000",Pierre Djйdji Amondji
451,ABU DHABI,UAE,"897,000",,Khalifa bin Zayed Al Nahyan
509,ABUJA,Nigeria,"779,000","900,000",Muhammad Adamu Aliero
529,Acapulco,Mexico,"718,000","880,000",Manuel Aсorve Bolaсos
192,ACCRA,Ghana,"1,605,000","2,756,000",Alfred Vanderpuije
484,Ad-Dammam,Saudi Arabia,"813,000","2,051,000",Dhaifallah al-'Utaybi
340,Adana,Turkey,"1,162,000","1,556,000",Aytaз Durak
70,ADDIS ABABA,Ethiopia,"3,385,000","4,568,000",Kuma Demeksa
296,Adelaide,Australia,"1,290,000",,Stephen Yarwood
184,Agra,India,"1,650,000","1,800,000",Anjula Singh Mahaur
558,Aguascalientes,Mexico,"664,000","701,000",Gabriel Arellano Espinoza
45,Ahmadabad,India,"4,525,000","6,168,000",Kanaji Thakor
282,Ahwaz,Iran,"1,338,000","1,500,000",Saeed Mombeini
n/r,Al-Hufuf,Saudi Arabia,"286,000","784,000",n/k
n/r,Albany,USA,"96,000","1,100,000",Gerald Jennings
120,Aleppo,Syria,"2,360,000","3,000,000",Ma'an Al-Shibli
52,Alexandria,Egypt,"4,110,000","4,350,000",Adel Labib
211,ALGIERS,Algeria,"1,520,000","3,354,000",Tayeb Zitouni
549,Aligarh,India,"680,000","1,116,000",n/k
320,Allahabad,India,"1,215,000","1,250,000",Jitendr Nath Singh
244,ALMATY,Kazakhstan,"1,420,000","1,500,000",Akhmetzhan Yesimov
146,AMMAN,Jordan,"1,919,000","2,524,000",Omar Maani
552,Amravati,India,"678,000","1,031,000",n/k
329,Amritsar,India,"1,195,000","1,300,000",Shawet Malik
515,AMSTERDAM,Netherlands,"762,000","1,536,000",Eberhard van der Laan
521,Ankang,China,"743,000",,n/k
57,ANKARA,Turkey,"3,764,000","4,000,000",Melih Gцkзek
322,Anqiu,China,"1,200,000",,n/k
297,Anshan,China,"1,290,000","2,404,000",n/k
447,ANTANANARIVO,Madagascar,"903,000","1,403,000",n/k
n/r,Antwerp,Belgium,"444,000","948,000",Patrick Janssens
233,Anyang,China,"1,450,000","3,000,000",Zhang Xiaodong
443,Arequipa,Peru,"905,000",,Simуn Balbuena Marroquнn
n/r,ASMARA,Eritrea,"392,000","881,000",n/k
496,ASTANA,Kazakhstan,"803,000",,Imangali Tasmagambetov
592,ASUNCION,Paraguay,"546,000","1,433,000",Evangelista Troche de Gallegos
518,ATHENS,Greece,"757,000","3,216,000",Giorgos Kaminis
598,Atlanta,USA,"538,000","3,500,000",Kasim Reed
n/r,Auckland,New Zealand,"428,000","1,333,000",Len Brown
n/r,Augsburg,Germany,"263,000",,Kurt Gribl
339,Aurangabad,India,"1,168,000",,Vijaya Rahatkar
548,Austin,USA,"681,000","1,185,000",Lee Leffingwell
32,Baghdad,Iraq,"6,050,000","6,500,000",Sabir al-Issawi
138,BAKU,Azerbaijan,"2,040,000","2,072,000",Hajibala Abutalybov
556,Baltimore,USA,"667,000","2,670,000",Stephanie C. Rawlings-Blake
158,BAMAKO,Mali,"1,809,000",,Adama B. Sangarй
522,Bandar Lampung,Indonesia,"743,000","1,123,000",n/k
106,Bandung,Indonesia,"2,510,000","3,829,000",Dada Rosada
33,Bangalore,India,"5,840,000","6,562,000",SK Nataraj
13,BANGKOK,Thailand,"9,100,000","11,970,000",Sukhumbhand Paribatra
560,BANGUI,Central African Republic,"652,000","789,000",n/k
413,Baoding,China,"997,000",,n/k
109,Baoshan,China,"2,500,000",,Xiong Qinghua
287,Baotou,China,"1,318,000","1,750,000",Hu Ercha
182,Barcelona,Spain,"1,673,000","3,890,000",Jordi Hereu
214,Barquisimeto,Venezuela,"1,500,000","1,500,000",Amalia Saez
294,Barranquilla,Colombia,"1,298,000","1,871,000",Alejandro Char Chaljub
168,Basrah,Iraq,"1,760,000","3,800,000",Jabbar Jaber Al-Latif
331,Bazhong,China,"1,186,000",,n/k
4,BEIJING,China,"12,460,000","17,550,000",Guo Jinlong
390,Beiliu,China,"1,050,000",,n/k
309,BEIRUT,Lebanon,"1,250,000","2,600,000",Abdel Mounim Ariss
251,Belem,Brazil,"1,409,000","1,913,000",Duciomar Costa
335,BELGRADE,Yugoslavia,"1,182,000","1,630,000",Dragan Dillas
114,Belo Horizonte,Brazil,"2,453,000","5,397,000",Marcio Lacerda
490,Bengbu,China,"809,000","3,470,000",Chen Qitao
226,Benghazi,Libya,"1,471,000","1,500,000",n/k
389,Benin,Nigeria,"1,051,000","1,052,000",n/k
473,Benxi,China,"830,000","1,567,000",Gang Rui
68,BERLIN,Germany,"3,432,000","3,943,000",Klaus Wowereit
583,Bhilai,India,"564,000","942,000",n/k
231,Bhopal,India,"1,458,000","1,600,000",Krishna Gaur
559,Bhubaneswar,India,"659,000","1,455,000",n/k
n/r,Bielefeld,Germany,"324,000","1,420,000",Peter Clausen
353,Bijie,China,"1,130,000","7,188,000",n/k
n/r,Bilbao,Spain,"351,000","879,000",Iсzki Azkuna
401,Birmingham,UK,"1,017,000","2,284,000",Mike Whitby
n/r,Birmingham,USA,"245,000","1,200,000",William A. Bell
513,BISHKEK,Kyrgyzstan,"765,000","800,000",Nariman Tuleyev
460,Bogor,Indonesia,"866,000",,Diani Budiarto
25,BOGOTA,Colombia,"7,320,000","8,361,000",Samuel Moreno Rojas
n/r,Bordeaux,France,"250,000","1,010,000",Alain Juppй
566,Boston,USA,"621,000","4,033,000",Thomas Menino
n/r,Bouakt,Ivory Coast,"531,000","775,000",n/k
275,Bozhou,China,"1,352,000",,Liu Jian
134,BRASILIA,Brazil,"2,089,000","2,090,000",Josй Roberto Arruda
n/r,BRATISLAVA,Slovak Republic,"431,000","550,000",Milan Ftбcnik
n/r,Braunschweig,Germany,"246,000",,Gert Hoffmann
352,BRAZZAVILLE,Congo Br,"1,133,000","1,134,000",n/k
590,Bremen,Germany,"547,000","1,009,000",Jens Bцhrnsen
204,Brisbane,Australia,"1,544,000","1,544,000",Campbell Newman
n/r,Bruges,Belgium,"117,000",,Patrick Moenaert
427,BRUSSELS,Belgium,"958,000","1,740,000",Freddy Thielemans
595,Bucaramanga,Colombia,"542,000","956,000",n/k
140,BUCHAREST,Romania,"1,994,000","2,151,000",Sorin Oprescu
465,Bucheon,South Korea,"850,000","850,000",n/k
175,BUDAPEST,Hungary,"1,712,000","2,503,000",Istvбn Tarlуs
6,BUENOS AIRES,Argentina,"11,655,000","12,924,000",Mauricio Macri
n/r,Buffalo,USA,"296,000","1,572,000",Byron Brown
553,Bulawayo,Zimbabwe,"676,000","676,000",Thaba Moyo
253,Bursa,Turkey,"1,400,000","3,190,000",Recep Altepe
63,Busan,South Korea,"3,600,000","4,292,000",Hur Nam-sik
21,CAIRO,Egypt,"7,764,000","15,546,000",Abdul Azim Wazir
416,Calgary,Canada,"988,000","1,080,000",Naheed Nenshi
104,Cali,Colombia,"2,525,000","2,801,000",Jorge Ivan Ospina
267,Caloocan,Philippines,"1,379,000",,Enrico Echiverri
386,Campinas,Brazil,"1,059,000","3,200,000",Hйlio de Oliveira Santos
66,Cape Town,South Africa,"3,497,000","7,280,000",Patricia de Lille
87,CARACAS,Venezuela,"2,762,000","3,478,000",Antonio Ledezma
452,Cartagena,Colombia,"893,000","1,240,000",Judith Pinedo
58,Casablanca,Morocco,"3,673,000","3,850,000",Mohammed Sajid
n/r,Catania,Italy,"337,000","831,000",n/k
520,Cebu City,Philippines,"747,000","1,198,000",Tomas R Osmena
449,Chandigarh,India,"901,000",,n/k
65,Changchun,China,"3,581,000","7,460,000",Cui Jie
254,Changde,China,"1,400,000","6,000,000",Chen Wenhao
89,Changsha,China,"2,744,000","6,140,000",Zhang Jiangfei
392,Changshu,China,"1,048,000",,Wang Xiang
n/r,Changweon,South Korea,"486,000","1,254,000",n/k
136,Changzhou,China,"2,086,000","3,570,000",Wang Weicheng
113,Chaoyang,China,"2,471,000",,Zhang Tiemin
585,Charlotte,USA,"559,000","1,466,000",Anthony Foxx
371,Chelyabinsk,Russia,"1,092,000","1,200,000",Mikhail Yurevich
n/r,Chemnitz,Germany,"243,000","1,082,000",Barbara Ludwig
49,Chengdu,China,"4,334,000","11,000,000",Ge Honglin
44,Chennai,India,"4,600,000","7,330,000",M Subramaniam
424,Chiba,Japan,"962,000","970,000",Toshihito Kumagai
82,Chicago,USA,"2,853,000","8,770,000",Rahm Emanuel
540,Chihuahua,Mexico,"694,000","825,000",n/k
504,CHISINAU,Moldova,"785,000","911,000",Dorin Chirtoaca
100,Chittagong,Bangladesh,"2,580,000","3,858,000",Mohammed Manjur Alam
38,Chongqing,China,"5,087,000","9,700,000",Huang Qifan
n/r,Cincinnati,USA,"380,000","2,155,000",Mark L. Mallory
n/r,Cirebon,Indonesia,"319,000","926,000",n/k
431,Ciudad Guayana,Venezuela,"940,000","1,000,000",Josй Ramуn Lopйz
255,Ciudad Juarez,Mexico,"1,400,000","2,010,000",Josй Reyes Ferriz
319,Cixi,China,"1,220,000",,n/k
n/r,Cleveland,USA,"434,000","2,250,000",Frank G. Jackson
568,Cochabamba,Bolivia,"608,000","798,000",n/k
433,Coimbatore,India,"931,000","1,446,000",R.Venkatachalam
414,Cologne,Germany,"995,000","11,297,000",Jьrgen Roters
n/r,Colombo,Brazil,"247,000","2,160,000",Josй Antonio Camargo
561,COLOMBO,Sri Lanka,"650,000","2,400,000",Uvais Mohamed Imitiyas
531,Columbus,USA,"714,000","1,540,000",Michael B Coleman
145,CONAKRY,Guinea,"1,931,000",,Mamadou Wasco Camara
n/r,Concepciуn,Chile,"404,000","978,000",Jacqueline van Rysselberghe
369,COPENHAGEN,Denmark,"1,096,000","1,096,000",Frank Jensen
288,Cordoba,Argentina,"1,310,000","1,528,000",Daniel Giacomino
582,Culiacan,Mexico,"567,000","766,000",n/k
153,Curitiba,Brazil,"1,851,000","3,261,000",Carlos Richa
105,Daegu,South Korea,"2,512,000",,Kim Bum-il
239,Daejeon,South Korea,"1,443,000",,Yum Hong-chul
397,DAKAR,Senegal,"1,031,000","2,253,000",Khalifa Sall
124,Dalian,China,"2,270,000","3,478,000",Li Wancai
302,Dallas,USA,"1,280,000","6,300,000",Tom Leppert
183,DAMASCUS,Syria,"1,670,000","4,350,000",Bishr Al Sabban
485,Dammam,Saudi Arabia,"812,000","2,000,000",Dhaifallah al-'Utaybi
454,Danyang,China,"890,000",,n/k
499,Daqing,China,"800,000","2,770,000",n/k
110,DAR ES SALAAM,Tanzania,"2,498,000","2,700,000",Adam Kimbisa
308,Datong,China,"1,253,000","1,377,000",n/k
272,Davao City,Philippines,"1,363,000",,Inday Sara Duterte-Carpio
459,Daye,China,"874,000",,n/k
n/r,Dayton,USA,"167,000","848,000",n/k
5,DELHI,India,"12,100,000","16,713,000",Kanwar Sain
n/r,Denpasar,Indonesia,"491,000","934,000",n/k
576,Denver,USA,"583,000","2,746,000",John W Hickenlooper
441,Detroit,USA,"912,000","3,903,000",Dave Bing
19,DHAKA,Bangladesh,"7,940,000","12,797,000",Sadeque Hossain Khosa
383,Dhanbad,India,"1,065,000","1,200,000",n/k
394,Dnipropetrovsk,Ukraine,"1,040,000","1,480,000",Ivan Ivanovych Kulichenko
366,Donetsk,Ukraine,"1,100,000","1,570,000",Oleksandr Lukianchenko
29,Dongguan,China,"6,446,000","7,650,000",Li Yuquan
337,Dongtai,China,"1,170,000",,n/k
n/r,Dongying,China,"294,000","804,000",n/k
573,Dortmund,Germany,"584,000",,Ullrich Sierau
263,Douala,Cameroon,"1,382,000","2,000,000",n/k
n/r,Dresden,Germany,"512,000","1,030,000",Helma Orosz
374,Dubai,UAE,"1,089,000","2,100,000",n/k
n/r,Dublin,Ireland,"506,000","1,661,000",Emer Costello
n/r,Duisburg,Germany,"494,000",,Adolf Sauerland
462,Duque de Caxias,Brazil,"864,000","1,000,000",Josй Camilo Zito dos Santos Filho
554,Durban,South Africa,"670,000","3,468,000",Obed Mlama
85,Durg,India,"2,810,000",,Dr Shiv Kumar Tamer
550,DUSHANBE,Tajikistan,"680,000","810,000",Mahmadsaid Ubaydulloyev
,,,,,
