Code,Airport Name,City,State
CAK,Akron-Canton Airport,North Canton,OH
ALB,Albany International Airport,Albany,NY
ABQ,Albuquerque International Sunport,Albuquerque,NM
AMA,Amarillo International Airport,Amarillo,TX
ANC,Anchorage International Airport,Anchorage,AK
ATL,Atlanta International Airport,Atlanta,GA
ACY,Atlantic City International Airport,Egg Harbor Twp,NJ
GRB,Austin Straubel International Airport,Green Bay,WI
AUS,Austin-Bergstrom International Airport,Austin,TX
BWI,Baltimore/Washington International Airport,BWI Airport,MD
BTR,Baton Rouge International Airport,Baton Rouge,LA
BIL,Billings Logan International Airport,Billings,MT
BHM,Birmingham International Airport,Birmingham,AL
FNT,Bishop International Airport,Flint,MI
LEX,Blue Grass Airport,Lexington,KY
BOI,Boise Airport,Boise,ID
BOS,Boston Logan International Airport,Boston,MA
BDL,Bradley International Airport,Windsor Locks,CT
BUF,Buffalo Niagara International Airport,Buffalo,NY
BUR,Burbank Bob Hope Airport,Burbank,CA
BTV,Burlington International Airport,South Burlington,VT
IAH,Bush Intercontinental Airport,Houston,TX
CID,Cedar Rapids Eastern Iowa Airport,Cedar Rapids,IA
CHS,Charleston International Airport,Charleston,SC
CLT,Charlotte/Douglas International Airport,Charlotte,NC
MDW,Chicago Midway Airport,Chicago,IL
ORD,Chicago OHare International Airport,Chicago,IL
CVG,Cincinnati/Northern Kentucky International Airport,Cincinnati,OH
CLE,Cleveland Hopkins International Airport,Cleveland,OH
COS,Colorado Springs Airport,Colorado Springs,CO
CAE,Columbia Metropolitan Airport,Columbia,SC
CRP,Corpus Christi International Airport,Corpus Christi,TX
STT,Cyril E King Airport,Charlotte Amalie,VI
DAL,Dallas Love Field,Dallas,TX
DFW,Dallas/Fort Worth International Airport,Dallas,TX
MSN,Dane County Regional Airport,Madison,WI
DAY,Dayton International Airport,Dayton,OH
DEN,Denver International Airport,Denver,CO
DSM,Des Moines International Airport,Des Moines,IA
DTW,Detroit Metro Airport,Detroit,MI
