Name,Date,Previous Names,Capital,Government,Languages
Algeria,1962,Maghreb,Algiers,Military Dictatorship,Arabic French Kabyle
Angola,1975,,Luanda,One Party State,Mbundu Portuguese Kongo
Benin,,Dahomey,Porto-Novo,Republic,Fon French
Botswana,1966,Bechuanaland,Gaborone,Republic,Tswana English Bushmen
Burkina Faso,1919,Upper Volta,Ouagadougou,,More French
Burundi,,,Bujumbura,One Party State,Rundi French
Cameroon,1960,,Yaounde,Military Dictatorship,Fang Bulu Yaunde Fulani English French
Cape Verde,,,Praia,Republic,Portuguese
Central African Republic,,,Bangui,Republic,Sango French Gbaya Banda
Chad,1920,,N'Djamena,One Party State,Sara Arabic French
Comoros,,,Moroni,One Party State,Comoran French Arabic
Congo (Brazzaville),,,Brazzaville,One Party State,Lingala Kongo French
Congo,,Zaire,Kinshasa,No effective government,Kingwana Luba Kongo Lingala French many others
Djibouti,1977,Afars and Issas,Djibouti,Republic,Arabic Afar Somali French
Egypt,c3000BC,United Arab Republic,Cairo,One Party State,Arabic
Equatorial Guinea,,,Malabo,Military Dictatorship,Fang Spanish
Eritrea,1993,,Asmara,One Party State,Tigrinya Tigre
Ethiopia,c500BC,Abassynia,Addis Ababa,Republic,Amharic Tigrinya Galla Sidamo Somali English many others
Gabon,1839,,Libreville,One Party State,Fang French many others
Gambia,,,Banjul,Military Dictatorship,Wolof Malinke English
Ghana,1957,Gold Coast,Accra,Republic,Twi Fanti Ewe English
Guinea,,,Conakry,One Party State,Fulani Malinke French
Guinea-Bissaau,1446,,Bissau,Republic,Balante Fulani Portuguese
Ivory Coast,,,Abidjan,One Party State,Dyula French many others
Kenya,1885,East Africa,Nairobi,Republic,Swahili English Kikuyu Kamba Luo
Lesotho,1818,Basutoland,Maseru,Republic,Sotho English
Liberia,,,Monrovia,No effective government,Kpelle English
Libya,1934,,Tripoli,One Party State,Arabic Tamashek
Malagasy Republic,1958,Madagascar,Antananarivo,Republic,Malagasay
Malawi,,Nyasaland,Lilongwe,Republic,Nyanja English Yao
Mali,1960,Soudan,Bamako,Republic,Bambara Fulani Soninke Malinke French many others
Mauritania,,,Nouakchott,Military Dictatorship,Arabic French
Mauritius,,,Port Louis,Republic,French English
Mayotte,,,Mamoudzou,Colony (France),
Morocco,1649,Maghreb,Rabat,Monarchy,Arabic Shluh Tamazight Riffian French
Mozambique,,,Maputo,Republic,Makua Tsonga Portuguese
Namibia,1989,South West Africa,Windhoek,Republic,Ambo English Afrikaans German many others
Niger,1922,,Niamey,Republic,Hausa DjermaFulani French
Nigeria,,,Abuja,Republic,Hausa Yoruba Ibo Fulani Kanuri Efik English many others
Reunion,,,Saint-Denis,Colony (France),French
Rwanda,1915,,Kigali,One Party State,Ruanda French Swahili
Sao Tome & Principe,,,Sao Tome,Republic,Portuguese
Senegal,1959,,Dakar,Republic,Wolof French Fulani
Seychelles,,,Victoria,Republic,French English
Sierra Leone,1787,,Freetown,Republic,Mende Temne English
Somalia,1886,Somaliland,Mogadishu,No effective government,Somali
South Africa,1910,,Pretoria,Republic,English Afrikaans Xhosa Zulu Tswana Sotho Pedi Swazi many others
Sudan,1899,,Khartoum,No effective government,Arabic Nubian Beja Dinka
Swaziland,1968,,Mbabana,Monarchy,Swazi English
Tanzania,1961,Tanganyka,Dar es Salaam,,Swahili English many others
Togo,1884,Togoland,Lome,One Party State,Ewe French
Tunisia,1881,Carthage Maghreb,Tunis,,Arabic French
Uganda,1961,,Kampala,,Luganda English many others
Zambia,1888,Northern Rhodesia,Lusaka,One Party State,Bemba English
Zimbabwe,1890,Rhodesia Southern Rhodesia,Harare,One Party State,Shona Matebele English
