Country Name (Click For Destination Guides),Capital City,Map (Click to view Map)
South America Continent,,Click for Map
Saint Helena,Jamestown,Click for Map
Saint Kitts and Nevis,Basseterre,Click for Map
Saint Lucia,Castries,Click for Map
Saint Pierre and Miquelon,Saint-Pierre,Click for Map
Saint Vincent and the Grenadines,Kingstown,Click for Map
Samoa,Apia,Click for Map
San Marino,San Marino,Click for Map
Sao Tome and Principe,Sao Tome,Click for Map
Saudi Arabia,Riyadh,Click for Map
Senegal,Dakar,Click for Map
Serbia,Belgrade,Click for Map
Seychelles,Victoria,Click for Map
Sierra Leone,Freetown,Click for Map
Singapore,Singapore,Click for Map
Slovakia,Bratislava,Click for Map
Slovenia,Ljubljana,Click for Map
Solomon Islands,Honiara,Click for Map
Somalia,Mogadishu,Click for Map
South Africa,Pretoria,Click for Map
South America Continent,,Click for Map
South Georgia and the South Sandwich Islands,none; Grytviken on South Georgia is the garrison town,Click for Map
South Korea,Seoul,Click for Map
Spain,Madrid,Click for Map
Sri Lanka,Colombo,Click for Map
Sudan,Khartoum,Click for Map
Suriname,Paramaribo,Click for Map
Svalbard,Longyearbyen,Click for Map
Swaziland,Mbabane; note - Lobamba is the royal and legislative capital,Click for Map
Sweden,Stockholm,Click for Map
Switzerland,Bern,Click for Map
Syria,Damascus,Click for Map
