RANG,Museum,Stadt,Facebook-Fans
1,MoMA The Museum of Modern Art,New York,353230
2,Metropolitan Museum of Art,New York,178838
3,Acropolis Museum,Athen,159006
4,Mus?e du Louvre,Paris,98307
5,Tate Modern,London,66289
6,Design Museum,London,62866
7,Guggenheim Museum,New York,67894
8,City Museum,St Louis,39960
9,The Getty Museum,Los Angeles,36767
10,Salvador Dali Museum,Saint Petersburg,35182
11,Museo del Prado,Madrid,37000
12,"Victoria & Albert Museum,",London,31851
13,Centre Pompidou,Paris,32353
14,British Museum,London,28408
15,Whitney Museum of American Art,New York,25803
16,Creation Museum,Petersburg,25981
17,Natural History Museum,London,23566
18,National Museum of the American Indian,Washington D.C.,23059
19,American Museum of Natural History,New York,21904
20,New Museum,New York,21235
