Centre,Country,#of Patients
Institute of Psychiatry & Neurology,POLAND,190
Royal Hallamshire Hospital,UK,118
Uppsala University Hospital,SWEDEN,100
University Hospital of North Staffordshire,UK,97
Western General Hospital,UK,94
The National Hospital for Neurology & Neurosurgery,UK,84
Arrowe Park Hospital,UK,83
Southend University Hospital,UK,77
Cliniques Universitaires St Luc,BELGIUM,73
University Hospital Trondheim,NORWAY,69
Norfolk and Norwich University Hospital,UK,67
Ulleval Sykehus,NORWAY,66
Nottingham City Hospital,UK,63
Ospedale Di Citta' di Castello,ITALY,62
Guy's & St.Thomas Hospital,UK,60
Darlington and Bishop Auckland Hospitals,UK,56
Nambour General Hospital,AUSTRALIA,51
University Hospital Aintree,UK,46
Danderyd Hospital,SWEDEN,46
University Hospital of Wales,UK,46
SPZZOZ w Sandomierzu,POLAND,43
UAVC. Centro Hospitalar de Tr?s-os-Montes e Alto Douro,PORTUGAL,42
"Nuovo Ospedale Civile ""S.Agostino-Estense""",ITALY,40
Derby Royal Hospital,UK,37
Ospedale Beato Giacomo Villa - Citta' della Pieve,ITALY,36
Ospedale Di Branca,ITALY,36
Medical University of Gdansk,POLAND,35
Landesklinikum Donauregion Tulln,AUSTRIA,34
Addenbrookes Hospital,UK,34
St George's Healthcare NHS Trust,UK,34
Royal Devon & Exeter Hospital (Wonford),UK,30
Hassleholm Hospital,SWEDEN,29
John Hunter Hospital,AUSTRALIA,29
Aberdeen Royal Infirmary,UK,26
"1st Dept, Institute of Psychiatry & Neurology",POLAND,25
Karnsjukhuset,SWEDEN,25
A.O. Niguarda Ca'Granda,ITALY,25
Military Medical Institute,POLAND,24
Gosford Hospital,AUSTRALIA,24
Hammersmith Hospitals & Imperial College,UK,24
University Hospital North Norway,NORWAY,23
Universitatsspital Basel,SWITZERLAND,22
Koping Hospital,SWEDEN,20
William Harvey Hospital,UK,20
Northwick Park Hospital,UK,20
Hospital Pero da Covilh?,PORTUGAL,19
R.Guzzardi Hospital - Vittoria (RG),ITALY,19
Scarborough Hospital,UK,17
Mora Hospital,SWEDEN,17
Ospedale Regionale di Aosta,ITALY,17
Watford General Hospital,UK,17
Countess of Chester Hospital NHS Foundation Trust,UK,17
Westmead Hospital,AUSTRALIA,16
Royal Perth Hospital,AUSTRALIA,15
University Hospitals Coventry & Warwickshire NHS Trust,UK,15
Szpital Powiatowy,POLAND,14
Kongsvinger Sykehus,NORWAY,13
Royal Bournemouth & Christchurch NHS Trust,UK,12
The Canberra Hospital,AUSTRALIA,12
Queen Elizabeth Hospital (Gateshead),UK,12
Ospedale Sacro Cuore - Negrar Verona,ITALY,12
York Health Services NHS Trust,UK,12
Ospedale Maggiore - Bologna,ITALY,12
Hospital de Santo Ant?nio,PORTUGAL,12
Leeds General Infirmary,UK,12
Universita degli Studi di Genova,ITALY,11
Falu Hospital,SWEDEN,11
LidkopingHospital,SWEDEN,11
Royal Brisbane and Women's Hospital,AUSTRALIA,10
Worcestershire Royal Hospital,UK,10
Blackpool Victoria Hospital,UK,10
Queen Elizabeth The Queen Mother Hospital,UK,10
Basildon & Thurrock University Hospitals NHS FT,UK,9
Ospedale Civlle S.Andrea,ITALY,9
Krankenhaus Der Barmherzigen Bruder Wien,AUSTRIA,9
Hospital S.Marcos,PORTUGAL,9
Capio S: tGoran Hospital,SWEDEN,9
Sykehuset Levanger,NORWAY,9
Royal Infirmary of Edinburgh,UK,9
St Mary's Hospital,UK,8
Ospedale S. Giovanni Battista - Foligno,ITALY,8
QEII Health Sciences Centre,CANADA,8
Austin Health - Repatriation Campus,AUSTRALIA,8
"Solihull Hospital, Heart of England NHS Trust",UK,8
"Azienda Ospedaliero-Universitaria ""Ospedali Riuniti"" di Foggia",ITALY,8
University Hospital Northern - Norway,NORWAY,8
Yeovil District Hospital,UK,8
