Common Name,Genus,Species,IUCN,
Mountain Quail,Oreortyx,pictus,LC,
California Quail,Callipepla,californica,LC,
Gambel's Quail,Callipepla,gambelii,LC,
Northern Bobwhite,Colinus,virginianus,NT,
Wild Turkey,Meleagris,gallopavo,LC,
Ruffed Grouse,Bonasa,umbellus,LC,
Common Pheasant,Phasianus,colchicus,LC,
Mallard,Anas,platyrhynchos,LC,
Ruddy Duck,Oxyura,jamaicensis,LC,
Wedge-tailed Shearwater,Puffinus,pacificus,LC,Hawaii
Townsend's Shearwater,Puffinus,auricularis,CR,Hawaii
Band-rumped Storm Petrel,Oceanodrom,castro,LC,Hawaii
Pied-billed Grebe,Podilymbus,podiceps,LC,
Green Heron,Butorides,virescens,LC,
Cattle Egret,Bubulcus,ibis,LC,
Turkey Vulture,Cathartes,aura,LC,
American Kestrel,Falco,sparverius,LC,
Merlin,Falco,columbarius,LC,
Peregrine Falcon,Falco,peregrinus,LC,
Sharp-shinned Hawk,Accipiter,striatus,LC,
Cooper's Hawk,Accipiter,cooperii,LC,
Northern Goshawk,Accipiter,gentilis,LC,
Red-shouldered Hawk,Buteo,lineatus,LC,
Broad-winged Hawk,Buteo,platypterus,LC,
Red-tailed Hawk,Buteo,jamaicensis,LC,
Roughleg,Buteo,lagopus,LC,
Black Rail,Laterallus,jamaicensis,NT,
Virginia Rail,Rallus,limicola,LC,
Sora,Porzana,carolina,LC,
American Coot,Fulica,americana,LC,
Killdeer,Charadrius,vociferus,LC,
American Woodcock,Scolopax,minor,LC,
Wilson's Snipe,Gallinago,delicata,LC,
Ring-billed Gull,Larus,delawarensis,LC,
Laughing Gull,Larus,atricilla,LC,
Cassin's Auklet,Ptychoramphus,aleuticus,LC,
Common Pigeon,Columba,livia,LC,
Plain Pigeon,Patagioenas,inornata,NT,P. R.
Spotted Dove,Streptopelia,chinensis,LC,Hawaii
Barred Dove,Geopelia,maugeus,LC,Hawaii
Mourning Dove,Zenaida,macroura,LC,
White-winged Dove,Zenaida,asiatica,LC,
Inca Dove,Scardafella,inca,LC,
Common Ground Dove,Columbina,passerina,LC,
Ruddy Quail-Dove,Geotrygon,montana,LC,
Yellow-billed Cuckoo,Coccyzus,americanus,LC,
Black-billed Cuckoo,Coccyzus,erythrophthalmus,LC,
Barn Owl,Tyto,alba,LC,
Eastern Screech Owl,Megascops,asio,LC,
Western Screech Owl,Megascops,kennicottii,LC,
Great Horned Owl,Bubo,virginianus,LC,
Barred Owl,Strix,varia,LC,
Northern Pygmy Owl,Glaucidium,califoricum,LC,
Northern Saw-whet Owl,Aegolius,acadicus,LC,
Long-eared Owl,Asio,otus,LC,
Short-Eared Owl,Asio,flammeus,LC,
Lesser Nighthawk,Chordeiles,acutipennis,LC,
Common Nighthawk,Chordeiles,minor,LC,
Common Poorwill,Phalaenoptilus,nuttallii,LC,
Chuck-will's-widow,Caprimulgus,carolinensis,LC,
Whip-poor-will,Caprimulgus,vociferus,LC,
Chimney Swift,Chaetura,pelagica,LC,
Puerto Rican Emerald,Chlorostilbon,maugaeus,LC,P. R.
Buff-bellied Hummingbird,Amazilia,yucatanensis,LC,
Ruby-throated Hummingbird,Archilochus,colubris,LC,
Black-chinned Hummingbird,Archilochus,alexandri,LC,
Anna's Hummingbird,Calypte,anna,LC,
Costa's Hummingbird,Calypte,costae,LC,
Broad-tailed Hummingbird,Selasphorus,platycercus,LC,
Rufous Hummingbird,Selasphorus,rufus,LC,
Allen's Hummingbird,Selasphorus,sasin,LC,
Calliope Hummingbird,Stellula,calliope,LC,
Belted Kingfisher,Megaceryle,alcyon,LC,
Red-headed Woodpecker,Melanerpes,erythrocephalus,NT,
Acorn Woodpecker,Melanerpes,formicivorus,LC,
Gila Woodpecker,Melanerpes,uropygialis,LC,
Red-bellied Woodpecker,Melanerpes,carolinus,LC,
Williamson's Sapsucker,Sphyrapicus,thyroideus,LC,
Yellow-bellied Sapsucker,Sphyrapicus,varius,LC,
Red-naped Sapsucker,Sphyrapicus,nuchalis,LC,
Ladder-backed Woodpecker,Picoides,scalaris,LC,
Downy Woodpecker,Picoides,pubescens,LC,
Hairy Woodpecker,Picoides,villosus,LC,
Black-backed Woodpecker,Picoides,arcticus,LC,
Northern Flicker,Colaptes,auratus,LC,
Pileated Woodpecker,Dryocopus,pileatus,LC,
Eastern Phoebe,Sayornis,phoebe,LC,
Olive-sided Flycatcher,Contopus,cooperii,NT,
Western Wood Pewee,Contopus,sordidulus,LC,
Eastern Wood Pewee,Contopus,virens,LC,
Yellow-bellied Flycatcher,Empidonax,flaviventris,LC,
Acadian Flycatcher,Empidonax,virescens,LC,
Willow Flycatcher,Empidonax,traillii,LC,
Least Flycatcher,Empidonax,minimus,LC,
Hammond's Flycatcher,Empidonax,hammondii,LC,
Great Kiskadee,Pitangus,sulphuratus,LC,
Couch's Kingbird,Tyrannus,couchii,LC,
Western Kingbird,Tyrannus,verticalis,LC,
Scissor-tailed Flycatcher,Tyrannus,forficatus,LC,
Eastern Kingbird,Tyrannus,tyrannus,LC,
Great Crested Flycatcher,Myiarchus,crinitus,LC,
Loggerhead Shrike,Lanius,ludovicianus,LC,
Great Grey Shrike,Lanius,excubitor,LC,
White-eyed Vireo,Vireo,griseus,LC,
Yellow-throated Vireo,Vireo,flavifrons,LC,
Blue-headed Vireo,Vireo,solitarius,LC,
Warbling Vireo,Vireo,gilvus,LC,
Philadelphia Vireo,Vireo,philadelphicus,LC,
