Fans' Rank,Title,Year,Director(s),Overall Rank
28,Saving Private Ryan,1998,Steven Spielberg,50
498,Say Anything?,1989,Cameron Crowe,448
88,Scarface,1983,Brian De Palma,239
390,Scent of a Woman,1992,Martin Brest,1753
11,Schindler's List,1993,Steven Spielberg,22
309,Scream,1996,Wes Craven,324
80,The Searchers,1956,John Ford,28
478,Sense and Sensibility,1995,Ang Lee,405
42,Seven,1995,David Fincher,112
40,The Seven Samurai,1954,Akira Kurosawa,32
103,The Seventh Seal,1957,Ingmar Bergman,119
361,Shadow of a Doubt,1943,Alfred Hitchcock,382
245,Shakespeare in Love,1998,John Madden,244
313,Shane,1953,George Stevens,200
13,The Shawshank Redemption,1994,Frank Darabont,46
373,"Sherlock, Jr.",1924,Buster Keaton,261
38,The Shining,1980,Stanley Kubrick,87
424,Short Cuts,1993,Robert Altman,603
233,Shrek,2001,Andrew Adamson and Vicky Jenson,284
497,Signs,2002,M. Night Shyamalan,1858
17,The Silence of the Lambs,1991,Jonathan Demme,30
490,A Simple Plan,1998,Sam Raimi,1494
488,Sin City,2005,Frank Miller and Robert Rodriguez,575
48,Singin' in the Rain,1952,Stanley Donen and Gene Kelly,6
84,The Sixth Sense,1999,M. Night Shyamalan,171
451,Sleeper,1973,Woody Allen,553
493,Sleepy Hollow,1999,Tim Burton,1516
273,Sling Blade,1996,Billy Bob Thornton,826
234,Snatch.,2000,Guy Ritchie,1088
255,Snow White and the Seven Dwarfs,1937,David Hand,89
402,Solaris,1972,Andrei Tarkovsky,377
56,Some Like It Hot,1959,Billy Wilder,10
169,The Sound of Music,1965,Robert Wise,79
342,South Park: Bigger Longer & Uncut,1999,Trey Parker,466
193,Spartacus,1960,Stanley Kubrick,211
323,Speed,1994,Jan de Bont,370
265,Spider-Man,2002,Sam Raimi,501
394,Spider-Man 2,2004,Sam Raimi,765
260,Spirited Away,2001,Hayao Miyazaki,174
272,Stagecoach,1939,John Ford,106
395,Stalag 17,1953,Billy Wilder,569
375,Stalker,1979,Andrei Tarkovsky,509
165,Stand by Me,1986,Rob Reiner,315
336,Star Trek: The Wrath of Khan,1982,Nicholas Meyer,507
5,Star Wars,1977,George Lucas,8
398,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,876
130,The Sting,1973,George Roy Hill,281
285,La Strada,1954,Federico Fellini,243
167,Strangers on a Train,1951,Alfred Hitchcock,235
139,A Streetcar Named Desire,1951,Elia Kazan,145
393,Sullivan's Travels,1941,Preston Sturges,125
230,Sunrise,1927,F.W. Murnau,99
50,Sunset Blvd.,1950,Billy Wilder,33
300,Superman,1978,Richard Donner,272
319,The Sweet Hereafter,1997,Atom Egoyan,512
438,Sweet Smell of Success,1957,Alexander Mackendrick,177
379,Swingers,1996,Doug Liman,860
8,Taxi Driver,1976,Martin Scorsese,19
377,The Ten Commandments,1956,Cecil B. DeMille,403
63,Terminator 2: Judgment Day,1991,James Cameron,98
73,The Terminator,1984,James Cameron,95
298,The Texas Chain Saw Massacre,1974,Tobe Hooper,233
413,Thelma & Louise,1991,Ridley Scott,228
320,There's Something about Mary,1998,Bobby and Peter Farrelly,420
419,The Thin Man,1934,W.S. Van Dyke,409
211,The Thin Red Line,1998,Terrence Malick,357
217,The Thing,1982,John Carpenter,210
49,The Third Man,1949,Carol Reed,27
119,This Is Spinal Tap,1984,Rob Reiner,78
338,Three Colors: Blue,1993,Krzysztof Kieslowski,278
243,Three Colors: Red,1994,Krzysztof Kieslowski,232
382,Three Kings,1999,David O. Russell,663
362,Throne of Blood,1957,Akira Kurosawa,712
82,Titanic,1997,James Cameron,63
64,To Kill a Mockingbird,1962,Robert Mulligan,62
249,Tokyo Story,1953,Yasujiro Ozu,110
369,Tombstone,1993,George P. Cosmatos,1573
253,Tootsie,1982,Sydney Pollack,197
447,Top Gun,1986,Tony Scott,411
411,Top Hat,1935,Mark Sandrich,172
403,Total Recall,1990,Paul Verhoeven,846
75,Touch of Evil,1958,Orson Welles,54
91,Toy Story,1995,John Lasseter,64
218,Toy Story 2,1999,John Lasseter,268
205,Traffic,2000,Steven Soderbergh,713
113,Trainspotting,1996,Danny Boyle,117
101,The Treasure of the Sierra Madre,1948,John Huston,92
228,True Romance,1993,Tony Scott,430
146,The Truman Show,1998,Peter Weir,291
112,Twelve Monkeys,1995,Terry Gilliam,341
449,Ugetsu,1953,Kenji Mizoguchi,273
504,Un chien andalou,1929,Luis Bu?uel,410
354,Unbreakable,2000,M. Night Shyamalan,1920
68,Unforgiven,1992,Clint Eastwood,73
150,The Untouchables,1987,Brian De Palma,408
29,The Usual Suspects,1995,Bryan Singer,55
22,Vertigo,1958,Alfred Hitchcock,11
459,The Wages of Fear,1953,Henri-Georges Clouzot,230
134,West Side Story,1961,Jerome Robbins and Robert Wise,88
489,What's Eating Gilbert Grape,1993,Lasse Hallstr?m,1326
235,When Harry Met Sally?,1989,Rob Reiner,167
259,Who Framed Roger Rabbit,1988,Robert Zemeckis,367
271,Who's Afraid of Virginia Woolf?,1966,Mike Nichols,476
93,The Wild Bunch,1969,Sam Peckinpah,51
213,Wild Strawberries,1957,Ingmar Bergman,208
288,Willy Wonka & the Chocolate Factory,1971,Mel Stuart,348
264,Wings of Desire,1987,Wim Wenders,195
374,Witness,1985,Peter Weir,510
33,The Wizard of Oz,1939,Victor Fleming,5
465,X2,2003,Bryan Singer,888
406,X-Men,2000,Bryan Singer,858
254,Yojimbo,1961,Akira Kurosawa,342
147,Young Frankenstein,1974,Mel Brooks,260
