Site,Board,Child Health,Obs & Gyn,Psych,Med,Surg
Ayrshire Central,NHS Ayrshire & Arran,,,Yes,,
The Ayr Hospital,NHS Ayrshire & Arran,,,,Yes,Yes
Crosshouse Hospital,NHS Ayrshire & Arran,Yes,Yes,,Yes,Yes
Dykebar Hospital,NHS Greater Glasgow & Clyde,,,Yes,,
Dumfries & Galloway Royal Infirmary,NHS Dumfries & Galloway,,,,Yes,Yes
Forth Valley Royal Hospital,NHS Forth Valley,,Yes,,Yes,Yes
Gartnavel General,NHS Greater Glasgow & Clyde,,,,Yes,Yes
Gartnavel Royal Hospital,NHS Greater Glasgow & Clyde,,,Yes,,
Glasgow Royal Infirmary,NHS Greater Glasgow & Clyde,,,,Yes,Yes
Golden Jubilee National Hospital,NHS Greater Glasgow & Clyde,,,,,
Hairmyres Hospital,NHS Lanarkshire,,,,Yes,Yes
Inverclyde Royal Hospital,NHS Greater Glasgow & Clyde,,Yes,,Yes,Yes
Leverndale Hospital,NHS Greater Glasgow & Clyde,,,Yes,,
Monklands Hospital,NHS Lanarkshire,,,,Yes,Yes
Parkhead Hospital,NHS Greater Glasgow & Clyde,,,Yes,,
Princess Royal Maternity,NHS Greater Glasgow & Clyde,,Yes,,,
Queen Mothers Hospital,NHS Greater Glasgow & Clyde,,Yes,,,
Royal Alexandra Hospital,NHS Greater Glasgow & Clyde,Yes,Yes,,Yes,Yes
Ravenscraig,NHS Greater Glasgow & Clyde,,,Yes,,
Yorkhill,NHS Greater Glasgow & Clyde,Yes,,,,
Southern General Hospital,NHS Greater Glasgow & Clyde,,Yes,Yes,Yes,Yes
Stobhill Hospital,NHS Greater Glasgow & Clyde,,,Yes,Yes,Yes
Victoria Infirmary,NHS Greater Glasgow & Clyde,,,,Yes,Yes
Wishaw General Hospital,NHS Lanarkshire,,Yes,,Yes,Yes
Western Infirmary,NHS Greater Glasgow & Clyde,,,,Yes,Yes
