Year,Game,Genre,Platform(s),Developer(s)
2011,The Elder Scrolls V: Skyrim,Open World: RPG,"Xbox 360, PlayStation 3, PC",Bethesda Softworks
2010,Red Dead Redemption,Action Adventure,"PlayStation 3, Xbox 360",Rockstar Games
2009,Call of Duty: Modern Warfare 2,"First-person shooter, third-person shooter","Microsoft Windows, PlayStation 3, Xbox 360",Infinity Ward
2008,Fallout 3,RPG,"PlayStation 3, PC, Xbox 360",Bethesda Softworks
2007,Call of Duty 4: Modern Warfare,First-person shooter,"PlayStation 3, Xbox 360, PC",Infinity Ward
2006,The Legend of Zelda: Twilight Princess,Action-adventure,"Wii, Nintendo GameCube",Nintendo EAD
2005,Civilization IV,"Turn-based strategy game, 4X","Windows, Mac OS X",Firaxis Games
2004,Halo 2,First-person Shooter,"Windows, Xbox",Bungie
2003,Star Wars: Knights of the Old Republic,RPG,"Xbox, Windows",BioWare
2002,Metroid Prime,First-person adventure,GameCube,Retro Studios
2001,Grand Theft Auto III,Action,"PlayStation 2, Xbox, Windows",DMA Design
2000,Deus Ex,Action RPG,"PlayStation 2, Windows, Mac OS",Ion Storm Inc.
1999,Unreal Tournament,First-person shooter,"Dreamcast, Linux, Mac OS, Mac OS X, PlayStation 2, Windows","Epic Games, Digital Extremes"
