Name,Artist,Genre
1999,PRINCE,POP
867-5309 (JENNY),"TUTONE, TOMMY",ROCK
99 BALLOONS,NENA,POP
AIN'T GOT YOU,"KEYS, ALICIA",POP
AIN'T NO SUNSHINE,BILL WITHERS,OLDIES
AIN'T TOO PROUD TO BEG,"TEMPTATIONS, THE",OLDIES
ALL MY EX'S LIVE IN TEXAS,"STRAIGHT, GEORGE",COUNTRY
ALL SUMMER LONG,KID ROCK,ROCK
ALL THE SINGLE LADIES,BEYONCE,POP
ALONE,HEART,ROCK
AMERICAN IDIOT,GREENDAY,ROCK
AMERICAN PIE,"MCLEAN, DON",CLASSIC ROCK
ANYWAY YOU WANT IT,JOURNEY,ROCK
AT LAST,"JAMES, ETTA",STANDARDS
BAD COMPANY,FIVE FINGER DEATH PUNCH,ROCK
BAD GIRLS,"SUMMER, DONNA",DISCO
BARRACUDA,HEART,CLASSIC ROCK
BEFORE HE CHEATS,"UNDERWOOD, CARRIE",COUNTRY
BILLIE JEAN,"JACKSON, MICHAEL",POP
BLACK CAT,"JACKSON, JANET",POP
BLACK DOG,LED ZEPPLIN,ROCK
BLACK HORSE AND A CHERRY TREE,KT TUNSTALL,POP
BLACK VELVET,"MILES, ALANNAH",COUNTRY
BLAME IT ON YOUR HEART,"LOVELESS, PATTY",COUNTRY
BLESS THE BROKEN ROAD,RASCAL FLATTS,COUNTRY
BLISTER IN THE SUN,"VIOLENT FEMMES, THE",ROCK
BLUE BAYOU,"RONSTANDT, LINDA",CLASSIC ROCK
BOOGIE OOGIE OOGIE,A TASTE OF HONEY,DISCO
BOOM BOOM POW,BLACK EYED PEAS,POP
BORN THIS WAY,LADY GAGA,POP
BORN TO BE WILD,STEPPENWOLF,CLASSIC ROCK
BREAKDOWN,"PETTY, TOM",CLASSIC ROCK
BRICKHOUSE,"COMMODORES, THE",POP
BRING ME TO LIFE,EVENESCENCE,ROCK
BROKEN WING,"MCBRIDE, MARTINA",COUNTRY
BROWN SUGAR,"ROLLING STONES, THE",CLASSIC ROCK
BROWNEYED GIRL,VAN MORRISON,CLASSIC ROCK
CALL ME,BLONDIE,ROCK
CARELESS WHISPER,SEETHER,ROCK
CARWASH,ROSE ROYCE,DISCO
CELEBRATION,KOOL AND THE GANG,DISCO
CENTERFOLD,"J. GIELS BAND, THE",CLASSIC ROCK
CHAIN OF FOOLS,"FRANKLIN, ARETHA",OLDIES
CHICKEN FRIED,ZACH BROWN BAND,COUNTRY
