#,Catholics,Population,Percent Catholic,Country,Dioceses,Diocesan Priests,Religious Priests,Total Priests,Permanent Deacons,Male Religious,Female Religious,Parishes
1,"145,446,000","184,227,000",78.95%,Brazil,268,"9,951","6,902","16,853","1,456","13,282","32,827","9,222"
2,"123,393,000","142,364,000",86.67%,M?xico,90,"11,016","3,602","14,618",744,"6,509","29,051","6,101"
3,"69,630,000","85,930,000",81.03%,Philippines,86,"5,037","2,298","7,335",11,"5,694","12,102","2,909"
4,"64,621,000","285,538,000",22.63%,USA,194,"30,207","14,699","44,906","14,362","21,698","71,250","19,081"
5,"57,665,000","59,725,000",96.55%,Italy,225,"32,974","17,174","50,148","2,850","23,719","102,089","25,694"
6,"44,499,000","58,905,000",75.54%,France,98,"17,238","4,692","21,930","1,857","8,361","42,442","18,844"
7,"38,406,000","44,508,000",86.29%,Colombia,75,"5,661","2,259","7,920",278,"4,163","15,178","3,831"
8,"37,165,000","42,335,000",87.79%,Spain,70,"16,920","7,944","25,281",176,"13,364","52,243","22,680"
9,"35,010,000","37,109,000",94.34%,Poland,44,"22,556","5,901","28,457",3,"9,356","23,967","10,421"
10,"34,480,000","38,631,000",89.25%,Argentina,69,"3,577","2,071","5,648",626,"3,385","9,070","2,642"
11,"29,500,000","59,293,000",49.75%,Congo (Dem. Rep.),47,"2,671","1,635","4,306",,"3,649","7,883","1,258"
12,"28,160,000","32,079,000",87.78%,Peru,45,"1,502","1,267","2,769",57,"2,569","5,589","1,421"
13,"26,297,000","82,727,000",31.79%,Germany,29,"14,323","4,042","18,365","2,494","5,875","31,811","12,488"
14,"24,815,000","28,256,000",87.82%,Venezuela,38,"1,493","1,064","2,557",138,"1,628","3,775","1,256"
15,"17,906,000","124,517,000",14.38%,Nigeria,50,"3,678",759,"4,437",6,"1,938","3,716","2,041"
16,"17,005,000","1,098,096,000",1.55%,India,149,"11,437","8,509","19,946",8,"17,352","82,348","8,583"
17,"13,070,000","29,503,000",44.30%,Canada,71,"5,296","3,145","8,441",902,"5,181","19,880","4,865"
18,"11,749,000","13,112,000",89.60%,Ecuador,24,"1,076",721,"1,797",74,"1,381","4,617","1,208"
19,"11,219,000","26,537,000",42.28%,Uganda,19,"1,253",331,"1,584",2,"1,183","2,989",436
20,"11,021,000","15,488,000",71.16%,Chile,27,"1,177","1,155","2,332",685,"1,984","5,086",931
21,"10,465,000","39,204,000",26.69%,Tanzania,30,"1,441",699,"2,140",1,"1,745","7,591",847
22,"10,304,000","13,453,000",76.59%,Guatemala,14,430,641,"1,071",7,"1,040","2,645",448
23,"10,302,000","20,589,000",50.04%,Angola,16,336,293,629,1,723,"1,731",271
24,"9,457,000","10,460,000",90.41%,Portugal,21,"3,000",936,"3,936",147,"1,376","5,963","4,395"
25,"8,253,000","9,737,000",84.76%,Bolivia,18,482,631,"1,113",83,"1,130","2,563",583
26,"8,039,000","9,344,000",86.03%,Dominican Republic,12,424,454,878,363,605,"1,723",569
27,"8,018,000","32,296,000",24.83%,Kenya,26,"1,083",814,"1,897",1,"2,204","3,747",708
28,"7,775,000","10,292,000",75.54%,Belgium,9,"4,410","2,869","7,279",558,"3,971","13,288","3,949"
29,"6,743,000","10,316,000",65.36%,Ha?ti,9,400,291,691,4,682,"1,789",296
30,"6,439,000","204,229,000",3.15%,Indonesia,37,"1,317","1,721","3,038",13,"4,146","7,372","1,130"
31,"6,330,000","12,544,000",50.46%,Cuba,11,180,119,299,60,152,650,290
32,"6,056,000","10,402,000",58.22%,Hungary,16,"1,845",330,"2,175",52,483,"1,237","2,221"
33,"5,790,000","7,288,000",79.45%,Honduras,8,203,214,417,1,243,779,182
34,"5,755,000","7,982,000",72.10%,Austria,12,"2,629","1,731","4,360",425,"2,374","5,220","3,058"
35,"5,658,000","82,312,000",6.87%,Vi?t Nam,25,"2,194",474,"2,668",11,"2,793","11,443","2,228"
36,"5,436,000","7,144,000",76.09%,El Salvador,9,469,238,707,4,344,"1,491",418
37,"5,239,000","18,841,000",27.81%,Australia,32,"1,943","1,172","3,115",53,"2,138","6,876","1,378"
38,"5,239,000","5,722,000",91.56%,Paraguay,15,333,766,"1,099",112,"1,011","2,127",374
39,"5,212,000","6,385,000",81.63%,Nicaragua,8,296,123,419,27,219,"1,028",252
40,"5,042,000","16,117,000",31.28%,Netherlands,8,"1,387","2,031","3,418",310,"3,383","9,128","1,520"
41,"4,787,000","56,276,000",8.51%,Great Britain,32,"4,031","1,622","5,653",612,"2,177","7,109","3,099"
42,"4,766,000","64,915,000",7.34%,Ukraine,19,"2,348",411,"2,770",11,665,"1,095","4,026"
43,"4,701,000","20,072,000",23.42%,Madagascar,20,498,645,"1,143",,"1,494","3,930",314
44,"4,567,000","6,999,000",65.25%,Burundi,7,340,95,435,,302,"1,093",132
45,"4,377,000","49,409,000",8.86%,Korea (South),18,"2,672",539,"3,211",,"1,472","8,397","1,366"
46,"4,314,000","19,318,000",22.33%,Mozambique,12,186,312,498,1,536,979,280
47,"4,287,000","17,109,000",25.06%,Cameroon,23,902,504,"1,406",16,"1,019","1,958",740
48,"4,161,000","5,467,000",76.11%,Ireland,26,"3,097","1,593","4,690",1,"2,460","8,088","1,312"
49,"4,133,000","8,625,000",47.92%,Rwanda,9,413,124,537,,331,"1,390",138
50,"4,019,000","44,028,000",9.13%,Sudan,9,269,95,364,4,167,343,195
51,"3,942,000","5,395,000",73.07%,Slovakia,9,"2,037",591,"2,628",20,996,"3,018","1,507"
52,"3,867,000","5,259,000",73.53%,Croatia,15,"1,496",833,"2,329",1,"1,018","3,288","1,603"
53,"3,763,000","4,513,000",83.38%,Costa Rica,8,549,212,761,3,327,948,307
54,"3,519,000","10,284,000",34.22%,Czech Republic,9,"1,376",620,"1,996",152,798,"1,935","3,139"
55,"3,425,000","12,138,000",28.22%,Zambia,10,283,354,637,1,596,"1,596",265
56,"3,281,000","15,081,000",21.76%,Malawi,7,281,127,408,,265,963,147
57,"3,186,000","6,914,000",46.08%,Switzerland,8,"1,775","1,225","3,000",157,"1,606","5,679","1,662"
58,"3,101,000","48,770,000",6.36%,South Africa,27,453,645,"1,098",213,"1,132","2,577",736
