University Name,University Location,University Type
Abilene Christian University,Abilene (TX),Private
Adelphi University,Garden City (NY),Private
Albany State University,Albany (GA),Public
Alcorn State University,Alcorn State (MS),Public
American International College,Springfield (MA),Private
Anderson University,Anderson (IN),Private
Andrews University,Berrien Springs (MI),Private
Angelo State University,San Angelo (TX),Public
Arizona State University,Tempe (AZ),Public
Arkansas State University,State University (AR),Public
Armstrong Atlantic State University,Savannah (GA),Public
Ashland University,Ashland (OH),Private
Auburn University,Auburn (AL),Public
Auburn University - Montgomery,Montgomery (AL),Public
Augusta State University,Augusta (GA),Public
Augustana College,Sioux Falls (SD),Private
Aurora University,Aurora (IL),Private
Austin Peay State University,Clarksville (TN),Public
Azusa Pacific University,Azusa (CA),Private
Baker University,Baldwin City (KS),Private
Ball State University,Muncie (IN),Public
Barry University,Miami Shores (FL),Private
Barton College,Wilson (NC),Private
Baylor University,Waco (TX),Private
Bellarmine University,Louisville (KY),Private
Belmont University,Nashville (TN),Private
Bethel University,Saint Paul (MN),Private
Binghamton University,Binghamton (NY),Public
Biola University,La Mirada (CA),Private
Blessing-Rieman College of Nursing,Quincy (IL),Private
Bloomsburg University,Bloomsburg (PA),Public
Boise State University,Boise (ID),Public
Boston College,Chestnut Hill (MA),Private
Bowie State University,Bowie (MD),Public
Bowling Green State University,Bowling Green (OH),Public
Bradley University,Peoria (IL),Private
Brenau University,Gainesville (GA),Private
Brigham Young University,Provo (UT),Private
Brigham Young University - Idaho,Rexburg (ID),Private
California State University - Bakersfield,Bakersfield (CA),Public
California State University - Chico,Chico (CA),Public
California State University - Dominguez Hills,Carson (CA),Public
California State University - Fresno,Fresno (CA),Public
California State University - Fullerton,Fullerton (CA),Public
California State University - Long Beach,Long Beach (CA),Public
California State University - Los Angeles,Los Angeles (CA),Public
California State University - Sacramento,Sacramento (CA),Public
California State University - San Bernardino,San Bernardino (CA),Public
California State University - Stanislaus,Turlock (CA),Public
Calvin College,Grand Rapids (MI),Private
Capital University,Columbus (OH),Private
Cardinal Stritch University,Milwaukee (WI),Private
Carlow College,Pittsburgh (PA),Private
Carroll College,Helena (MT),Private
Case Western Reserve University,Cleveland (OH),Private
Castleton State College,Castleton (VT),Public
"Catholic University of America, The","Washington, D.C.",Private
Cedar Crest College,Allentown (PA),Private
Cedarville University,Cedarville (OH),Private
Central Connecticut State University,New Britain (CT),Public
Central Missouri State University,Warrensburg (MO),Public
Clarion University,Clarion (PA),Public
Clarke College,Dubuque (IA),Private
Clarkson College,Omaha (NE),Private
Clemson University,Clemson (SC),Public
Cleveland State University,Cleveland (OH),Public
College of Mount St. Joseph,Cincinnati (OH),Private
"College of New Jersey, The",Ewing (NJ),Public
"College of New Rochelle, The",New Rochelle (NY),Private
College of Saint Benedict | Saint John's University,Saint Joseph (MN),Private
College of St. Catherine,Saint Paul (MN),Private
"College of St. Scholastica, The",Duluth (MN),Private
College of Staten Island,Staten Island (NY),Public
Colorado State University - Pueblo,Pueblo (CO),Public
Columbia University,New York (NY),Private
Concordia College,Moorhead (MN),Private
Concordia University Wisconsin,Mequon (WI),Private
Coppin State College,Baltimore (MD),Public
Creighton University,Omaha (NE),Private
Delaware State University,Dover (DE),Public
Delta State University,Cleveland (MS),Public
Depaul University,Chicago (IL),Private
Dominican University of California,San Rafael (CA),Private
Drexel University,Philadelphia (PA),Private
Duke University,Durham (NC),Private
Duquesne University,Pittsburgh (PA),Private
D'Youville College,Buffalo (NY),Private
East Carolina University,Greenville (NC),Public
East Tennessee State University,Johnson City (TN),Public
Eastern Kentucky University,Richmond (KY),Public
Eastern Mennonite University,Harrisonburg (VA),Private
Eastern Michigan University,Ypsilanti (MI),Public
