Rank,Country / Territory,Population
?#128;?,World,"6,464,750,000"
1,People's Republic of China,"1,315,844,000"
2,India,"1,103,371,000"
3,United States,"298,213,000"
4,Indonesia,"222,781,000"
5,Brazil,"186,405,000"
6,Pakistan,"157,935,000"
7,Russia,"143,202,000"
8,Bangladesh,"141,822,000"
9,Nigeria,"131,530,000"
10,Japan,"128,085,000"
11,Mexico,"107,029,000"
12,Vietnam,"84,238,000"
13,Philippines,"83,054,000"
14,Germany,"82,689,000"
15,Ethiopia,"77,431,000"
16,Egypt,"74,033,000"
17,Turkey,"73,193,000"
18,Iran,"69,515,000"
19,Thailand,"64,233,000"
20,France,"60,496,000"
21,United Kingdom,"59,668,000"
22,Italy,"58,093,000"
23,Democratic Republic of the Congo,"57,549,000"
24,Myanmar,"50,519,000"
25,South Korea,"47,817,000"
26,South Africa,"47,432,000"
27,Ukraine,"46,481,000"
28,Colombia,"45,600,000"
29,Spain,"43,064,000"
30,Argentina,"38,747,000"
31,Poland,"38,530,000"
32,Tanzania,"38,329,000"
33,Sudan,"36,233,000"
34,Kenya,"34,256,000"
35,Algeria,"32,854,000"
36,Canada,"32,268,000"
37,Morocco,"31,478,000"
38,Afghanistan,"29,863,000"
39,Uganda,"28,816,000"
40,Iraq,"28,807,000"
41,Peru,"27,968,000"
42,Nepal,"27,133,000"
43,Venezuela,"26,749,000"
44,Uzbekistan,"26,593,000"
45,Malaysia,"25,347,000"
46,Saudi Arabia,"24,573,000"
47,Republic of China (Taiwan),"22,894,384[1]"
48,North Korea,"22,488,000"
49,Ghana,"22,113,000"
50,Romania,"21,711,000"
51,Yemen,"20,975,000"
52,Sri Lanka,"20,743,000"
53,Australia,"20,155,000[2]"
54,Mozambique,"19,792,000"
55,Syria,"19,043,000"
56,Madagascar,"18,606,000"
57,C?te d'Ivoire,"18,154,000"
58,Cameroon,"16,322,000"
59,Netherlands,"16,299,000"
60,Chile,"16,295,000"
61,Angola,"15,941,000"
62,Kazakhstan,"14,825,000"
63,Cambodia,"14,071,000"
64,Niger,"13,957,000"
65,Mali,"13,518,000"
66,Burkina Faso,"13,228,000"
67,Ecuador,"13,228,000"
68,Zimbabwe,"13,010,000"
69,Malawi,"12,884,000"
70,Guatemala,"12,599,000"
71,Zambia,"11,668,000"
72,Senegal,"11,658,000"
73,Cuba,"11,269,000"
74,Greece,"11,120,000"
75,Serbia and Montenegro,"10,503,000"
76,Portugal,"10,495,000"
77,Belgium,"10,419,000"
78,Czech Republic,"10,220,000"
79,Tunisia,"10,102,000"
80,Hungary,"10,098,000"
81,Belarus,"9,755,000"
82,Chad,"9,749,000"
83,Guinea,"9,402,000"
84,Bolivia,"9,182,000"
85,Sweden,"9,041,000"
86,Rwanda,"9,038,000"
87,Dominican Republic,"8,895,000"
88,Haiti,"8,528,000"
89,Benin,"8,439,000"
90,Azerbaijan,"8,411,000"
91,Somalia,"8,228,000"
92,Austria,"8,189,000"
93,Bulgaria,"7,726,000"
94,Burundi,"7,548,000"
95,Switzerland,"7,252,000"
96,Honduras,"7,205,000"
97,Hong Kong (PRC),"7,041,000"
98,El Salvador,"6,881,000"
99,Israel,"6,725,000"
100,Tajikistan,"6,507,000"
101,Paraguay,"6,158,000"
102,Togo,"6,145,000"
103,Laos,"5,924,000"
104,Papua New Guinea,"5,887,000"
105,Libya,"5,853,000"
106,Jordan,"5,703,000"
107,Sierra Leone,"5,525,000"
108,Nicaragua,"5,487,000"
109,Denmark,"5,431,000"
110,Slovakia,"5,401,000"
111,Kyrgyzstan,"5,264,000"
112,Finland,"5,249,000[3]"
113,Turkmenistan,"4,833,000"
114,Norway,"4,620,000[4]"
115,Croatia,"4,551,000"
116,United Arab Emirates,"4,496,000"
117,Georgia,"4,474,000"
118,Eritrea,"4,401,000"
119,Costa Rica,"4,401,000"
120,Singapore,"4,326,000"
121,Moldova,"4,206,000"
122,Republic of Ireland,"4,148,000"
123,Central African Republic,"4,038,000"
124,New Zealand,"4,028,000"
125,Republic of the Congo,"3,999,000"
126,Puerto Rico (US),"3,955,000"
127,Bosnia and Herzegovina,"3,907,000"
128,Occupied Palestinian territories,"3,702,000"
129,Lebanon,"3,577,000"
130,Uruguay,"3,463,000"
131,Lithuania,"3,431,000"
132,Liberia,"3,283,000"
133,Panama,"3,232,000"
134,Albania,"3,130,000"
135,Mauritania,"3,069,000"
136,Armenia,"3,016,000"
137,Kuwait,"2,687,000"
138,Jamaica,"2,651,000"
139,Mongolia,"2,646,000"
140,Oman,"2,567,000"
141,Latvia,"2,307,000"
142,Bhutan,"2,163,000"
143,Republic of Macedonia,"2,034,000"
