"State, Province, Territory, Country, etc",Area (square miles),Comments
Vatican City,<1,
Monaco,1,
Nauru,8,
Tuvalu,10,
San Marino,24,
Liechtenstein,62,
Washington DC,68,
Marshall Islands,70,
American Samoa,77,
St Kitts and Nevis,104,
Maldives,115,
Malta,122,Including Gozo and Comino
Grenada,133,
US Virgin Islands,135,
St Vincent and the Grenadines,150,
Barbados,166,
Antigua and Barbuda,171,
Seychelles,175,
Andorra,181,
Northern Marianas,184,
Guam,209,
St Lucia,238,
Bahrain,240,
Singapore,247,
Micronesia,271,
Tonga,289,
Dominica,290,
Kiribati,342,
Sao Tome and Principe,372,
Comoros,720,
Mauritius,790,
Luxembourg,998,
Samoa,1093,
Rhode Island,1545,
Cape Verde,1557,
Trinidad and Tobago,1980,
Prince Edward Island,2185,
Brunei,2226,
Delaware,2489,
Puerto Rico,3515,
Cyprus,3572,Entire island
Lebanon,4015,
Jamaica,4244,
The Gambia,4361,
Qatar,4416,
Vanuatu,4707,
Northern Ireland,5206,
Montenegro,5333,
Bahamas,5382,
Connecticut,5544,
Swaziland,6704,
Kuwait,6880,
Fiji,7055,
Slovenia,7820,
Wales,8018,
El Salvador,8124,
Israel,8463,
Djibouti,8495,
New Jersey,8722,
Belize,8867,
New Hampshire,9351,
Vermont,9615,
Macedonia,9928,
Rwanda,10169,
Massachusetts,10555,
Haiti,10714,
Burundi,10747,
Equatorial Guinea,10831,
Hawaii,10932,
Solomon Islands,10980,
Albania,11100,
Armenia,11500,
Lesotho,11720,
Belgium,11787,
Maryland,12407,
Moldova,13008,
Guinea-Bissau,13948,
Switzerland,15940,
Netherlands,16033,Including 2500 square miles of polders
Denmark,16639,Including Bornholm but excluding Greenland and the Faroe Islands
Estonia,17400,
Bhutan,18147,
Dominican Republic,18816,
Slovakia,18932,
Costa Rica,19730,
Nova Scotia,21425,
Croatia,21829,
Togo,21925,
West Virginia,24231,
Latvia,24938,
Lithuania,25175,
Sri Lanka,25326,
Tasmania,26383,
Georgia (the country),26900,
Republic of Ireland,27136,
Sierra Leone,27699,
New Brunswick,28355,
Panama,29157,
Scotland,29750,Including the Scottish islands but excluding inland water
United Arab Emirates,30000,
Czech Republic,30450,
Bosnia and Herzegovina,30677,
South Carolina,32007,
Ireland (Northern Ireland and the Republic of Ireland),32342,
Austria,32378,
Azerbaijan,33400,
Serbia,34116,Including Kosovo
Jordan,34578,
French Guiana,35135,
Maine,35387,
Portugal,35553,Including the Azores and the Madeira Islands
Hungary,35919,
Indiana,36420,
Liberia,38250,
South Korea,38375,
Iceland,39769,
Kentucky,40411,
Guatemala,42042,
Tennessee,42146,
Virginia,42769,
Cuba,42803,
Bulgaria,42823,
Honduras,43277,
Benin,43484,
"North Island, New Zealand",44689,
Ohio,44828,
Malawi,45747,Including Lake Malawi and other lakes
Pennsylvania,46058,
North Korea,46540,
Eritrea,46774,
Mississippi,48434,
England,50356,
Nicaragua,50893,
Greece,50949,Including the Greek islands
Louisiana,51844,
Alabama,52423,
Arkansas,53182,
Nepal,54362,
New York State,54475,
Tajikistan,55250,
Bangladesh,55598,
