Fans' Rank,Title,Year,Director(s),Overall Rank
101,The Treasure of the Sierra Madre,1948,John Huston,92
102,Groundhog Day,1993,Harold Ramis,130
103,The Seventh Seal,1957,Ingmar Bergman,119
104,Rash?mon,1950,Akira Kurosawa,84
105,Duck Soup,1933,Leo McCarey,56
106,City Lights,1931,Charles Chaplin,68
107,Do the Right Thing,1989,Spike Lee,100
108,"Crouching Tiger, Hidden Dragon",2000,Ang Lee,165
109,Manhattan,1979,Woody Allen,135
110,Ben-Hur,1959,William Wyler,140
111,M,1931,Fritz Lang,75
112,Twelve Monkeys,1995,Terry Gilliam,341
113,Trainspotting,1996,Danny Boyle,117
114,Paths of Glory,1957,Stanley Kubrick,152
115,Requiem for a Dream,2000,Darren Aronofsky,434
116,The Apartment,1960,Billy Wilder,127
117,Network,1976,Sidney Lumet,221
118,Rain Man,1988,Barry Levinson,347
119,This Is Spinal Tap,1984,Rob Reiner,78
120,Dances with Wolves,1990,Kevin Costner,213
121,Ran,1985,Akira Kurosawa,185
122,Mr. Smith Goes to Washington,1939,Frank Capra,156
123,Mulholland Dr.,2001,David Lynch,310
124,The Bicycle Thief,1948,Vittorio De Sica,67
125,High Noon,1952,Fred Zinnemann,58
126,Metropolis,1927,Fritz Lang,53
127,The Great Escape,1963,John Sturges,166
128,Indiana Jones and the Last Crusade,1989,Steven Spielberg,450
129,American History X,1998,Tony Kaye,706
130,The Sting,1973,George Roy Hill,281
131,Modern Times,1936,Charles Chaplin,108
132,Being John Malkovich,1999,Spike Jonze,319
133,Good Will Hunting,1997,Gus Van Sant,387
134,West Side Story,1961,Jerome Robbins and Robert Wise,88
135,Dog Day Afternoon,1975,Sidney Lumet,285
136,The Professional,1994,Luc Besson,282
137,King Kong,1933,Merian C. Cooper and Ernest B. Schoedsack,47
138,Clerks.,1994,Kevin Smith,322
139,A Streetcar Named Desire,1951,Elia Kazan,145
140,The 400 Blows,1959,Fran?ois Truffaut,71
141,Am?lie,2001,Jean-Pierre Jeunet,182
142,Life Is Beautiful,1997,Roberto Benigni,238
143,Rebel without a Cause,1955,Nicholas Ray,115
144,Ed Wood,1994,Tim Burton,497
145,The Big Sleep,1946,Howard Hawks,163
146,The Truman Show,1998,Peter Weir,291
147,Young Frankenstein,1974,Mel Brooks,260
148,Cool Hand Luke,1967,Stuart Rosenberg,336
149,The Elephant Man,1980,David Lynch,421
150,The Untouchables,1987,Brian De Palma,408
151,Patton,1970,Franklin J. Schaffner,241
152,Ferris Bueller's Day Off,1986,John Hughes,295
153,It Happened One Night,1934,Frank Capra,69
154,The Conversation,1974,Francis Ford Coppola,155
155,The Philadelphia Story,1940,George Cukor,109
156,Glory,1989,Edward Zwick,395
157,Das Boot,1981,Wolfgang Petersen,194
158,The African Queen,1951,John Huston,120
159,Once Upon a Time in America,1984,Sergio Leone,207
160,The Grapes of Wrath,1940,John Ford,102
161,Batman,1989,Tim Burton,451
162,Raising Arizona,1987,Joel Coen,528
163,Airplane!,1980,"Jerry Zucker, Jim Abrahams, and David Zucker",175
164,The Night of the Hunter,1955,Charles Laughton,61
165,Stand by Me,1986,Rob Reiner,315
166,Almost Famous,2000,Cameron Crowe,571
167,Strangers on a Train,1951,Alfred Hitchcock,235
168,Notorious,1946,Alfred Hitchcock,104
169,The Sound of Music,1965,Robert Wise,79
170,Boogie Nights,1997,Paul Thomas Anderson,373
171,Rebecca,1940,Alfred Hitchcock,225
172,Casino,1995,Martin Scorsese,488
173,Bringing Up Baby,1938,Howard Hawks,52
174,The Green Mile,1999,Frank Darabont,560
175,The General,1926,Clyde Bruckman and Buster Keaton,45
176,Mean Streets,1973,Martin Scorsese,190
177,Moulin Rouge!,2001,Baz Luhrmann,219
178,Life of Brian,1979,Terry Jones,147
179,Halloween,1978,John Carpenter,131
180,Ghostbusters,1984,Ivan Reitman,314
181,Kill Bill: Vol. 1,2003,Quentin Tarantino,351
182,The Fugitive,1993,Andrew Davis,496
183,City of God,2002,Fernando Meirelles,227
184,Planet of the Apes,1968,Franklin J. Schaffner,240
185,Fantasia,1940,"James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, and Paul Satterfield",199
186,Field of Dreams,1989,Phil Alden Robinson,245
187,The Battleship Potemkin,1925,Sergei M. Eisenstein,74
188,Breathless,1960,Jean-Luc Godard,81
189,The French Connection,1971,William Friedkin,151
190,The Birds,1963,Alfred Hitchcock,262
191,Run Lola Run,1998,Tom Tykwer,494
192,The Rules of the Game,1939,Jean Renoir,70
193,Spartacus,1960,Stanley Kubrick,211
194,The Best Years of Our Lives,1946,William Wyler,126
195,Donnie Darko,2001,Richard Kelly,212
196,Edward Scissorhands,1990,Tim Burton,287
197,Persona,1966,Ingmar Bergman,158
198,Beauty and the Beast,1991,Gary Trousdale and Kirk Wise,246
199,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,143
200,La Dolce Vita,1960,Federico Fellini,134
