Fans' Rank,Title,Year,Director(s),Overall Rank
359,Cabaret,1972,Bob Fosse,144
331,The Cabinet of Dr. Caligari,1920,Robert Wiene,223
340,Caddyshack,1980,Harold Ramis,467
334,Carlito's Way,1993,Brian De Palma,1351
508,Carrie,1976,Brian De Palma,269
7,Casablanca,1942,Michael Curtiz,3
172,Casino,1995,Martin Scorsese,488
454,Cast Away,2000,Robert Zemeckis,1119
484,Charade,1963,Stanley Donen,638
510,Chariots of Fire,1981,Hugh Hudson,320
251,Chasing Amy,1997,Kevin Smith,1430
511,Chicago,2002,Rob Marshall,624
277,Children of Paradise,1945,Marcel Carn?,129
23,Chinatown,1974,Roman Polanski,20
239,A Christmas Story,1983,Bob Clark,642
460,Chungking Express,1994,Kar Wai Wong,579
203,Cinema Paradiso,1988,Giuseppe Tornatore,192
3,Citizen Kane,1941,Orson Welles,2
106,City Lights,1931,Charles Chaplin,68
183,City of God,2002,Fernando Meirelles,227
138,Clerks.,1994,Kevin Smith,322
19,A Clockwork Orange,1971,Stanley Kubrick,36
83,Close Encounters of the Third Kind,1977,Steven Spielberg,103
441,The Color Purple,1985,Steven Spielberg,630
353,Contact,1997,Robert Zemeckis,775
479,Contempt,1963,Jean-Luc Godard,422
154,The Conversation,1974,Francis Ford Coppola,155
148,Cool Hand Luke,1967,Stuart Rosenberg,336
462,Cries and Whispers,1972,Ingmar Bergman,443
344,Crimes and Misdemeanors,1989,Woody Allen,503
108,"Crouching Tiger, Hidden Dragon",2000,Ang Lee,165
371,The Crying Game,1992,Neil Jordan,547
446,Dancer in the Dark,2000,Lars von Trier,780
120,Dances with Wolves,1990,Kevin Costner,213
310,Dark City,1998,Alex Proyas,868
244,Dawn of the Dead,1978,George A. Romero,216
304,The Day the Earth Stood Still,1951,Robert Wise,214
381,Days of Heaven,1978,Terrence Malick,297
397,Dazed and Confused,1993,Richard Linklater,433
455,Dead Man,1995,Jim Jarmusch,732
360,Dead Man Walking,1995,Tim Robbins,757
209,Dead Poets Society,1989,Peter Weir,384
452,The Decalogue,1989,Krzysztof Kieslowski,396
69,The Deer Hunter,1978,Michael Cimino,85
214,Deliverance,1972,John Boorman,326
474,Diabolique,1955,Henri-Georges Clouzot,294
61,Die Hard,1988,John McTiernan,94
250,Dirty Harry,1971,Don Siegel,255
345,The Discreet Charm of the Bourgeoisie,1972,Luis Bu?uel,312
107,Do the Right Thing,1989,Spike Lee,100
248,Doctor Zhivago,1965,David Lean,191
135,Dog Day Afternoon,1975,Sidney Lumet,285
385,Dogma,1999,Kevin Smith,2059
200,La Dolce Vita,1960,Federico Fellini,134
425,Donnie Brasco,1997,Mike Newell,869
195,Donnie Darko,2001,Richard Kelly,212
477,Don't Look Now,1973,Nicolas Roeg,162
77,Double Indemnity,1944,Billy Wilder,41
12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,12
105,Duck Soup,1933,Leo McCarey,56
275,Dumb & Dumber,1994,Peter Farrelly,1311
54,E.T. the Extra-Terrestrial,1982,Steven Spielberg,23
268,Easy Rider,1969,Dennis Hopper,160
144,Ed Wood,1994,Tim Burton,497
196,Edward Scissorhands,1990,Tim Burton,287
450,Election,1999,Alexander Payne,545
149,The Elephant Man,1980,David Lynch,421
15,The Empire Strikes Back,1980,Irvin Kershner,43
290,The English Patient,1996,Anthony Minghella,231
388,Enter the Dragon,1973,Robert Clouse,490
325,Eraserhead,1976,David Lynch,280
202,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,176
302,Evil Dead II,1987,Sam Raimi,359
348,The Evil Dead,1981,Sam Raimi,404
70,The Exorcist,1973,William Friedkin,76
226,Eyes Wide Shut,1999,Stanley Kubrick,853
332,Face/Off,1997,John Woo,602
330,Fanny and Alexander,1982,Ingmar Bergman,276
185,Fantasia,1940,"James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, and Paul Satterfield",199
26,Fargo,1996,Joel Coen,49
365,Fear and Loathing in Las Vegas,1998,Terry Gilliam,1720
152,Ferris Bueller's Day Off,1986,John Hughes,295
292,A Few Good Men,1992,Rob Reiner,1183
186,Field of Dreams,1989,Phil Alden Robinson,245
409,The Fifth Element,1997,Luc Besson,549
36,Fight Club,1999,David Fincher,83
370,Finding Nemo,2003,Andrew Stanton,374
333,A Fish Called Wanda,1988,Charles Crichton,334
423,A Fistful of Dollars,1964,Sergio Leone,653
457,Five Easy Pieces,1970,Bob Rafelson,352
472,For a Few Dollars More,1965,Sergio Leone,1533
37,Forrest Gump,1994,Robert Zemeckis,93
276,Frankenstein,1931,James Whale,137
468,Freaks,1932,Tod Browning,289
189,The French Connection,1971,William Friedkin,151
503,From Dusk Till Dawn,1996,Robert Rodriguez,1222
242,From Here to Eternity,1953,Fred Zinnemann,220
182,The Fugitive,1993,Andrew Davis,496
53,Full Metal Jacket,1987,Stanley Kubrick,275
