Country,Currency,Alphabetic code,Numeric code,Symbol,Subdivision
Cambodia,Riel,KHR,116,CR,100 sen
Cameroon,CFA Franc BEAC,XAF,950,CFAF,100 centimes
Canada,Canadian Dollar,CAD,124,Can$,100 cents
Cape Verde,Cape Verde Escudo,CVE,132,C.V.Esc.,100 centavos
Cayman Islands,Cayman Islands Dollar,KYD,136,CI$,100 cents
Central African Republic,CFA Franc BEAC,XAF,950,CFAF,100 centimes
Chad,CFA Franc BEAC,XAF,950,CFAF,100 centimes
Chile,Chilean Peso,CLP,152,Ch$,100 centavos
China,Yuan Renminbi,CNY,156,Y,10 jiao = 100 fen
Christmas Island,Australian Dollar,AUD,36,A$,100 cents
Cocos (Keeling) Islands,Australian Dollar,AUD,36,A$,100 cents
Colombia,Colombian Peso,COP,170,Col$,100 centavos
Comoros,Comoro Franc,KMF,174,CF,
Congo,CFA Franc BEAC,XAF,950,CFAF,100 centimes
"Congo, The Democratic Republic Of",Franc Congolais,CDF,976,,100 centimes
Cook Islands,New Zealand Dollar,NZD,554,NZ$,100 cents
Costa Rica,Costa Rican Colon,CRC,188,slashed C,100 centimos
Cote D'ivoire,CFA Franc BCEAO,XOF,952,CFAF,100 centimes
Croatia,Kuna,HRK,191,HRK,100 lipas
Cuba,Cuban Peso,CUP,192,Cu$,100 centavos
Cyprus,Cyprus Pound,CYP,196,ЈC,100 cents
Cyprus - TRNC,Turkish Lira,TRL,792,TL,100 kurus
Czech Republic,Czech Koruna,CZK,203,Kc (with hacek on c),100 haleru
Denmark,Danish Krone,DKK,208,Dkr,100 шre
Djibouti,Djibouti Franc,DJF,262,DF,100 centimes
Dominica,East Caribbean Dollar,XCD,951,EC$,100 cents
Dominican Republic,Dominican Peso,DOP,214,RD$,100 centavos
East Timor,US Dollar,USD,840,$,100 cents
Ecuador,US Dollar,USD,840,$,100 cents
Egypt,Egyptian Pound,EGP,818,ЈE,"100 piasters or 1,000 milliemes"
El Salvador,El Salvador Colon,SVC,222,ў,100 centavos
Equatorial Guinea,CFA Franc BEAC,XAF,950,CFAF,100 centimos
Estonia,Kroon,EEK,233,Nfa,100 cents
Eritrea,Nakfa,ERN,232,KR,100 senti
Ethiopia,Ethiopian Birr,ETB,230,Br,100 cents
European Union,Euro,EUR,978,Ђ,100 euro-cents
Faeroe Islands,Danish Krone,DKK,208,Dkr,100 шre
Falkland Islands (Malvinas),Pound,FKP,238,ЈF,100 pence
Fiji,Fiji Dollar,FJD,242,F$,100 cents
Finland,Euro,EUR,978,Ђ,100 euro-cents
France,Euro,EUR,978,Ђ,100 euro-cents
French Guiana,Euro,EUR,978,Ђ,100 euro-cents
French Polynesia,CFP Franc,XPF,953,CFPF,100 centimes
French Southern Territories,Euro,EUR,978,Ђ,100 euro-cents
