Prize,Year,Winner1,Winner2,Winner3
The Nobel Prize in Physics,1901,Wilhelm Conrad R?ntgen,,
The Nobel Prize in Physics,1902,Hendrik A. Lorentz,Pieter Zeeman,
The Nobel Prize in Physics,1903,Henri Becquerel,Pierre Curie,Marie Curie
The Nobel Prize in Physics,1904,Lord Rayleigh,,
The Nobel Prize in Physics,1905,Philipp Lenard,,
The Nobel Prize in Physics,1906,J.J. Thomson,,
The Nobel Prize in Physics,1907,Albert A. Michelson,,
The Nobel Prize in Physics,1908,Gabriel Lippmann,,
The Nobel Prize in Physics,1909,Guglielmo Marconi,Ferdinand Braun,
The Nobel Prize in Physics,1910,Johannes Diderik van der Waals,,
The Nobel Prize in Physics,1911,Wilhelm Wien,,
The Nobel Prize in Physics,1912,Gustaf Dal?n,,
The Nobel Prize in Physics,1913,Heike Kamerlingh Onnes,,
The Nobel Prize in Physics,1914,Max von Laue,,
The Nobel Prize in Physics,1915,William Bragg,Lawrence Bragg,
The Nobel Prize in Physics,1916,n/a,,
The Nobel Prize in Physics,1917,Charles Glover Barkla,,
The Nobel Prize in Physics,1918,Max Planck,,
The Nobel Prize in Physics,1919,Johannes Stark,,
The Nobel Prize in Physics,1920,Charles Edouard Guillaume,,
The Nobel Prize in Physics,1921,Albert Einstein,,
The Nobel Prize in Physics,1922,Niels Bohr,,
The Nobel Prize in Physics,1923,Robert A. Millikan,,
The Nobel Prize in Physics,1924,Manne Siegbahn,,
The Nobel Prize in Physics,1925,James Franck,Gustav Hertz,
The Nobel Prize in Physics,1926,Jean Baptiste Perrin,,
The Nobel Prize in Physics,1927,Arthur H. Compton,C.T.R. Wilson,
The Nobel Prize in Physics,1928,Owen Willans Richardson,,
The Nobel Prize in Physics,1929,Louis de Broglie,,
The Nobel Prize in Physics,1930,Venkata Raman,,
The Nobel Prize in Physics,1931,n/a,,
The Nobel Prize in Physics,1932,Werner Heisenberg,,
The Nobel Prize in Physics,1933,Erwin Schr?dinger,Paul A.M. Dirac,
The Nobel Prize in Physics,1934,n/a,,
The Nobel Prize in Physics,1935,James Chadwick,,
The Nobel Prize in Physics,1936,Victor F. Hess,Carl D. Anderson,
The Nobel Prize in Physics,1937,Clinton Davisson,George Paget Thomson,
The Nobel Prize in Physics,1938,Enrico Fermi,,
The Nobel Prize in Physics,1939,Ernest Lawrence,,
The Nobel Prize in Physics,1940,n/a,,
The Nobel Prize in Physics,1941,n/a,,
The Nobel Prize in Physics,1942,n/a,,
The Nobel Prize in Physics,1943,Otto Stern,,
The Nobel Prize in Physics,1944,Isidor Isaac Rabi,,
The Nobel Prize in Physics,1945,Wolfgang Pauli,,
The Nobel Prize in Physics,1946,Percy W. Bridgman,,
The Nobel Prize in Physics,1947,Edward V. Appleton,,
The Nobel Prize in Physics,1948,Patrick M.S. Blackett,,
The Nobel Prize in Physics,1949,Hideki Yukawa,,
The Nobel Prize in Physics,1950,Cecil Powell,,
The Nobel Prize in Physics,1951,John Cockcroft,Ernest T.S. Walton,
The Nobel Prize in Physics,1952,Felix Bloch,E. M. Purcell,
The Nobel Prize in Physics,1953,Frits Zernike,,
The Nobel Prize in Physics,1954,Max Born,Walther Bothe,
The Nobel Prize in Physics,1955,Willis E. Lamb,Polykarp Kusch,
The Nobel Prize in Physics,1956,William B. Shockley,John Bardeen,Walter H. Brattain
The Nobel Prize in Physics,1957,Chen Ning Yang,Tsung-Dao Lee,
The Nobel Prize in Physics,1958,Pavel A. Cherenkov,Il?ja M. Frank,Igor Y. Tamm
The Nobel Prize in Physics,1959,Emilio Segr?,Owen Chamberlain,
The Nobel Prize in Physics,1960,Donald A. Glaser,,
The Nobel Prize in Physics,1961,Robert Hofstadter,Rudolf M?ssbauer,
The Nobel Prize in Physics,1962,Lev Landau,,
The Nobel Prize in Physics,1963,Eugene Wigner,Maria Goeppert-Mayer,J. Hans D. Jensen
The Nobel Prize in Physics,1964,Charles H. Townes,Nicolay G. Basov,Aleksandr M. Prokhorov
The Nobel Prize in Physics,1965,Sin-Itiro Tomonaga,Julian Schwinger,Richard P. Feynman
The Nobel Prize in Physics,1966,Alfred Kastler,,
The Nobel Prize in Physics,1967,Hans Bethe,,
The Nobel Prize in Physics,1968,Luis Alvarez,,
The Nobel Prize in Physics,1969,Murray Gell-Mann,,
The Nobel Prize in Physics,1970,Hannes Alfv?n,Louis N?el,
The Nobel Prize in Physics,1971,Dennis Gabor,,
The Nobel Prize in Physics,1972,John Bardeen,Leon N. Cooper,Robert Schrieffer
The Nobel Prize in Physics,1973,Leo Esaki,Ivar Giaever,Brian D. Josephson
The Nobel Prize in Physics,1974,Martin Ryle,Antony Hewish,
The Nobel Prize in Physics,1975,Aage N. Bohr,Ben R. Mottelson,James Rainwater
The Nobel Prize in Physics,1976,Burton Richter,Samuel C.C. Ting,
The Nobel Prize in Physics,1977,Philip W. Anderson,Sir Nevill F. Mott,John H. van Vleck
The Nobel Prize in Physics,1978,Pyotr Kapitsa,Arno Penzias,Robert Woodrow Wilson
The Nobel Prize in Physics,1979,Sheldon Glashow,Abdus Salam,Steven Weinberg
The Nobel Prize in Physics,1980,James Cronin,Val Fitch,
The Nobel Prize in Physics,1981,Nicolaas Bloembergen,Arthur L. Schawlow,Kai M. Siegbahn
The Nobel Prize in Physics,1982,Kenneth G. Wilson,,
The Nobel Prize in Physics,1983,Subramanyan Chandrasekhar,William A. Fowler,
The Nobel Prize in Physics,1984,Carlo Rubbia,Simon van der Meer,
The Nobel Prize in Physics,1985,Klaus von Klitzing,,
The Nobel Prize in Physics,1986,Ernst Ruska,Gerd Binnig,Heinrich Rohrer
The Nobel Prize in Physics,1987,J. Georg Bednorz,K. Alex M?ller,
The Nobel Prize in Physics,1988,Leon M. Lederman,Melvin Schwartz,Jack Steinberger
The Nobel Prize in Physics,1989,Norman F. Ramsey,Hans G. Dehmelt,Wolfgang Paul
The Nobel Prize in Physics,1990,Jerome I. Friedman,Henry W. Kendall,Richard E. Taylor
The Nobel Prize in Physics,1991,Pierre-Gilles de Gennes,,
The Nobel Prize in Physics,1992,Georges Charpak,,
The Nobel Prize in Physics,1993,Russell A. Hulse,Joseph H. Taylor Jr.,
The Nobel Prize in Physics,1994,Bertram N. Brockhouse,Clifford G. Shull,
The Nobel Prize in Physics,1995,Martin L. Perl,Frederick Reines,
The Nobel Prize in Physics,1996,David M. Lee,Douglas D. Osheroff,Robert C. Richardson
The Nobel Prize in Physics,1997,Steven Chu,Claude Cohen-Tannoudji,William D. Phillips
The Nobel Prize in Physics,1998,Robert B. Laughlin,Horst L. St?rmer,Daniel C. Tsui
The Nobel Prize in Physics,1999,Gerardus 't Hooft,Martinus J.G. Veltman,
The Nobel Prize in Physics,2000,Zhores I. Alferov,Herbert Kroemer,Jack S. Kilby
The Nobel Prize in Physics,2001,Eric A. Cornell,Wolfgang Ketterle,Carl E. Wieman
The Nobel Prize in Physics,2002,Raymond Davis Jr.,Masatoshi Koshiba,Riccardo Giacconi
The Nobel Prize in Physics,2003,Alexei A. Abrikosov,Vitaly L. Ginzburg,Anthony J. Leggett
The Nobel Prize in Physics,2004,David J. Gross,H. David Politzer,Frank Wilczek
The Nobel Prize in Physics,2005,Roy J. Glauber,John L. Hall,Theodor W. H?nsch
