Fans' Rank,Title,Year,Director(s),Overall Rank
1,The Godfather,1972,Francis Ford Coppola,1
2,Pulp Fiction,1994,Quentin Tarantino,15
3,Citizen Kane,1941,Orson Welles,2
4,The Godfather: Part II,1974,Francis Ford Coppola,14
5,Star Wars,1977,George Lucas,8
6,Goodfellas,1990,Martin Scorsese,26
7,Casablanca,1942,Michael Curtiz,3
8,Taxi Driver,1976,Martin Scorsese,19
9,2001: A Space Odyssey,1968,Stanley Kubrick,4
10,Apocalypse Now,1979,Francis Ford Coppola,13
11,Schindler's List,1993,Steven Spielberg,22
12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,12
13,The Shawshank Redemption,1994,Frank Darabont,46
14,Psycho,1960,Alfred Hitchcock,7
15,The Empire Strikes Back,1980,Irvin Kershner,43
16,Raiders of the Lost Ark,1981,Steven Spielberg,29
17,The Silence of the Lambs,1991,Jonathan Demme,30
18,One Flew over the Cuckoo's Nest,1975,Milos Forman,35
19,A Clockwork Orange,1971,Stanley Kubrick,36
20,Jaws,1975,Steven Spielberg,24
21,Rear Window,1954,Alfred Hitchcock,34
22,Vertigo,1958,Alfred Hitchcock,11
23,Chinatown,1974,Roman Polanski,20
24,Raging Bull,1980,Martin Scorsese,18
25,American Beauty,1999,Sam Mendes,111
26,Fargo,1996,Joel Coen,49
27,It's a Wonderful Life,1946,Frank Capra,16
28,Saving Private Ryan,1998,Steven Spielberg,50
29,The Usual Suspects,1995,Bryan Singer,55
30,Blade Runner,1982,Ridley Scott,21
31,North by Northwest,1959,Alfred Hitchcock,31
32,Reservoir Dogs,1992,Quentin Tarantino,66
33,The Wizard of Oz,1939,Victor Fleming,5
34,The Matrix,1999,Andy and Larry Wachowski,42
35,Lawrence of Arabia,1962,David Lean,9
36,Fight Club,1999,David Fincher,83
37,Forrest Gump,1994,Robert Zemeckis,93
38,The Shining,1980,Stanley Kubrick,87
39,Annie Hall,1977,Woody Allen,25
40,The Seven Samurai,1954,Akira Kurosawa,32
41,Alien,1979,Ridley Scott,38
42,Seven,1995,David Fincher,112
43,The Graduate,1967,Mike Nichols,39
44,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,60
45,Braveheart,1995,Mel Gibson,116
46,Gone with the Wind,1939,Victor Fleming,17
47,Aliens,1986,James Cameron,65
48,Singin' in the Rain,1952,Stanley Donen and Gene Kelly,6
49,The Third Man,1949,Carol Reed,27
50,Sunset Blvd.,1950,Billy Wilder,33
51,On the Waterfront,1954,Elia Kazan,40
52,L.A. Confidential,1997,Curtis Hanson,82
53,Full Metal Jacket,1987,Stanley Kubrick,275
54,E.T. the Extra-Terrestrial,1982,Steven Spielberg,23
55,"The Good, the Bad and the Ugly",1966,Sergio Leone,118
56,Some Like It Hot,1959,Billy Wilder,10
57,The Maltese Falcon,1941,John Huston,44
58,Return of the Jedi,1983,Richard Marquand,178
59,Memento,2000,Christopher Nolan,136
60,Back to the Future,1985,Robert Zemeckis,91
61,Die Hard,1988,John McTiernan,94
62,Monty Python and the Holy Grail,1975,Terry Gilliam and Terry Jones,133
63,Terminator 2: Judgment Day,1991,James Cameron,98
64,To Kill a Mockingbird,1962,Robert Mulligan,62
65,The Bridge on the River Kwai,1957,David Lean,57
66,Amadeus,1984,Milos Forman,141
67,Platoon,1986,Oliver Stone,122
68,Unforgiven,1992,Clint Eastwood,73
69,The Deer Hunter,1978,Michael Cimino,85
70,The Exorcist,1973,William Friedkin,76
71,Brazil,1985,Terry Gilliam,77
72,Gladiator,2000,Ridley Scott,113
73,The Terminator,1984,James Cameron,95
74,The Lord of the Rings: The Two Towers,2002,Peter Jackson,123
75,Touch of Evil,1958,Orson Welles,54
76,12 Angry Men,1957,Sidney Lumet,154
77,Double Indemnity,1944,Billy Wilder,41
78,The Lord of the Rings: The Return of the King,2003,Peter Jackson,96
79,Magnolia,1999,Paul Thomas Anderson,202
80,The Searchers,1956,John Ford,28
81,All about Eve,1950,Joseph L. Mankiewicz,37
82,Titanic,1997,James Cameron,63
83,Close Encounters of the Third Kind,1977,Steven Spielberg,103
84,The Sixth Sense,1999,M. Night Shyamalan,171
85,Heat,1995,Michael Mann,150
86,Once Upon a Time in the West,1968,Sergio Leone,107
87,Bonnie and Clyde,1967,Arthur Penn,48
88,Scarface,1983,Brian De Palma,239
89,8 1/2,1963,Federico Fellini,80
90,Blue Velvet,1986,David Lynch,59
91,Toy Story,1995,John Lasseter,64
92,The Manchurian Candidate,1962,John Frankenheimer,124
93,The Wild Bunch,1969,Sam Peckinpah,51
94,Jurassic Park,1993,Steven Spielberg,149
95,JFK,1991,Oliver Stone,423
96,The Princess Bride,1987,Rob Reiner,132
97,Rocky,1976,John G. Avildsen,101
98,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,114
99,Midnight Cowboy,1969,John Schlesinger,142
100,The Big Lebowski,1998,Joel Coen,173
