Rank,Company,Country,Industry,Sales ($bil),Profits ($bil),Assets ($bil),Market Value ($bil)
1,HSBC Holdings,United Kingdom,Banking,146.50,19.13,"2,348.98",180.81
2,General Electric,United States,Conglomerates,172.74,22.21,795.34,330.93
3,Bank of America,United States,Banking,119.19,14.98,"1,715.75",176.53
4,JPMorgan Chase,United States,Banking,116.35,15.37,"1,562.15",136.88
5,ExxonMobil,United States,Oil & Gas Operations,358.60,40.61,242.08,465.51
6,Royal Dutch Shell,Netherlands,Oil & Gas Operations,355.78,31.33,266.22,221.09
7,BP,United Kingdom,Oil & Gas Operations,281.03,20.60,236.08,204.94
8,Toyota Motor,Japan,Consumer Durables,203.80,13.99,276.38,175.08
9,ING Group,Netherlands,Insurance,197.93,12.65,"1,932.15",75.78
10,Berkshire Hathaway,United States,Diversified Financials,118.25,13.21,273.16,216.65
10,Royal Bank of Scotland,United Kingdom,Banking,108.45,14.62,"3,807.51",76.64
12,AT&T,United States,Telecommunications Services,118.93,11.95,275.64,210.22
13,BNP Paribas,France,Banking,116.16,10.71,"2,494.41",81.90
14,Allianz,Germany,Insurance,139.12,10.90,"1,547.48",80.30
15,Total,France,Oil & Gas Operations,199.74,19.24,165.75,181.80
16,Wal-Mart Stores,United States,Retailing,378.80,12.73,163.38,198.60
17,Chevron,United States,Oil & Gas Operations,203.97,18.69,148.79,179.97
18,American Intl Group,United States,Insurance,110.06,6.20,"1,060.51",118.20
19,Gazprom,Russia,Oil & Gas Operations,81.76,23.30,201.72,306.79
20,AXA Group,France,Insurance,151.70,7.75,"1,064.67",70.33
21,Banco Santander,Spain,Banking,72.26,10.02,"1,332.72",113.27
22,ConocoPhillips,United States,Oil & Gas Operations,171.50,11.89,177.76,129.15
23,Goldman Sachs Group,United States,Diversified Financials,87.97,11.60,"1,119.80",67.16
24,Citigroup,United States,Banking,159.23,3.62,"2,187.63",123.44
25,Barclays,United Kingdom,Banking,79.70,8.76,"2,432.34",62.43
26,EDF Group,France,Utilities,81.60,7.69,271.66,170.81
27,E.ON,Germany,Utilities,94.04,9.86,200.84,126.22
28,ENI,Italy,Oil & Gas Operations,119.27,13.70,128.15,127.38
29,Petrobras-Petr?leo Brasil,Brazil,Oil & Gas Operations,87.52,11.04,129.98,236.67
30,PetroChina,China,Oil & Gas Operations,88.24,18.21,111.70,546.14
