Rank,Title,Year,Director(s),Overall Rank
1,2001: A Space Odyssey,1968,Stanley Kubrick,4
2,The Wizard of Oz,1939,Victor Fleming,5
3,Star Wars,1977,George Lucas,8
4,Lawrence of Arabia,1962,David Lean,9
5,E.T. the Extra-Terrestrial,1982,Steven Spielberg,23
6,The Searchers,1956,John Ford,28
7,Raiders of the Lost Ark,1981,Steven Spielberg,29
8,North by Northwest,1959,Alfred Hitchcock,31
9,The Seven Samurai,1954,Akira Kurosawa,32
10,The Matrix,1999,Andy and Larry Wachowski,42
11,The Empire Strikes Back,1980,Irvin Kershner,43
12,King Kong,1933,Merian C. Cooper and Ernest B. Schoedsack,47
13,The Bridge on the River Kwai,1957,David Lean,57
14,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,60
15,Titanic,1997,James Cameron,63
16,Toy Story,1995,John Lasseter,64
17,Back to the Future,1985,Robert Zemeckis,91
18,The Treasure of the Sierra Madre,1948,John Huston,92
19,The Lord of the Rings: The Return of the King,2003,Peter Jackson,96
20,The Gold Rush,1925,Charles Chaplin,97
21,Gladiator,2000,Ridley Scott,113
22,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,114
23,The African Queen,1951,John Huston,120
24,The Lord of the Rings: The Two Towers,2002,Peter Jackson,123
25,Sullivan's Travels,1941,Preston Sturges,125
26,The Princess Bride,1987,Rob Reiner,132
27,Monty Python and the Holy Grail,1975,Terry Gilliam and Terry Jones,133
28,Ben-Hur,1959,William Wyler,140
29,Jurassic Park,1993,Steven Spielberg,149
30,The Adventures of Robin Hood,1938,Michael Curtiz and William Keighley,153
31,"Crouching Tiger, Hidden Dragon",2000,Ang Lee,165
32,The Great Escape,1963,John Sturges,166
33,Spirited Away,2001,Hayao Miyazaki,174
34,Return of the Jedi,1983,Richard Marquand,178
35,Goldfinger,1964,Guy Hamilton,186
36,Aguirre: The Wrath of God,1972,Werner Herzog,188
37,Spartacus,1960,Stanley Kubrick,211
38,Dances with Wolves,1990,Kevin Costner,213
39,Pinocchio,1940,Hamilton Luske and Ben Sharpsteen,217
40,Red River,1948,Howard Hawks,234
41,Planet of the Apes,1968,Franklin J. Schaffner,240
42,Toy Story 2,1999,John Lasseter,268
43,The Lion King,1994,Roger Allers and Rob Minkoff,270
44,Superman,1978,Richard Donner,272
45,Shrek,2001,Andrew Adamson and Vicky Jenson,284
46,The Road Warrior,1981,George Miller,306
47,Ghostbusters,1984,Ivan Reitman,314
48,Stand by Me,1986,Rob Reiner,315
49,The Magnificent Seven,1960,John Sturges,318
50,Deliverance,1972,John Boorman,326
51,The Right Stuff,1983,Philip Kaufman,371
52,Babe,1995,Chris Noonan,372
53,Finding Nemo,2003,Andrew Stanton,374
54,Solaris,1972,Andrei Tarkovsky,377
55,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,379
56,To Have and Have Not,1944,Howard Hawks,383
57,The Incredibles,2004,Brad Bird,385
58,Austin Powers: International Man of Mystery,1997,Jay Roach,401
59,The Ten Commandments,1956,Cecil B. DeMille,403
60,Independence Day,1996,Roland Emmerich,431
61,Tom Jones,1963,Tony Richardson,435
62,Starship Troopers,1997,Paul Verhoeven,441
63,Mutiny on the Bounty,1935,Frank Lloyd,447
64,The Jungle Book,1967,Wolfgang Reitherman,449
65,Indiana Jones and the Last Crusade,1989,Steven Spielberg,450
66,The Iron Giant,1999,Brad Bird,463
67,The Last of the Mohicans,1992,Michael Mann,468
68,Apollo 13,1995,Ron Howard,485
69,Zulu,1964,Cy Endfield,491
70,The Fugitive,1993,Andrew Davis,496
71,Out of Africa,1985,Sydney Pollack,498
72,Spider-Man,2002,Sam Raimi,501
73,Star Trek: The Wrath of Khan,1982,Nicholas Meyer,507
74,Stalker,1979,Andrei Tarkovsky,509
75,Voyage to the Moon,1902,Georges M?li?s,517
76,Dr. No,1962,Terence Young,524
77,Raising Arizona,1987,Joel Coen,528
78,Princess Mononoke,1997,Hayao Miyazaki,537
79,Fitzcarraldo,1982,Werner Herzog,541
80,My Neighbor Totoro,1988,Hayao Miyazaki,554
81,Men in Black,1997,Barry Sonnenfeld,562
82,Seven Brides for Seven Brothers,1954,Stanley Donen,580
83,A.I.: Artificial Intelligence,2001,Steven Spielberg,584
84,Gallipoli,1981,Peter Weir,598
85,Mad Max,1979,George Miller,606
86,"Monsters, Inc.",2001,Pete Docter,607
87,Children of Men,2006,Alfonso Cuar?n,609
88,Gunga Din,1939,George Stevens,623
89,The Outlaw Josey Wales,1976,Clint Eastwood,645
90,WALL?E,2008,Andrew Stanton,650
91,The Abyss,1989,James Cameron,661
92,Three Kings,1999,David O. Russell,663
93,The Man Who Would be King,1975,John Huston,665
94,Indiana Jones and the Temple of Doom,1984,Steven Spielberg,676
95,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,692
96,The Thief of Bagdad,1924,Raoul Walsh,694
97,Tron,1982,Steven Lisberger,703
98,The Thief of Bagdad,1940,"Ludwig Berger, Michael Powell, and Tim Whelan",709
99,Jason and the Argonauts,1963,Don Chaffey,715
100,From Russia with Love,1963,Terence Young,720
