Country Name (Click For Destination Guides),Capital City,Geographic Info (Click for info)
Cambodia,Phnom Penh,Geography of Cambodia
Cameroon,Yaounde,Geography of Cameroon
Canada,Ottawa,Geography of Canada
Cape Verde,Praia,Geography of Cape Verde
Cayman Islands,George Town,Geography of Cayman Islands
Central African Republic,Bangui,Geography of Central African Republic
Chad,N'Djamena,Geography of Chad
Chile,Santiago,Geography of Chile
China,Beijing,Geography of China
Christmas Island,The Settlement,Geography of Christmas Island
Clipperton Island,none,Geography of Clipperton Island
Cocos (Keeling) Islands,West Island,Geography of Cocos (Keeling) Islands
Colombia,Bogota,Geography of Colombia
Comoros,Moroni,Geography of Comoros
"Congo, Democratic Republic of the",Kinshasa,Geography of Democratic Republic of the Congo
"Congo, Republic of the",Brazzaville,Geography of Republic of the Congo
Cook Islands,Avarua,Geography of Cook Islands
Coral Sea Islands,none,Geography of Coral Sea Islands
Costa Rica,San Jose,Geography of Costa Rica
Cote d'Ivoire,Yamoussoukro,Geography of Cote D'Ivoire (Ivory Coast)
Croatia,Zagreb,Geography of Croatia
Cuba,Havana,Geography of Cuba
Cyprus,Nicosia,Geography of Cyprus
Czech Republic,Prague,Geography of Czech Republic
