World rank,City,Country,City population,Metro population,Mayor
447,ANTANANARIVO,Madagascar,"903,000","1,403,000",n/k
461,LILONGWE,Malawi,"866,000",,n/k
157,KUALA LUMPUR,Malaysia,"1,810,000","5,470,000",Dato Ahmed Fuad Ismail
158,BAMAKO,Mali,"1,809,000",,Adama B. Sangarй
14,MEXICO CITY,Mexico,"8,841,000","21,163,000",Marcelo Ebrard
137,Monterrey,Mexico,"2,057,000","3,650,000",Fernando Larrazabal
150,Puebla,Mexico,"1,888,000","2,500,000",Blanca Alcala Ruiz
178,Ecatepec,Mexico,"1,688,000","1,690,000",Eruviel Бvila Villegas
198,Guadalajara,Mexico,"1,580,000","3,600,000",Jorge Aristoteles Sandoval
222,Tijuana,Mexico,"1,484,000","1,500,000",Carlos Bustamante
255,Ciudad Juarez,Mexico,"1,400,000","2,010,000",Josй Reyes Ferriz
345,Zapopan,Mexico,"1,155,000","1,200,000",Hector Vielma Ordoсez
346,Nezahualcoyotl,Mexico,"1,141,000","1,150,000",Edgar Cesбreo Navarro Sбnchez
349,Leon,Mexico,"1,138,000","1,635,000",Ricardo Sheffield
410,Torreon,Mexico,"1,001,000",,Eduardo Olmos Castro
411,Mexicali,Mexico,"1,000,000","1,000,000",n/k
478,Naucalpan,Mexico,"822,000","835,000",Azucena Olivares Villagуmez
494,Santiago de Queretaro,Mexico,"805,000","1,085,000",Francisco Domнnguez Servien
505,Toluca,Mexico,"785,000","1,650,000",Maria Elena Barrera Tapia
525,Merida,Mexico,"734,000","890,000",Cйsar Bojуrquez Zapata
529,Acapulco,Mexico,"718,000","880,000",Manuel Aсorve Bolaсos
540,Chihuahua,Mexico,"694,000","825,000",n/k
544,San Luis Potosi,Mexico,"685,000","957,000",Jorge Lozano Armengol
545,Tlalnepantla de Baz,Mexico,"685,000","800,000",Arturo Ugalde Meneses
558,Aguascalientes,Mexico,"664,000","701,000",Gabriel Arellano Espinoza
582,Culiacan,Mexico,"567,000","766,000",n/k
n/r,Matamoros,Mexico,"370,000","780,000",n/k
n/r,Tampico,Mexico,"319,000","775,000",n/k
504,CHISINAU,Moldova,"785,000","911,000",Dorin Chirtoaca
364,ULAANBAATAR,Mongolia,"1,108,000",,n/k
58,Casablanca,Morocco,"3,673,000","3,850,000",Mohammed Sajid
380,Marrakech,Morocco,"1,071,000",,n/k
405,Fes,Morocco,"1,009,000",,n/k
432,Safi,Morocco,"933,000",,n/k
438,Fez,Morocco,"921,000","921,000",n/k
446,Salй,Morocco,"904,000",,n/k
536,Tangier,Morocco,"710,000",,n/k
564,RABAT,Morocco,"627,000","1,790,000",Omar El Bahraoui
313,MAPUTO,Mozambique,"1,244,000","1,640,000",David Simango
47,Yangon,Myanmar (Burma),"4,468,000","5.500,000",Aung Thein Lynn
425,Mandalay,Myanmar (Burma),"961,000","1,300,000",Phone Zaw Han
430,KATHMANDU,Nepal,"949,000","1,700,000",n/k
515,AMSTERDAM,Netherlands,"762,000","1,536,000",Eberhard van der Laan
572,Rotterdam,Netherlands,"590,000","1,187,000",Ahmed Aboutaleb
n/r,The Hague,Netherlands,"486,000","1,011,000",Van Aartsen
n/r,Einhoven,Netherlands,"212,000","440,000",R van Gijzel
n/r,Auckland,New Zealand,"428,000","1,333,000",Len Brown
332,MANAGUA,Nicaragua,"1,185,000","1,342,000",Daisy Torres
