Wrestler,Height,Weight
Akeem/One Man Gang,"6'9""",457 lbs.
Andre The Giant,"6'11""",520 lbs.
Arn Anderson,"6'0""",249 lbs.
Bad News Brown,Unknown,271 lbs.
Bam Bam Bigelow,"6'3""",368 lbs.
Barry Horowitz,"5'10""",227 lbs.
Bart Gunn,"6'5""",260 lbs.
Batista,"6'6""",317 lbs.
Big Daddy,"6'6""",350 lbs.
Big Show,"7'1""",400 lbs.
Bill Goldberg,6'4,290 lbs.
Billy Gunn,"6'5""",254 lbs.
Billy/Benny McGuire,--,1598(total) lbs.
BlackJack Bradshaw,"6'9""",309 lbs.
BlackJack Wyndham,"6'5""",273 lbs.
Bob Backlund,"6'1""",234 lbs.
Bob Holly,"6'1""",231 lbs.
Bret Hart,"6'0""",234 lbs.
Brian Christopher,"5'10""",230 lbs.
Brian Nobbs,"6'1""",295 lbs.
Brian Pillman,"6'0""",226 lbs.
British Bulldog,"5'10""",253 lbs.
Brock Lesnar,6'4,295 lbs.
Brooklyn Brawler,"6'0""",231 lbs.
Bruce,"5'9""",212 lbs.
Brutus Beefcake,"6'4""",271 lbs.
Buff Bagwell,"6'1""",240 lbs.
Bushwacker Butch,"6'0""",255 lbs.
Bushwacker Luke,"6'1""",244 lbs.
Chris Benoit,"5'10""",218 lbs.
Crush,"6'6""",318 lbs.
Curt Hennig,"6'3""",257 lbs.
Dean Douglas,"6'0""",223 lbs.
Dean Malenko,"5'9""",216 lbs.
DDP,"6'5""",260 lbs.
Disco Inferno,"6'0""",238 lbs.
Don Muraco,"6'3""",270 lbs.
Doug Furnas,"5'11""",243 lbs.
Duke Droese,"6'5""",306 lbs.
Dusty Rhodes,"6'3""",289 lbs.
Earthquake,"6'4""",462 lbs.
Eddy Guerrero,"5'8""",221 lbs.
The Executioner,"6'4""",289 lbs.
Fatu,"6'1""",401 lbs.
Faarooq,"6'3""",272 lbs.
Flash Funk,"5'11""",235 lbs.
Freddie Joe Floyd,"6'1""",227 lbs.
Gene Snitsky,"6'4""",300 lbs.
The Genius,"6'0""",252 lbs.
Giant Gonzales,"7'7""",435 lbs.
Giant Haystacks,"6'11""",685 lbs.
Gorilla Monsoon,"6'6""",400 lbs.
Giant Silva,"7'3""",403 lbs.
"Greg ""The Hammer"" Valentine","6'0""",248 lbs.
Hacksaw Jim Duggan,"6'3""",280 lbs.
Haku,"6'0""",273 lbs.
Headbanger Mosh,"6'0""",243 lbs.
Headbanger Thrasher,"6'2""",242 lbs.
Henry O. Godwinn,"6'7""",288 lbs.
Hercules,6'1,275 lbs.
Hillbilly Jim,"6'7""",286 lbs.
Honky Tonk Man,"6'1""",258 lbs.
Hulk Hogan,"6'8""",303 lbs.
Hunter Hearst Helmsley,"6'4""",246 lbs.
Iron Shiek,"6'0""",262 lbs.
Irwin R. Sheister,"6'3""",248 lbs.
"Jake ""The Snake"" Roberts","6'5""",253 lbs.
Jeff Jarrett,"5'10""",230 lbs.
Jerry Saggs,"6'3""",290 lbs.
Jerry Lawler,"6'0""",234 lbs.
Jesse James,"6'4""",240 lbs.
Jesse Ventura,"6'4""",245 lbs.
Jim Duggan,"6'3""",280 lbs.
Jimmy Hart,5'10,166 lbs.
"Jimmy ""Superfly"" Snuka","6'0""",250 lbs.
Jim Neidhart,"6'1""",281 lbs.
John Cena,"6'1""",248 lbs.
Josh Mathews,"5'9""",143 lbs.
Kamala,"6'7""",345 lbs.
Kama Mustafaa,"6'6""",340 lbs.
Kane,"6'9""",320 lbs.
Ken Shamrock,6'0,235 lbs.
Kevin Nash,"6'11""",356 lbs.
King Kong Bundy,"6'4""",446 lbs.
Koko B. Ware,"5'9""",229 lbs.
Konnan,"5'10""",237 lbs.
Leif Cassidy,"6'1""",231 lbs.
Lex Luger,"6'5""",265 lbs.
Mabel,"6'10""",568 lbs.
Mankind,"6'3""",287 lbs.
Marc Mero,"6'1""",235 lbs.
Mark Jindrak,"6'6""",271 lbs.
Marty Jannetty,"5'11""",230 lbs.
Meng,"6'0""",273 lbs.
Mo,"6'1""",285 lbs.
Mr. Fuji,Unknown,249 lbs.
Mr. Hughes,"6'5""",308 lbs.
Nailz,"6'5""",271 lbs.
Owen Hart,"5'11""",227 lbs.
Paul Roma,"5'11""",235 lbs.
Philip LaFon,"5'11""",235 lbs.
Phinneas I. Godwinn,"6'7""",310 lbs.
Randy Savage,"6'2""",245 lbs.
Raven,"6'1""",235 lbs.
Razor Ramon (Fake),"6'5""",285 lbs.
Red Rooster,Unknown,240 lbs.
Rey Mysterio Jr,"5'3""",140 lbs.
Ric Flair,"6'1""",243 lbs.
Rick Martel,"6'0""",234 lbs.
Rick Rude,"6'3""",251 lbs.
Rick Steiner,"5'11""",248 lbs.
Rob Van Dam,6'0,227 lbs.
"Rock, The","6'5""",?? lbs.
Ronnie Garvin,Unknown,242 lbs.
Savio Vega,"5'10""",256 lbs.
Scott Hall,"6'8""",290 lbs.
Scott Norton,"6'3""",340 lbs.
Scott Steiner,"6'1""",235 lbs.
Sgt. Slaughter,"6'3""",310 lbs.
Shawn Michaels,"6'0""",235 lbs.
Skip,"5'8""",226 lbs.
Spike Dudley,"5'6""",155 lbs.
Stone Cold Steve Steve Austin,"6'3""",256 lbs.
The Sultan,"6'2""",260 lbs.
Sycho Sid,"6'10""",313 lbs.
Syxx(Now known as X-Pac),"6'2""",212 lbs.
Tatanka,"6'1""",250 lbs.
Terry Funk,"6'1""",247 lbs.
Test,"6'6""",282 lbs.
Texas Tornado,"6'2""",254 lbs.
Tito Santana,"6'1""",244 lbs.
T.L. Hopper,"6'1""",235 lbs.
Tyson Tomko,"6'6""",292 lbs.
Tugboat/Typhoon,6'7,384 lbs.
Ultimate Warrior,"6'2""",275 lbs.
Uncle Elmer,"7'2""",450 lbs.
The Undertaker,"6'10""",328 lbs.
Vader,"6'6""",452 lbs.
Vince,"6'2""",250 lbs.
