Name,Reign,Full Name,Family,Spouse
Arcadius,395-408,,Son of Theodosius the Great,
Theodosius II,408-50,,Son of Arcadius,Eudoxia
Marcian,450-7,,,
Leo I,457-74,,,
Leo II,474,,Grandson of Leo II Son of Zeno + Ariadne,
Zeno,474-491,,Father of Leo II,"Ariadne, dau Leo I"
Anastasius,491-518,,,
Glycerinus,,,,
Justin I,518-27,,,
Justinian I,527-65,Flavius Petrus Sabbatius Justinianus,Nephew of Justin,Theodora
Justin II,-578,,Nephew of Justinian II,"Sophia, neice of Theodora"
,,,,
Maurice,-602,,,
Phocas,602-10,,,
Heraclius,610-41,,,
Constantine III,-641,,,
Constans II,641-88,,son of Constantine III,
Constantine IV,c 673,,,
Justinian II,685-695 dep,,,
Leontius,695,,deposed Justinian II,
Tiberius II,697/8,,deposed Leontius,
Justinian II restored,704/5-11,,,Theodora (a Khazar)
Philippicus (Bardan),711-3,,killed Justinian II,
Anastasius II,713-6,,,
Theodosius II,716-7 abd,,,
Leo III the Isaurian,717-,,,
Constantine V Copronymus,720-75 co-emp,,,
Leo IV,775-,,son of Constantine V,Irene
Constantine VI,780-97dep,,son of Leo IV + Irene,
Irene,797,,deposed Constantine VI,
Nicephorus I,802-11,,,
Michael I Rangabe,811-13,,,
Leo V the Armenian,813-20,,,
Michael II,820-9,,,
Theophilus,829-42,,son of Michael II,Theodora
Michael III,842-67,,,
