Summit,Height (m),Height (ft),Grid Reference,Date,
Allt Lwyd,654m,2146ft,SO079189,19/09/2008,
Allt-fawr,698m,2290ft,SH682475,,
Aran Benllyn,885m,2904ft,SH867243,,
Aran Fawddwy,905m,2969ft,SH863224,,
Arenig Fach,689m,2260ft,SH820415,19/11/2006,
Arenig Fawr,854m,2802ft,SH827369,,
Arenig Fawr South Ridge Top,712m,2336ft,SH827360,,
Arenig Fawr South Top,836m,2743ft,SH827366,,
Bache Hill,610m,2001ft,SO214636,,
Bera Bach,807m,2648ft,SH672678,30/05/2010,
Bera Mawr,794m,2605ft,SH675683,30/05/2010,
Black Mixen,650m,2133ft,SO196644,,
Black Mountain,703m,2306ft,SO255354,20/09/2008,
Black Mountain South Top,637m,2090ft,SO266322,20/09/2008,
Bwlch y Ddwyallt,754m,2474ft,SO054203,19/09/2008,
Cadair Berwyn,827m,2713ft,SJ071323,17/11/2006,
Cadair Berwyn New Top,830m,2723ft,SJ072327,17/11/2006,
Cadair Bronwen,785m,2575ft,SJ077346,,
Cadair Bronwen East Top,700m,2297ft,SJ087352,,De-moted Sept 2007
Cadair Idris,893m,2930ft,SH711130,26/08/2007,
Carnedd Dafydd,1044m,3425ft,SH663631,31/05/2010,
Carnedd Llechwedd-llyfn,643m,2110ft,SH858445,10/03/2006,
Carnedd Llewelyn,1064m,3491ft,SH684644,31/05/2010,
Carnedd y Ddelw,688m,2257ft,SH708705,,
Carnedd y Filiast (Arenigs),669m,2195ft,SH871446,10/03/2006,
Carnedd y Filiast (Glyders),821m,2694ft,SH620628,,
Carnedd y Filiast North Top,721m,2365ft,SH617631,,Promoted Sept 2007
Castell y Gwynt,972m,3189ft,SH654581,,Promoted Sept 2007
Cefn Gwyntog,615m,2018ft,SH976266,18/11/2006,
Cefn yr Ystrad,617m,2024ft,SO087137,23/09/2008,
Chwarel y Fan,679m,2228ft,SO258294,20/09/2008,
Cnicht,689m,2260ft,SH645466,,
Cnicht North Top,686m,2251ft,SH648468,,
Corn Du,873m,2864ft,SO007213,19/09/2008,
Craig Cerrig-gleisiad,629m,2064ft,SN961218,18/09/2008,
Craig Cwm Amarch,791m,2595ft,SH711121,26/08/2007,
Craig Cwm Silyn,734m,2408ft,SH525503,,
Craig Eigiau,735m,2411ft,SH713655,,
Craiglwyn,623m,2044ft,SH730608,,
Craig-y-llyn,622m,2041ft,SH665119,,
Craigysgafn,689m,2260ft,SH660443,,
Creigiau Gleision,678m,2224ft,SH729615,,
Creigiau Gleision North Top,634m,2080ft,SH734622,,
Crib Goch,923m,3028ft,SH624552,,
Crib y Ddysgl,1065m,3494ft,SH611552,25/06/2006,
Cribin Fawr,659m,2162ft,SH795153,,
Cribyn,795m,2608ft,SO024213,19/09/2008,
Crib-y-rhiw,670m,2198ft,SH663249,03/05/2008,
Cyfrwy,811m,2661ft,SH704133,26/08/2007,
Cyrniau Nod,667m,2188ft,SH988279,18/11/2006,
Dduallt,662m,2172ft,SH811274,02/05/2008,
Diffwys,750m,2461ft,SH661234,03/05/2008,
Diffwys West Top,642m,2106ft,SH648229,03/05/2008,
Drosgl,758m,2487ft,SH664680,30/05/2010,
Drum,770m,2526ft,SH708696,,
Drygarn Fawr,641m,2103ft,SN862584,,
Elidir Fawr,924m,3031ft,SH612613,,
Erw y Ddafad-ddu,872m,2861ft,SH865234,,
Esgeiriau Gwynion,671m,2201ft,SH890236,,
Fan Brycheiniog,802m,2631ft,SN825218,22/09/2008,
Fan Fawr,734m,2408ft,SN970193,18/09/2008,
Fan Fraith,668m,2192ft,SN887184,21/09/2008,
Fan Frynych,629m,2064ft,SN958228,18/09/2008,
Fan Gyhirych,725m,2379ft,SN881191,21/09/2008,
Fan Hir,761m,2497ft,SN831209,22/09/2008,
Fan Llia,632m,2073ft,SN938186,21/09/2008,
Fan Nedd,663m,2175ft,SN913184,21/09/2008,
Fan y Big,719m,2359ft,SO036207,19/09/2008,
Foel Boeth,616m,2021ft,SH779342,,
Foel Cwm Sian Llwyd,648m,2126ft,SH996314,,
Foel Goch (Arenigs),611m,2005ft,SH953423,,
Foel Goch (Berwyns),613m,2011ft,SH943291,18/11/2006,
Foel Grach,976m,3202ft,SH689659,30/05/2010,
Foel Gron,629m,2064ft,SH560569,,
Foel Hafod-fynydd,689m,2260ft,SH877227,,
Foel Meirich,800m,2625ft,SH659637,31/05/2010,
Foel Penolau,614m,2014ft,SH661348,04/05/2008,
Foel Rhudd,659m,2162ft,SH896239,,
Foel Wen,691m,2267ft,SJ099334,17/11/2006,
Foel Wen South Top,687m,2254ft,SJ102330,17/11/2006,
Foel y Geifr,626m,2054ft,SH937275,18/11/2006,
Foel-fras,942m,3091ft,SH696682,30/05/2010,
Foel-goch,831m,2726ft,SH629612,,
Gallt y Daren,619m,2031ft,SH778345,,
Gallt y Wenallt,619m,2031ft,SH642533,,
Gallt yr Ogof,763m,2503ft,SH685586,,
Garnedd Uchaf,926m,3038ft,SH687669,30/05/2010,
Garnedd-goch,700m,2297ft,SH511495,,
Garreg Las,635m,2083ft,SN777203,22/09/2008,
Garreg Lwyd,616m,2021ft,SN740179,21/09/2008,
Gau Graig,683m,2241ft,SH744141,26/08/2007,
Glasgwm,780m,2559ft,SH837194,27/08/2007,
Glyder Fach,994m,3261ft,SH656583,,
Glyder Fawr,999m,3278ft,SH642579,,
Godor,679m,2228ft,SJ094308,17/11/2006,
Godor North Top,675m,2215ft,SJ089311,17/11/2006,
Gorllwyn,613m,2011ft,SN918591,,
Great Rhos,660m,2165ft,SO182639,,
Gwaun Lydan,632m,2073ft,SH880212,,
Gwaun y Llwyni,685m,2247ft,SH857205,,
Gyrn Wigau,643m,2110ft,SH654675,30/05/2010,
Llechog,718m,2356ft,SH606567,,
Llechwedd Du,614m,2014ft,SH894224,,
Lliwedd Bach,818m,2684ft,SH628532,25/06/2006,
Llwytmor,849m,2785ft,SH689692,30/05/2010,
Maesglase,676m,2218ft,SH817150,,
Manod Mawr,661m,2169ft,SH724447,11/03/2006,
Manod Mawr North Top,658m,2159ft,SH727458,11/03/2006,
Moel Cynghorion,674m,2211ft,SH586564,,
Moel Druman,676m,2218ft,SH671476,,
Moel Eilio,726m,2382ft,SH556577,,
Moel Fferna,630m,2067ft,SJ116398,,
Moel Hebog,783m,2569ft,SH565469,28/12/2005,
Moel Lefn,638m,2093ft,SH553485,28/12/2005,
Moel Llyfnant,751m,2464ft,SH808352,,
Moel Penamnen,620m,2034ft,SH716483,11/03/2006,
Moel Siabod,872m,2861ft,SH705546,,
Moel Sych,827m,2713ft,SJ066318,17/11/2006,
Moel y Cerrig Duon,625m,2051ft,SH923242,,
Moel yr Ewig,695m,2280ft,SJ080317,17/11/2006,
Moel yr Ogof,655m,2149ft,SH556478,28/12/2005,
Moel Ysgyfarnogod,623m,2044ft,SH658346,04/05/2008,
Moelwyn Bach,710m,2329ft,SH660437,,
Moelwyn Mawr,770m,2526ft,SH658449,,
Moelwyn Mawr North Ridge Top,646m,2119ft,SH661453,,
Moel-yr-hydd,648m,2126ft,SH672454,,
Mynydd Drws-y-coed,695m,2280ft,SH549518,,
Mynydd Graig Goch,610m,2000ft,SH497485,,Promoted Sept 2008
Mynydd Llysiau,663m,2175ft,SO207279,28/12/2001,
Mynydd Mawr,698m,2290ft,SH539547,29/12/2005,
Mynydd Moel,863m,2831ft,SH727137,26/08/2007,
Mynydd Perfedd,812m,2664ft,SH623619,,
Mynydd Tal-y-mignedd,653m,2142ft,SH535514,,
Mynydd Tarw,681m,2234ft,SJ113324,17/11/2006,
Pen Allt-mawr,719m,2359ft,SO207243,28/12/2001,
Pen Bwlch Llandrillo Top,621m,2037ft,SJ089369,,
Pen Cerrig-calch,701m,2300ft,SO217223,28/12/2001,
Pen Llithrig y Wrach,799m,2621ft,SH716623,01/06/2010,
Pen Pumlumon Arwystli,741m,2431ft,SN815877,,
Pen Pumlumon Llygad-bychan,727m,2385ft,SN799871,,
Pen Twyn Glas,646m,2119ft,SO213257,28/12/2001,
Pen Twyn Mawr,658m,2159ft,SO242267,28/12/2001,
Pen y Boncyn Trefeilw,646m,2119ft,SH962283,18/11/2006,
Pen y Bryn-fforchog,685m,2247ft,SH818179,27/08/2007,
Pen y Castell,623m,2044ft,SH722689,,
Pen y Fan,886m,2907ft,SO012216,19/09/2008,
Pen y Gadair Fawr,800m,2625ft,SO229287,28/12/2001,
Pen y Garn,610m,2001ft,SN798771,,
Pen yr Allt Uchaf,620m,2034ft,SH871197,,
Pen yr Helgi Du,833m,2733ft,SH698630,01/06/2010,
Pen yr Ole Wen,978m,3209ft,SH655619,31/05/2010,
Picws Du,749m,2457ft,SN811218,22/09/2008,
Post Gwyn,665m,2182ft,SJ048294,,
Pumlumon Fach,664m,2178ft,SN787874,,
Pumlumon Fawr,752m,2467ft,SN790870,,
Rhinog Fach,712m,2336ft,SH665270,03/05/2008,
Rhinog Fawr,720m,2362ft,SH657290,03/05/2008,
Rhobell Fawr,734m,2408ft,SH787257,02/05/2008,
Rhos Dirion,713m,2339ft,SO211334,20/09/2008,
Snowdon - Yr Wyddfa,1085m,3560ft,SH609544,01/07/2001,
Stac Rhos,630m,2067ft,SH969279,18/11/2006,
Tal y Fan,610m,2001ft,SH729727,,
Tarren y Gesail,667m,2188ft,SH710059,,
Tarrenhendre,634m,2080ft,SH683041,,
Tomle,742m,2434ft,SJ085335,17/11/2006,
Trum y Ddysgl,709m,2326ft,SH545516,,
Trum y Gwrgedd,612m,2008ft,SH941284,18/11/2006,
Tryfan,915m,3002ft,SH664594,,
Twmpa,680m,2231ft,SO225350,20/09/2008,
Tyrrau Mawr,661m,2169ft,SH677135,,
Waun Camddwr,621m,2037ft,SH848206,,
Waun Fach,811m,2661ft,SO215300,28/12/2001,
Waun Garnedd-y-Filiast,650m,2133ft,SH874452,10/03/2006,
Waun Lefrith,677m,2221ft,SN798215,22/09/2008,
Waun Rydd,769m,2523ft,SO062206,19/09/2008,
Waun-oer,670m,2198ft,SH786147,,
Y Foel Goch,805m,2641ft,SH678582,,
Y Garn (Glyders),947m,3107ft,SH631596,,
Y Garn (Moel Hebog),633m,2077ft,SH551526,,
Y Garn (Plumlumon),684m,2244ft,SN776852,,
Y Garn (Rhinogs),629m,2064ft,SH702230,05/05/2008,
Y Groes Fagl,659m,2162ft,SH988290,18/11/2006,
Y Gyrn,619m,2031ft,SN989216,18/09/2008,
Y Llethr,756m,2480ft,SH661258,03/05/2008,
Y Lliwedd,898m,2946ft,SH622533,25/06/2006,
Y Lliwedd East Top,893m,2930ft,SH623532,25/06/2006,
Yr Aran,747m,2451ft,SH604515,,
Yr Elen,962m,3156ft,SH674651,31/05/2010,
Ysgafell Wen,672m,2205ft,SH667481,,
Ysgafell Wen Far North Top,650m,2133ft,SH663488,,
Ysgafell Wen North Top,669m,2195ft,SH663485,,
