ENTITY,CURRENCY,ALPHABETIC CODE,NUMERIC CODE
Afghanistan,Afghani,AFA,4
Albania,Lek,ALL,8
Algeria,Algerian Dinar,DZD,12
American Samoa,US Dollar,USD,840
Andorra,Spanish Peseta,ESP,724
,French Franc,FRF,250
,Andorran Peseta,ADP,20
Angola,New Kwanza,AON,24
,Kwanza Reajustado,AOR,982
Anguilla,East Caribbean Dollar,XCD,951
Antarctica,No universal currency,,
Antigua and Barbuda,East Caribbean Dollar,XCD,951
Argentina,Argentine Peso,ARS,32
Armenia,Armenian Dram,AMD,51
Aruba,Aruban Guilder,AWG,533
Australia,Australian Dollar,AUD,36
Austria,Schilling,ATS,40
Azerbaijan,Azerbaijanian Manat,AZM,31
Bahamas,Bahamian Dollar,BSD,44
Bahrain,Bahraini Dinar,BHD,48
Bangladesh,Taka,BDT,50
Barbados,Barbados Dollar,BBD,52
Belarus,Belarussian Ruble,BYR,974
Belgium,Belgian Franc,BEF,56
Belize,Belize Dollar,BZD,84
Benin,CFA Franc BCEAO,XOF,952
Bermuda,Bermudian Dollar,BMD,60
Bhutan,Indian Rupee,INR,356
,Ngultrum,BTN,64
Bosnia and Herzegovina,Convertible Marks,BAM,977
Botswana,Pula,BWP,72
Bouvet Island,Norwegian Krone,NOK,578
Brazil,Brazilian Real,BRL,986
British Indian Ocean Territory,US Dollar,USD,840
Brunei Darussalam,Brunei Dollar,BND,96
Bulgaria,Lev,BGL,100
,Bulgarian LEV,BGN,975
Burkina Faso,CFA Franc BCEAO,XOF,952
Burundi,Burundi Franc,BIF,108
Cambodia,Riel,KHR,116
Cameroon,CFA Franc BEAC,XAF,950
Canada,Canadian Dollar,CAD,124
Cape Verde,Cape Verde Escudo,CVE,132
Cayman Islands,Cayman Islands Dollar,KYD,136
Central African Republic,CFA Franc BEAC,XAF,950
Chad,CFA Franc BEAC,XAF,950
Chile,Chilean Peso,CLP,152
,Unidades de fomento,CLF,990
China,Yuan Renminbi,CNY,156
Christmas Island,Australian Dollar,AUD,36
Cocos (Keeling) Islands,Australian Dollar,AUD,36
Colombia,Colombian Peso,COP,170
Comoros,Comoro Franc,KMF,174
Congo,CFA Franc BEAC,XAF,950
"Congo, The Democratic Republic Of",Franc Congolais,CDF,976
Cook Islands,New Zealand Dollar,NZD,554
Costa Rica,Costa Rican Colon,CRC,188
Cote D'ivoire,CFA Franc BCEAO,XOF,952
Croatia,Kuna,HRK,191
Cuba,Cuban Peso,CUP,192
Cyprus,Cyprus Pound,CYP,196
Czech Republic,Czech Koruna,CZK,203
Denmark,Danish Krone,DKK,208
Djibouti,Djibouti Franc,DJF,262
Dominica,East Caribbean Dollar,XCD,951
Dominican Republic,Dominican Peso,DOP,214
East Timor,Timor Escudo,TPE,626
,Rupiah,IDR,360
Ecuador,Sucre,ECS,218
,Unidad de Valor Constante (UVC),ECV,983
Egypt,Egyptian Pound,EGP,818
El Salvador,El Salvador Colon,SVC,222
Equatorial Guinea,CFA Franc BEAC,XAF,950
Estonia,Kroon,EEK,233
Eritrea,Nakfa,ERN,232
Ethiopia,Ethiopian Birr,ETB,230
Faeroe Islands,Danish Krone,DKK,208
Falkland Islands (Malvinas),Pound,FKP,238
Fiji,Fiji Dollar,FJD,242
Finland,Markka,FIM,246
France,French Franc,FRF,250
French Guiana,French Franc,FRF,250
French Polynesia,CFP Franc,XPF,953
French Southern Territories,French Franc,FRF,250
Gabon,CFA Franc BEAC,XAF,950
Gambia,Dalasi,GMD,270
Georgia,Lari,GEL,981
Germany,Deutsche Mark,DEM,276
Ghana,Cedi,GHC,288
Gibraltar,Gibraltar Pound,GIP,292
Greece,Drachma,GRD,300
Greenland,Danish Krone,DKK,208
Grenada,East Caribbean Dollar,XCD,951
Guadeloupe,French Franc,FRF,250
Guam,US Dollar,USD,840
Guatemala,Quetzal,GTQ,320
Guinea,Guinea Franc,GNF,324
Guinea-Bissau,Guinea-Bissau Peso,GWP,624
,CFA Franc BCEAO,XOF,952
Guyana,Guyana Dollar,GYD,328
Haiti,Gourde,HTG,332
,US Dollar,USD,840
Heard and Mcdonald Islands,Australian Dollar,AUD,36
Honduras,Lempira,HNL,340
Hong Kong,Hong Kong Dollar,HKD,344
Hungary,Forint,HUF,348
Iceland,Iceland Krona,ISK,352
India,Indian Rupee,INR,356
Indonesia,Rupiah,IDR,360
International Monetary Fund (Imf),SDR,XDR,960
Iran (Islamic Republic Of),Iranian Rial,IRR,364
Iraq,Iraqi Dinar,IQD,368
Ireland,Irish Pound,IEP,372
Israel,New Israeli Sheqel,ILS,376
Italy,Italian Lira,ITL,380
Jamaica,Jamaican Dollar,JMD,388
Japan,Yen,JPY,392
Jordan,Jordanian Dinar,JOD,400
Kazakhstan,Tenge,KZT,398
Kenya,Kenyan Shilling,KES,404
Kiribati,Australian Dollar,AUD,36
