Platform,Developer,Game Title,Units Sold (in millions)
Xbox 360,2K Games,Elder Scrolls IV: Oblivion,1.49
,,,
PSX,Acclaim,WWE Warzone,2.20
N64,Acclaim,Turok 2: Seeds of Evil,1.14
GEN,Acclaim,NBA Jam,1.93
GEN,Acclaim,Mortal Kombat 2,1.78
GEN,Acclaim,Mortal Kombat 3,1.02
SNES,Acclaim,Mortal Kombat 2,1.51
SNES,Acclaim,Mortal Kombat 3,1.22
SNES,Acclaim,NBA Jam,1.22
,,,
PSX,Activision,Tony Hawk's Pro Skater,3.02
PSX,Activision,Tony Hawk's Pro Skater 2,2.85
PSX,Activision,Tony Hawk's Pro Skater 3,2.01
PSX,Activision,Spider-Man,1.55
N64,Activision,Tony Hawk's Pro Skater,1.61
PS2,Activision,Tony Hawk's Pro Skater 3,2.07
PS2,Activision,Spider-Man: The Movie,2.51
PS2,Activision,Tony Hawk Underground,2.11
PS2,Activision,Tony Hawk Underground 2,1.30
PS2,Activision,Tony Hawk's Pro Skater 4,1.22
PS2,Activision,True Crime: Streets of LA,1.76
PS2,Activision,Spider-Man: The Movie 2,1.63
PS2,Activision,Guitar Hero,1.53
PS2,Activision,Guitar Hero II,3.31
PS2,Activision,Guitar Hero III: Legends of Rock,1.94
PS2,Activision,Call of Duty: Finest Hour,1.41
PS2,Activision,Shrek 2,1.00
Xbox,Activision,Call of Duty 2,1.39
Xbox 360,Activision,Guitar Hero II,1.46
Xbox 360,Activision,Marvel: Ultimate Alliance,2.08
Xbox 360,Activision,Call of Duty 3,1.22
Xbox 360,Activision,Call of Duty 4: Modern Warfare,1.89
Xbox 360,Activision,Guitar Hero III: Legends of Rock,1.32
Wii,Activision,Guitar Hero III: Legends of Rock,1.00
,,,
PSX,Atari,Frogger,3.37
PSX,Atari,Driver,3.22
PSX,Atari,Driver 2,2.55
PSX,Atari,Monopoly,1.19
PSX,Atari,Test Drive 5,1.08
PS2,Atari,Dragon Ball Z: Budokai,2.04
PS2,Atari,Dragon Ball Z: Budokai 2,1.50
PS2,Atari,Dragon Ball Z: Budokai 3,1.14
PS2,Atari,Enter The Matrix,1.34
GBA,Atari,Dragon Ball Z: The Legacy of Goku,1.40
,,,
Xbox 360,Bethesda,Elder Scrolls III: Morrorwind,1.36
,,,
PSX,Capcom,Resident Evil (w/ Director's Cut),2.10
PSX,Capcom,Resident Evil 2 (w/ Dual Shock Ver.),2.02
PSX,Capcom,Resident Evil 3: Nemesis,1.20
PS2,Capcom,Devil May Cry,1.29
PS2,Capcom,Resident Evil Code: Veronica X,1.04
GC,Capcom,Resident Evil 4,1.00
,,,
PSX,Eidos,Tomb Raider,2.14
PSX,Eidos,Tomb Raider 2,2.04
PSX,Eidos,Tomb Raider 3,1.30
PSX,Eidos,Tomb Raider 4,1.04
PS2,Eidos,Hitman 2: Assassin,1.05
,,,
N64,Electronic Arts,James Bond 007: The World is not Enough,1.08
PSX,Electronic Arts,Need For Speed III,1.70
PSX,Electronic Arts,007: Tomorrow Never Die,1.42
PSX,Electronic Arts,Madden NFL 99,1.50
PSX,Electronic Arts,Madden NFL 2000,1.48
PSX,Electronic Arts,Medal of Honor,1.44
PSX,Electronic Arts,Need For Speed: High Stakes,1.39
PSX,Electronic Arts,Nascar 98,1.16
PSX,Electronic Arts,NBA Live 98,1.15
PSX,Electronic Arts,Nascar 99,1.14
PSX,Electronic Arts,Harry Potter & The Sorcerer's Stone,1.10
PSX,Electronic Arts,Madden NFL 98,1.25
PSX,Electronic Arts,NBA Live 2000,1.00
PS2,Electronic Arts,Madden NFL 08,1.31
PS2,Electronic Arts,Madden NFL 06,3.71
PS2,Electronic Arts,Madden NFL 2005,4.35
PS2,Electronic Arts,Madden NFL 2004,3.95
PS2,Electronic Arts,Madden NFL 2006,3.77
