Year,Game,Genre,Platform(s),Developer(s)
2011,Batman: Arkham City[131],"Action-Adventure: Brawler, Stealth","PlayStation 3, Xbox 360",Rocksteady Studios
2010,Super Mario Galaxy 2[132],Platformer,Wii,Nintendo EAD Tokyo Development Group
2009,Uncharted 2: Among Thieves[133],Action-Adventure: (Third-Person) Shooter,PlayStation 3,Naughty Dog
2008,Grand Theft Auto IV,Open World: (Third-Person) Shooter,"Windows, PlayStation 3, Xbox 360",Rockstar North
2007,Super Mario Galaxy,Platformer,Wii,Nintendo
2006,The Legend of Zelda: Twilight Princess,Action-Adventure,"Wii, Nintendo GameCube",Nintendo
2005,Resident Evil 4,Survival horror: (Third-Person) Shooter,"GameCube, PlayStation 2, Windows, Wii",Capcom
2004,Half-Life 2,(First-Person) Shooter,"Windows, Xbox, Xbox 360, PlayStation 3",Valve
2003,The Legend of Zelda: The Wind Waker,Action-Adventure: Open World,GameCube,Nintendo EAD
2002,Metroid Prime,Action-Adventure: (First-Person) Shooter,"GameCube, Wii","Retro Studios, Nintendo"
2001,Grand Theft Auto III,Action-Adventure: Open World,"PlayStation 2, Windows, Xbox",DMA Design
2000,Perfect Dark,(First-Person) Shooter,Nintendo 64,"Rare, Nintendo"
1999,Soulcalibur,Fighting: Hack & Slash,DreamCast,Namco
1998,The Legend of Zelda: Ocarina of Time,Action-Adventure: Open World,Nintendo 64,Nintendo EAD
1997,GoldenEye 007,(First-Person) Shooter,Nintendo 64,"Rare, Nintendo"
1996,Super Mario 64,Platformer: Open World,"Nintendo 64, iQue Player, Nintendo DS, Virtual Console",Nintendo EAD
