World rank,City,Country,City population,Metro population,Mayor
178,Ecatepec,Mexico,"1,688,000","1,690,000",Eruviel Ávila Villegas
526,Edmonton,Canada,"730,000","1,035,000",Stephen Mandel
n/r,Einhoven,Netherlands,"212,000","440,000",R van Gijzel
286,Ekaterinburg,Russia,"1,323,000","1,389,000",Eugene Porunov
n/r,Erfurt,Germany,"203,000",,Andreas Bausewein
197,Esfahan,Iran,"1,584,000","2,600,000",Morteza Saqaeian Nejad
579,Essen,Germany,"580,000",,Reinhard Paß
385,Ezhou,China,"1,064,000",,n/k
107,Faisalabad,Pakistan,"2,510,000","5,081,000",Rana Zahid Tauseef
387,Faridabad,India,"1,055,000","2,193,000",n/k
426,Feicheng,China,"960,000",,n/k
310,Fengcheng,China,"1,250,000",,n/k
405,Fes,Morocco,"1,009,000",,n/k
438,Fez,Morocco,"921,000","921,000",n/k
n/r,Florence,Italy,"375,000","825,000",Matteo Renzi
108,Fortaleza,Brazil,"2,506,000","3,415,000",Luizianne Lins
557,Frankfurt,Germany,"665,000","2,717,000",Petra Roth
395,FREETOWN,Sierra Leone,"1,032,000","1,032,000",Herbert-George Williams
n/r,Freiburg,Germany,"220,000",,Dieter Salomon
n/r,Fresno,USA,"500,000","1,000,000",Ashley Swearengin
234,Fukuoka,Japan,"1,450,000","2,230,000",Hiroshi Yoshida
323,Fuqing,China,"1,200,000",,n/k
238,Fushun,China,"1,445,000","2,300,000",Wang Yang
541,Fuxin,China,"690,000","969,000",n/k
174,Fuyang,China,"1,720,000",,Sun Yunfei
91,Fuzhou (Fujian),China,"2,710,000","6,630,000",Yuan Rongxiang
399,Fuzhou (Jiangxi),China,"1,020,000","3,700,000",Xìe Yìs®
185,Gaozhou,China,"1,650,000",,n/k
n/r,Gaza,Palestine,"410,000","1,000,000",n/k
434,Gaziantep,Turkey,"927,000","1,912,000",n/k
n/r,Gdansk,Poland,"457,000","866,000",Pawel Adamowicz
n/r,Gelsenkirchen,Germany,"262,000",,Frank Baranowski
n/r,Gent,Belgium,"233,000",,Daniël Termont
420,Ghaziabad,India,"970,000",,Damyanti Goel
127,Giza,Egypt,"2,225,000","2,600,000",n/k
578,Glasgow,UK,"581,000","1,200,000",n/k
301,Goiania,Brazil,"1,282,000","2,064,000",Íris Rezende Machado
391,Gongzhuling,China,"1,050,000",,n/k
n/r,Gothenburg,Sweden,"506,000","916,000",Anneli Hulthén
378,Goyang,South Korea,"1,073,000",,n/k
n/r,Grand Rapids,USA,"193,000","777,000",George Heartwell
n/r,Greensboro,USA,"256,000","710,000",Bill Knight
198,Guadalajara,Mexico,"1,580,000","3,600,000",Jorge Aristoteles Sandoval
341,Guangyuan,China,"1,160,000","3,037,000",n/k
28,Guangzhou,China,"6,458,000","10,182,000",Wan Qingliang
300,Guarulhos,Brazil,"1,283,000","1,500,000",Sebastião Moreira
372,GUATEMALA CITY,Guatemala,"1,090,000","2,564,000",Alvaro Arzú
131,Guayaquil,Ecuador,"2,196,000","2,686,000",Jaime Nebot
215,Guigang,China,"1,500,000","4,400,000",n/k
280,Guilin,China,"1,340,000",,Li Zhigang
245,Guiping,China,"1,420,000",,n/k
67,Guiyang,China,"3,450,000",,Yuan Zhou
249,Gujranwala,Pakistan,"1,416,000","1,900,000",Fayyaz Ahmad Chattha
492,Guwahati,India,"808,000","820,000",Dolly Borah
542,Gwalior,India,"690,000","866,000",Sameeksha Gupta
250,Gwangju,South Korea,"1,415,000","1,500,000",Kang Un-tae
354,Haicheng,China,"1,130,000",,n/k
