LW,,TW,Title,Developer,Label,Publisher
-,,1,STAR TREK ONLINE,CRYPTIC STUDIOS,ATARI,NAMCO BANDAI GAMES
2,,2,FOOTBALL MANAGER 2010,SPORTS INTERACTIVE,SEGA,SEGA
1,,3,MASS EFFECT 2,BIOWARE,EA GAMES,ELECTRONIC ARTS
-,,4,S.T.A.L.K.E.R. CALL OF PRIPYAT,GSC GAME WORLD,BITCOMPOSER,KOCH MEDIA
3,,5,THE SIMS 3,THE SIMS STUDIO,EA GAMES,ELECTRONIC ARTS
5,,6,THE SIMS 3: WORLD ADVENTURES,THE SIMS STUDIO,EA GAMES,ELECTRONIC ARTS
4,,7,CALL OF DUTY: MODERN WARFARE 2,INFINITY WARD,ACTIVISION,ACTIVISION BLIZZARD
7,,8,WORLD OF WARCRAFT: WRATH OF LICH KING,BLIZZARD ENTERTAINMENT,BLIZZARD,ACTIVISION BLIZZARD
8,,9,DRAGON AGE: ORIGINS,BIOWARE,EA GAMES,ELECTRONIC ARTS
6,,10,EMPIRE: TOTAL WAR,CREATIVE ASSEMBLY,SEGA,SEGA
17,,11,BATMAN: ARKHAM ASYLUM,ROCKSTEADY STUDIOS,EIDOS,SQUARE ENIX EUROPE
10,,12,FALLOUT 3: GAME OF THE YEAR EDITION,BETHESDA,BETHESDA SOFTWORKS,BETHESDA SOFTWORKS
9,,13,GRAND THEFT AUTO IV,ROCKSTAR TORONTO,ROCKSTAR,TAKE 2
11,,14,LEFT 4 DEAD 2,VALVE,EA GAMES,ELECTRONIC ARTS
12,,15,BORDERLANDS,GEARBOX SOFTWARE,2K GAMES,TAKE 2
14,,16,SPORE,MAXIS,EA GAMES,ELECTRONIC ARTS
15,,17,MICROSOFT FLIGHT SIMULATOR X GOLD,ACES STUDIO,MICROSOFT,MICROSOFT
13,,18,JAMES CAMERON'S AVATAR: THE GAME,UBISOFT (MONTREAL),UBISOFT,UBISOFT
18,,19,BLOOD BOWL,CYANIDE,FOCUS HOME INTERACTIVE,THQ
16,,20,"WARHAMMER 40,000: DAWN OF WAR II",RELIC,THQ,THQ
