Dial Location,Call Letters,Format,Address,Telephone
AM 790,KABC (ABC Radio Networks),News/Talk,"3321 S La Cienega Blvd, Los Angeles 90016",(310) 840-4900
AM 900,KALI AM,Spanish News/Talk,"747 E Green St, Pasadena 91101",(626) 844-8882
AM 1300,KAZN (Asian Radio),Chinese Variety,"747 E Green St, Pasadena 91101",(626) 568-1300
AM 1580,KBLA,Spanish News/Talk,"123 Figueroa St, #101A, Los Angeles 90012",(213) 628-8700
AM 740,KBRT (K-Bright),Religious Talk,"3183-D Airway Ave, Costa Mesa 92626",(714) 754-4450
AM 1110,KDIS (Radio Disney),Children?s Programming,"3321 S La Cienega Blvd, Los Angeles 90016",(310) 840-4900
AM 640,KFI (More Stimulating Talk Radio),Talk,"610 S Ardmore Ave, Los Angeles 90005",(213) 385-0101
AM 1650,KFOX (Radio Seoul),Korean,"501 Santa Monica Blvd, Ste 301, Santa Monica 90401",(310) 395-1427
AM 1280,KFRN (Family Radio Network),Religious,"105 Linden Ave, Long Beach 90802",(562) 435-0103
AM 980,KFWB (News 98),News,"6230 Yucca St, Los Angeles 90028",(323) 462-5392
AM 930,KHJ (La Ranchera),Spanish Ranchero,"1845 Empire Ave, Burbank 91504",(818) 729-5300
AM 670,KIRN (Radio Iran),Iranian,"123 S Figueroa St, Ste 101A, Los Angeles 90012",(213) 628-8700
AM 570,KLAC,Oldies,"610 S Ardmore Ave, Los Angeles 90005",(213) 385-0101
AM 1390,KLTX (Nueva Vida),Spanish Religious,"136 S. Oak Knoll #202, Pasadena 91101",(626) 356-4230
AM 1600,KMNY,Chinese,"747 E Green St, Pasadena 91101",(626) 844 1600
AM 1540,KMPC (Sporting News Radio),Sports,"2800 28th St. #308, Santa Monica 90404",(310) 452-7100
AM 1430,KMRB,Cantonese,"747 East Green St, Pasadena 91101",(626) 844-8882
AM 830,KMXE,Spanish Talk,"15301 Ventura Blvd, #210 Sherman Oaks 91403",(818) 528-2050
AM 1070,KNX (CBS Radio),News,"6121 Sunset Blvd, Los Angeles 90028",(323) 460-3000
AM 870,KRLA (Smart Talk),Talk,"701 N Brand, #550, Glendale 91203",(818) 956-5552
AM 1510,KSPA (Station of the Stars),Adult Standards,"9485 Haven Ave, Rancho Cucamonga 91730",(909) 483-1500
AM 710,KSPN (ESPN Radio),Sports,"3321 S La Cienega Blvd, Los Angeles 90046",(310) 840-2874
AM 1260,KSUR,Adult Standards,"1500 Cotner Ave, Los Angeles 90025",(310) 478-5540
AM 1020,KTNQ (10-20),News Sports Information Spanish,"655 N. Central Ave, #2500, Glendale 91203",(818) 500-4500
AM 1460,KTYM,Religious/Ethnic,"6803 West Blvd, Inglewood 90302",(310) 672-3700
AM 1480,KVNR (Radio Vietnam),Asian,"9355 Chapman Ave, #108, Garden Grove 92841",(714) 741-9502
AM 1330,KWKW (13-30),Spanish News/Talk/Sports,"1645 N Vine St, #201, Los Angeles 90028",(323) 466-8111
AM 1190,KXMX,Foreign Language/Talk,"701 N Brand Blvd, Glendale 91203",(818) 956-5552
AM 1150,KXTA (Fox Sports),Sports Talk,"610 S Ardmore Ave, Los Angeles 90005",(213) 385-0101
AM 1230,KYPA (Radio Korea),Korean,"626 S Kingsley Dr, Los Angeles 90005",(213) 625-3000
