Fans' Rank,Title,Year,Director(s),Overall Rank
442,The Game,1997,David Fincher,1491
267,Gandhi,1982,Richard Attenborough,251
505,Gattaca,1997,Andrew Niccol,950
175,The General,1926,Clyde Bruckman and Buster Keaton,45
486,Ghost,1990,Jerry Zucker,416
432,Ghost World,2001,Terry Zwigoff,815
180,Ghostbusters,1984,Ivan Reitman,314
72,Gladiator,2000,Ridley Scott,113
317,Glengarry Glen Ross,1992,James Foley,612
156,Glory,1989,Edward Zwick,395
1,The Godfather,1972,Francis Ford Coppola,1
4,The Godfather: Part II,1974,Francis Ford Coppola,14
256,The Godfather: Part III,1990,Francis Ford Coppola,432
216,The Gold Rush,1925,Charles Chaplin,97
240,Goldfinger,1964,Guy Hamilton,186
46,Gone with the Wind,1939,Victor Fleming,17
133,Good Will Hunting,1997,Gus Van Sant,387
55,"The Good, the Bad and the Ugly",1966,Sergio Leone,118
6,Goodfellas,1990,Martin Scorsese,26
352,The Goonies,1985,Richard Donner,1036
43,The Graduate,1967,Mike Nichols,39
201,The Grand Illusion,1937,Jean Renoir,90
160,The Grapes of Wrath,1940,John Ford,102
437,Grave of the Fireflies,1988,Isao Takahata,771
299,Grease,1978,Randal Kleiser,187
335,The Great Dictator,1940,Charles Chaplin,369
127,The Great Escape,1963,John Sturges,166
464,Greed,1924,Erich von Stroheim,209
174,The Green Mile,1999,Frank Darabont,560
512,Grosse Pointe Blank,1997,George Armitage,745
102,Groundhog Day,1993,Harold Ramis,130
179,Halloween,1978,John Carpenter,131
293,Hannah and Her Sisters,1986,Woody Allen,354
443,Happiness,1998,Todd Solondz,763
492,Happy Gilmore,1996,Dennis Dugan,1493
482,Hard Boiled,1992,John Woo,693
270,A Hard Day's Night,1964,Richard Lester,157
351,Harold and Maude,1971,Hal Ashby,256
380,Harvey,1950,Henry Koster,633
85,Heat,1995,Michael Mann,150
445,Heathers,1988,Michael Lehmann,717
339,Heavenly Creatures,1994,Peter Jackson,710
324,High Fidelity,2000,Stephen Frears,687
125,High Noon,1952,Fred Zinnemann,58
206,His Girl Friday,1940,Howard Hawks,72
431,The Hudsucker Proxy,1994,Joel Coen,1435
458,The Hunt for Red October,1990,John McTiernan,1468
236,The Hustler,1961,Robert Rossen,222
461,The Ice Storm,1997,Ang Lee,1072
263,Ikiru,1952,Akira Kurosawa,331
378,In the Heat of the Night,1967,Norman Jewison,343
473,In the Mood for Love,2000,Kar Wai Wong,271
318,Independence Day,1996,Roland Emmerich,431
128,Indiana Jones and the Last Crusade,1989,Steven Spielberg,450
295,Indiana Jones and the Temple of Doom,1984,Steven Spielberg,676
296,The Insider,1999,Michael Mann,647
412,Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,1412
420,Intolerance,1916,D.W. Griffith,181
306,Invasion of the Body Snatchers,1956,Don Siegel,180
491,The Iron Giant,1999,Brad Bird,463
153,It Happened One Night,1934,Frank Capra,69
27,It's a Wonderful Life,1946,Frank Capra,16
252,Jackie Brown,1997,Quentin Tarantino,927
20,Jaws,1975,Steven Spielberg,24
294,Jerry Maguire,1996,Cameron Crowe,304
95,JFK,1991,Oliver Stone,423
303,Jules and Jim,1962,Fran?ois Truffaut,168
94,Jurassic Park,1993,Steven Spielberg,149
181,Kill Bill: Vol. 1,2003,Quentin Tarantino,351
224,Kill Bill: Vol. 2,2004,Quentin Tarantino,701
327,The Killer,1989,John Woo,398
439,The Killing Fields,1984,Roland Joff?,620
349,The Killing,1956,Stanley Kubrick,542
453,Kind Hearts and Coronets,1949,Robert Hamer,170
137,King Kong,1933,Merian C. Cooper and Ernest B. Schoedsack,47
407,The King of Comedy,1982,Martin Scorsese,475
494,Kramer vs. Kramer,1979,Robert Benton,535
52,L.A. Confidential,1997,Curtis Hanson,82
466,The Lady Eve,1941,Preston Sturges,138
480,The Lady Vanishes,1938,Alfred Hitchcock,376
400,The Last Emperor,1987,Bernardo Bertolucci,546
363,The Last of the Mohicans,1992,Michael Mann,468
246,The Last Picture Show,1971,Peter Bogdanovich,325
487,Last Tango in Paris,1972,Bernardo Bertolucci,397
315,The Last Temptation of Christ,1988,Martin Scorsese,865
501,Last Year at Marienbad,1961,Alain Resnais,439
456,Laura,1944,Otto Preminger,259
35,Lawrence of Arabia,1962,David Lean,9
311,Leaving Las Vegas,1995,Mike Figgis,793
308,Lethal Weapon,1987,Richard Donner,794
142,Life Is Beautiful,1997,Roberto Benigni,238
178,Life of Brian,1979,Terry Jones,147
220,The Lion King,1994,Roger Allers and Rob Minkoff,270
257,"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,740
389,Lolita,1962,Stanley Kubrick,806
44,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,60
78,The Lord of the Rings: The Return of the King,2003,Peter Jackson,96
74,The Lord of the Rings: The Two Towers,2002,Peter Jackson,123
495,Lost Highway,1997,David Lynch,1322
281,Lost in Translation,2003,Sofia Coppola,254
