#,Titel,System,Reviews,Durchschnitt
1,Super Mario Bros. 3,NES,15,6
2,Super Smash Bros.,Nintendo 64,11,6
3,Super Smash Bros. Melee,Nintendo GameCube,11,6
4,The Legend Of Zelda: Twilight Princess,Nintendo Wii,11,6
5,New Super Mario Bros. Wii,Nintendo Wii,10,6
6,Mafia,PC,10,6
7,The Legend Of Zelda - Link's Awakening,Gameboy,9,6
8,Super Smash Bros. Brawl,Nintendo Wii,8,6
9,The Secret Of Monkey Island,PC,7,6
10,Worms Armageddon,PC,7,6
11,The Legend Of Zelda - A Link To The Past,Super NES,7,6
12,The Elder Scrolls III: Morrowind,PC,6,6
13,Golden Sun,Gameboy Advance,6,6
14,The Legend of Zelda: A Link to the Past,Gameboy Advance,6,6
15,Super Mario Galaxy 2,Nintendo Wii,6,6
16,Wii Fit,Nintendo Wii,5,6
17,Paper Mario 2,Nintendo GameCube,5,6
18,Donkey Kong Land 2,Gameboy,5,6
19,Crash Team Racing,Sony Playstation,5,6
20,FIFA 09,Sony Playstation 2,5,6
21,Pro Evolution Soccer 6,Sony Playstation 2,4,6
22,Super Mario All-Stars + Super Mario World,Super NES,4,6
23,Final Fantasy VII,Sony Playstation,4,6
24,Command & Conquer: Der Tiberiumkonflikt,PC,4,6
25,Monkey Island 2: LeChuck's Revenge,Amiga,4,6
26,Speedball II: Brutal Deluxe,Amiga,4,6
27,Wario Land 2,Gameboy,4,6
28,Banjo-Tooie,Nintendo 64,4,6
29,Pok?mon Stadium 2,Nintendo 64,4,6
30,GoldenEye 007,Nintendo 64,4,6
31,Mario Party,Nintendo 64,4,6
32,Paper Mario,Nintendo 64,3,6
33,Perfect Dark,Nintendo 64,3,6
34,Anstoss 3,PC,3,6
35,Conker's Bad Fur Day,Nintendo 64,3,6
36,Street Fighter II,Amiga,3,6
37,The Secret of Monkey Island,Amiga,3,6
38,Lemmings,Amiga,3,6
39,MS Flight Simulator 2004 Das Jahrhundert der Luftfahrt,PC,3,6
40,Resident Evil 3: Nemesis,Sony Playstation,3,6
41,Beyond Good & Evil,Sony Playstation 2,3,6
42,Die Sims 2,Sony Playstation 2,3,6
43,Crash Bandicoot,Sony Playstation,3,6
44,Tomb Raider II: Starring Lara Croft,PC,3,6
45,FIFA 07,Xbox,3,6
46,Monster Hunter Freedom,Sony PSP,3,6
47,Call Of Duty: Modern Warfare 2,Sony Playstation 3,3,6
48,Colin McRae: DIRT,Sony Playstation 3,3,6
49,Grand Theft Auto IV,Xbox 360,3,6
50,Pro Evolution Soccer 4,Sony Playstation 2,3,6
51,Soul Calibur II,Sony Playstation 2,3,6
52,Spyro - A Hero's Tail,Sony Playstation 2,3,6
53,WRC 3,Sony Playstation 2,3,6
54,Gran Turismo 3 A-spec,Sony Playstation 2,3,6
55,Super Mario World,Super NES,17,5.94
