RANG,Museum,Stadt,Facebook-Fans
1,MoMA The Museum of Modern Art,New York,542187
2,Metropolitan Museum of Art,New York,301109
3,Acropolis Museum,Athen,225498
4,Mus?e du Louvre,Paris,150473
5,Guggenheim Museum,New York,142369
6,Tate Modern,London,114937
7,Design Museum,London,78717
8,City Museum,St Louis,68755
9,Museo del Prado,Madrid,63036
10,Centre Pompidou,Paris,59343
11,Creation Museum,Petersburg,59339
12,Victoria & Albert Museum,London,54598
13,The Getty Museum,Los Angeles,54579
14,Whitney Museum of American Art,New York,54143
15,British Museum,London,51298
16,New Museum,New York,44599
17,Salvador Dali Museum,Saint Petersburg,41260
18,Natural History Museum,London,29105
19,National Museum of the American Indian,Washington D.C.,28897
20,American Museum of Natural History,New York,28788
