Local Health Boards,Hospital name,Link Surgeons
Abertawe Bro Morgannwg University LHB,Morriston Hospital (Swansea),Roger Morgan
,Singleton Hospital (Swansea),Roger Morgan
,Princess of Wales Hospital (Bridgend),Roger Morgan
Aneurin Bevan LHB,Neville Hall Hospital (Abergavenny),Richard Blackett
,Royal Gwent Hospital (Newport),Ahmed Shandall
Cardiff and Vale LHB,University Hospital Llandough,Wyn Lewis
,University Hospital of Wales (Cardiff),Wyn Lewis
Cwm Taff LHB,Prince Charles Hospital (Merthyr Tydfil),Professor P N Haray?
,Royal Glamorgan Hospital (Llantrisant),Alan Woodward
Hywel Dda LHB (Link surgeon to be appointed),Bronglais Hospital (Aberystwyth),
,Prince Philip Hospital (Llanelli),
,Glangwili Hospital (Carmarthen),
,Withybush Hospital (Haverford West),
Betsi Cadwalader University LHB,Ysbyty Gwynedd (Bangor),Anil Lala
,Ysbyty Glan Clwyd (Rhyl),Richard Morgan
,Maelor Hospital (Wrexham),Mr P J Billings
