Rank,Title,Category,Publisher
1,Super Smash Bros. Melee,Fighting,Nintendo
2,Pikmin 2,Strategy/Sim,Nintendo
3,Legend of Zelda: Collector's Edition,RPG,Nintendo
4,Legend of Zelda: The Wind Waker,Action Adventure,Nintendo
5,Metal Gear Solid: Twin Snakes,Action Adventure,Konami
6,Mario Party 7,Kids/Family,Nintendo
7,The Legend of Zelda: Twilight Princess,Action Adventure,Nintendo
8,Mario Kart: Double Dash,Racing,Nintendo
9,Wario World,Action Adventure,Nintendo
10,Super Mario Sunshine,Action Adventure,Nintendo
