Prénom Nom,1,2,Date de la f?te,Mort
Alberto Hurtado,Saint,.,18 ao?t,1952
Alphonse Rodriguez,Saint,.,31 octobre,1617
Alphonse Rodriguez,Saint,Martyr,16 novembre,1628
Andr? Bobola,Saint,.,16 mai,1657
Antoine Baldinucci,Bienheureux,.,2 juillet,1717
Antoine Daniel,Saint,Martyr,19 octobre,1648
Bernardin Realino,Saint,.,2 juillet,1616
Bernardo de Hoyos,Bienheureux,,29 novembre,1735
Charles Garnier,Saint,Martyr,19 octobre,1649
Charles Spinola,Saint,,4 février,1622
Claude La Colombi?re,Saint,.,15 février,1682
Diego Luis de San Vitores,Bienheureux,Martyr,06 octobre,1672
Dominique Collins,Bienheureux,Martyr,30 octobre,1602
Edmond Campion,Saint,Martyr,01 décembre,1581
Etienne Prongracz,Saint,Martyr,7 septembre,1619
Fran?ois de Borgia,Saint,.,03 octobre,1572
Fran?ois Garate,Bienheureux,.,10 septembre,1929
François de Géronimo,Saint,.,2 juillet,1616
François Pacheco,Bienheureux,Martyr,4 février,1626
Fran?ois Xavier,Saint,.,03 décembre,1552
Gabriel Lallemant,Saint,Martyr,19 octobre,1649
Guillaume Saultemouche,Bienheureux,Martyr,07 février,1593
Ignace de Azevedo,Bienheureux,.,19 janvier,1570
Ignace de Loyola,Saint,.,31 juillet,1556
Isaac Jogues,Saint,Martyr,19 octobre,1646
Jacques Berthieu,Bienheureux,Martyr,8 juin,1896
Jacques Bonnaud,Bienheureux,Martyr,2 septembre,1792
Jacques Kisai,Saint,Martyr,06 février,1597
Jacques Sal?s,Bienheureux,Martyr,07 février,1593
Jean Berchmans,Saint,.,26 novembre,1621
Jean Beyzym,Bienheureux,.,18 août,1912
Jean de Brito,Saint,.,4 février,1693
Jean de Br?beuf,Saint,Martyr,19 octobre,1649
Jean del Castillo,Saint,Martyr,16 novembre,1628
Jean de La Lande,Saint,Martyr,19 octobre,1646
Jean Francois R?gis,Saint,.,16 juin,1640
Jean Nicolas Cordier,Bienheureux,Martyr,17 août,1794
Jean Ogilvie,Saint,Martyr,14 octobre,1615
Jean Soan (de Goto),Saint,Martyr,06 février,1597
José Maria Rubio,Saint,.,05 mai,1929
Joseph de Anchieta,Bienheureux,.,09 juin,1597
Joseph Imbert,Bienheureux,Martyr,17 août,1794
Joseph Pignatelli,Saint,.,14 novembre,1811
Julien Maunoir,Bienheureux,.,29 janvier,1683
Léon Mangin,Saint,Martyr,19 juin,1900
Louis de Gonzague,Saint,.,21 juin,1591
Melchior Grodziecki,Saint,Martyr,7 septembre,1619
Michel Pro,Bienheureux,Martyr,23 novembre,1927
Modeste Andlauer,Saint,Martyr,19 juin,1900
Noël Chabanel,Saint,Martyr,19 octobre,1649
Paul Denn,Saint,Martyr,19 juin,1900
Paul Miki,Saint,Martyr,06 février,1597
Pierre Canisius,Saint,.,27 avril,1597
Pierre Claver,Saint,.,09 septembre,1654
Pierre Favre,Bienheureux,.,02 août,1546
Rémi Isoré,Saint,Martyr,19 juin,1900
René Goupil,Saint,Martyr,19 octobre,1649
Robert Bellarmin,Saint,Docteur,17 septembre,1621
Robert Southwell,Saint,Martyr,01 décembre,1595
Roch Gonzalès,Saint,Martyr,16 novembre,1628
Rodolphe Acquaviva,Bienheureux,.,4 février,1583
Rupert Mayer,Bienheureux,.,03 novembre,1945
Stanislas Kostka,Saint,.,13 novembre,1568
Thomas Sitjar,Bienheureux,Martyr,22 septembre,1936
Tous les Saints,Saints,,05 novembre,
