Storage,Local government area,Plan no.
Atkinson Dam,"Lockyer Valley, Somerset","AP10024 (PDF, 385K)*"
Bill Gunn Dam,Lockyer Valley,"AP10006 (PDF, 145K)*"
Bjelke Petersen Dam,"South Burnett, Gympie, Cherbourg Aboriginal","AP10007 (PDF, 656K)*"
Burdekin Falls Dam,"Charters Towers, Whitsunday, Isaac","AP10008 (PDF, 1.3M)*"
Burnett Barrage,Bundaberg,"AP10009 (PDF, 523K)*"
Callide Dam,Banana,"AP10010 (PDF, 327K)*"
Cedar Pocket Dam,Gympie,"AP10011 (PDF, 356K)*"
Coolmunda Dam,Goondiwindi,"AP10012 (PDF, 405K)*"
Eungella Dam,Mackay,"AP10013 (PDF, 305K)*"
Fairbairn Dam,Central Highlands,"AP10014 (PDF, 608K)*"
Fred Haigh Dam,"Gladstone, Bundaberg","AP10025 (PDF, 735K)*"
Glenlyon Dam,Southern Downs,"AP10015 (PDF, 451K)*"
Kinchant Dam,Mackay,"AP10016 (PDF, 394K)*"
Kolan River Barrage,Bundaberg,"AP10017 (PDF, 393K)*"
Leslie Dam,Southern Downs,"AP10018 (PDF, 413K)*"
Maroon Dam,Scenic Rim,"AP10019 (PDF, 338K)*"
Moogerah Dam,Scenic Rim,"AP10020 (PDF, 773K)*"
Peter Faust Dam,Whitsunday,"AP10021 (PDF, 305K)*"
Tinaroo Falls Dam,Tablelands,"AP10023 (PDF, 655K)*"
Wivenhoe Dam,Somerset,"AP10022 (PDF, 307K)*"
