Scientific name/Nom scientifique,Common name English name,Nom commun Nom franзais,Number of seedlots per species Nombre de lots le semences par essence
,,,
,,,
Abies alba,European silver fir,sapin blanc,2
Abies amabilis,amabilis fir,sapin gracieux,9
Abies balsamea,balsam fir,sapin baumier,56
Abies fraseri,Fraser fir,sapin de Fraser,1
Abies grandis,grand fir,sapin grandissime,14
Abies lasiocarpa,subalpine fir,sapin subalpin,16
Abies nordmanniana,Nordmann fir,sapin de Nordmann,1
Acer negundo,Manitoba maple,?rable ? feuilles compos?es,1
Acer pensylvanicum,striped maple,?rable de Pennsylvanie,2
Acer platanoides,Norway maple,?rable de Norv?ge,2
Acer pseudoplanatus,sycamore maple,?rable sycomore,1
Acer rubrum,red maple,?rable rouge,40
Acer saccharum,sugar maple,?rable ? sucre,6
Alnus cordata,Italian alder,aulne d'Italie,3
Alnus cremastogyne,,,1
Alnus firma,,,1
Alnus formosana,,,5
Alnus glutinosa,European black alder,aulne glutineux,10
Alnus hirsuta,,,2
Alnus hirsuta turcz. var. microphylla nakai,,1,
Alnus incana,grey alder,aulne blanc,3
Alnus incana ssp. rugosa,speckled alder,aulne rugueux,47
Alnus incana ssp. tenuifolia,mountain alder,aulne ? feuilles minces,13
Alnus japonica,Japanese alder,aulne du Japon,1
Alnus jorullensis,,,1
Alnus rubra,red alder,aulne rouge,41
Alnus viridis,European green alder,,3
Alnus viridis ssp. crispa,green alder,aulne crisp?,41
Alnus viridis ssp. sinuata,Sitka alder,aulne de Sitka,21
Arbutus menziesii,arbutus,arbousier d'Am?rique,1
Asimina triloba,pawpaw,asiminier trilob?,2
Austrocedrus chilensis,,,3
Betula alleghaniensis,yellow birch,bouleau jaune,42
Betula cordifolia,mountain paper birch,bouleau ? feuilles cord?es,1
Betula costata,,,6
Betula davurica,,,9
Betula kirghisorum caucasus,,1,
Betula lenta,cherry birch,bouleau flexible,2
Betula occidentalis,water birch,bouleau fontinal,1
Betula papyrifera,white birch,bouleau ? papier,23
Betula pendula,European white birch,bouleau verruqueux,18
Betula pendula var. carelica,,,1
Betula platyphylla,,,2
Betula platyphylla sukatchev var. japonica,,7,
Betula populifolia,grey birch,bouleau gris,4
Betula pubescens,downey birch,,9
Betula raddeana caucasus,,,1
Betula schmidtii,,,8
Betula verrucosa,European white birch,bouleau verrucosa,1
Caragana arborescens,Siberean pea-tree,caragana arborescent,2
Carpinus caroliniana,blue-beech,charme de Caroline,3
Carya cordiformis,bitternut hickory,caryer cordiforme,1
Carya glabra var. odorata,red hickory,caryer glabre,2
Carya ovalis,sweet pignut,,1
Carya ovata,shagbark hickory,caryer ovale,2
Chacaya trinervis,,,1
Chamaecyparis lawsoniana,Lawson-cypress,chamaecyparis de Lawson,1
Chamaecyparis nootkatensis,yellow-cedar,chamaecyparis jaune,2
Cornus florida,Eastern flowering dogwood,cornouiller fleuri,3
Cornus nuttallii,Western flowering dogwood,cornouiller de Nuttall,1
Cornus stolonifera,red osier dogwood,cornouiller stolonif?re,1
Crataegus douglasii,black hawthorn,aub?pine noire,1
Crataegus monogyna,common hawthorn,aub?pine monogyne,2
Fagus grandifolia,American beech,h?tre ? grandes feuilles,14
