Summit,Location,Elevation
Buck Mountain,36В°30вЂІ29вЂіN 80В°50вЂІ00вЂіWп»ї / п»ї36.50806В°N 80.83333В°Wп»ї / 36.50806; -80.83333,"1,768 ft (539 m)."
Cumberland Knob,36В°33вЂІ00вЂіN 80В°54вЂІ31вЂіWп»ї / п»ї36.55000В°N 80.90861В°Wп»ї / 36.55000; -80.90861,"2,858 ft (871 m)."
Fisher Peak,36В°33вЂІ34вЂіN 80В°49вЂІ23вЂіWп»ї / п»ї36.55944В°N 80.82306В°Wп»ї / 36.55944; -80.82306,"3,570 ft (1,090 m)."
Fulcher Mountain,36В°30вЂІ07вЂіN 80В°50вЂІ20вЂіWп»ї / п»ї36.50194В°N 80.83889В°Wп»ї / 36.50194; -80.83889,"1,831 ft (558 m)."
Fulcher Mountain,36В°29вЂІ58вЂіN 80В°50вЂІ18вЂіWп»ї / п»ї36.49944В°N 80.83833В°Wп»ї / 36.49944; -80.83833,"1,762 ft (537 m)."
Lens Knob,36В°27вЂІ46вЂіN 80В°55вЂІ31вЂіWп»ї / п»ї36.46278В°N 80.92528В°Wп»ї / 36.46278; -80.92528,"2,175 ft (663 m)."
Long Branch Mountain,36В°33вЂІ11вЂіN 80В°30вЂІ43вЂіWп»ї / п»ї36.55306В°N 80.51194В°Wп»ї / 36.55306; -80.51194,"1,631 ft (497 m)."
Pilot Mountain,36В°20вЂІ24вЂіN 80В°28вЂІ27вЂіWп»ї / п»ї36.34000В°N 80.47417В°Wп»ї / 36.34000; -80.47417,"2,421 ft (738 m)."
Racoon Mountain,36В°28вЂІ45вЂіN 80В°52вЂІ30вЂіWп»ї / п»ї36.47917В°N 80.87500В°Wп»ї / 36.47917; -80.87500,"2,152 ft (656 m)."
Raven Knob,36В°28вЂІ11вЂіN 80В°50вЂІ41вЂіWп»ї / п»ї36.46972В°N 80.84472В°Wп»ї / 36.46972; -80.84472,"1,896 ft (578 m)."
Round Peak,36В°31вЂІ23вЂіN 80В°48вЂІ49вЂіWп»ї / п»ї36.52306В°N 80.81361В°Wп»ї / 36.52306; -80.81361,"2,077 ft (633 m)."
Saddle Mountain,36В°30вЂІ03вЂіN 80В°55вЂІ37вЂіWп»ї / п»ї36.50083В°N 80.92694В°Wп»ї / 36.50083; -80.92694,"3,294 ft (1,004 m)."
Skull Camp Mountain,36В°28вЂІ31вЂіN 80В°48вЂІ59вЂіWп»ї / п»ї36.47528В°N 80.81639В°Wп»ї / 36.47528; -80.81639,"2,044 ft (623 m)."
Slate Mountain,36В°32вЂІ34вЂіN 80В°30вЂІ54вЂіWп»ї / п»ї36.54278В°N 80.51500В°Wп»ї / 36.54278; -80.51500,"1,988 ft (606 m)."
Slate Mountain,36В°32вЂІ24вЂіN 80В°31вЂІ20вЂіWп»ї / п»ї36.54000В°N 80.52222В°Wп»ї / 36.54000; -80.52222,"1,952 ft (595 m)."
Stott Knob,36В°24вЂІ19вЂіN 80В°39вЂІ28вЂіWп»ї / п»ї36.40528В°N 80.65778В°Wп»ї / 36.40528; -80.65778,"1,552 ft (473 m)."
Turner Mountain,36В°25вЂІ25вЂіN 80В°39вЂІ36вЂіWп»ї / п»ї36.42361В°N 80.66000В°Wп»ї / 36.42361; -80.66000,"1,601 ft (488 m)."
Warrior Mountain,36В°28вЂІ15вЂіN 80В°52вЂІ29вЂіWп»ї / п»ї36.47083В°N 80.87472В°Wп»ї / 36.47083; -80.87472,"1,958 ft (597 m)."
