Party,First Preference Votes,% Valid Poll,No. of Seats
Democratic Unionist Party (DUP),"208,278",29.62%,182
Sinn Féin (SF),"163,650",23.27%,126
Ulster Unionist Party (UUP),"126,353",17.97%,115
Social Democratic and Labour Party (SDLP),"121,991",17.35%,101
Alliance Party of Northern Ireland (APNI),"35,149",5.00%,30
Green Party,"5,703",0.81%,3
Progressive Unionist Party (PUP),"4,591",0.65%,2
United Unionist Coalition (UUC),"2,064",0.29%,2
Newtownabbey Ratepayers Association,"1,897",0.27%,1
Socialist Environmental Alliance (SEA),"1,321",0.19%,0
Conservative Party,"1,164",0.17%,0
Workers' Party (WP),"1,052",0.15%,0
Socialist Party,828,0.12%,0
Northern Ireland Women's Coalition (NIWC),738,0.10%,0
United Kingdom Unionist Party (UKUP),734,0.10%,0
Independent Candidates,"27,676",3.94%,20
Total,"703,189",100.00%,582
