Common Name,Scientific Name,Abun- dance
Red-throated Loon,Gavia stellata,U
Pacific Loon,Gavia pacifica,FC
Common Loon,Gavia immer,FC
Pied-billed Grebe,Podilymbus podiceps,U
Horned Grebe,Podiceps auritus,FC
Red-necked Grebe,Podiceps grisegena,U
Eared Grebe,Podiceps nigricollis,FC
Western Grebe,Aechmophorus occidentalis,FC
Clark's Grebe,Aechmophorus clarkii,U
Wandering Albatross,Diomedea exulans,X
Pink-footed Shearwater,Puffinus creatopus,X
Flesh-footed Shearwater,Puffinus carneipes,X
Sooty Shearwater,Puffinus griseus,X
Brown Pelican,Pelecanus occidentalis,C
Brandt's Cormorant,Phalacrocorax penicillatus,C
Double-crested Cormorant,Phalacrocorax auritus,C
Pelagic Cormorant,Phalacrocorax pelagicus,C
Magnificent Frigatebird,Fregata magnificens,U
Great Blue Heron,Ardea herodias,C
Great Egret,Ardea alba,FC
Snowy Egret,Egretta thula,U
Cattle Egret,Bubulcus ibis,R
Green Heron,Butorides virescens,U
Black-crowned Night-Heron,Nycticorax nycticorax,U
Turkey Vulture,Cathartes aura,C
Canada Goose,Branta canadensis,C
Brant,Branta bernicla,C
Wood Duck,Aix sponsa,U
American Wigeon,Anas americana,U
Mallard,Anas platyrhynchos,C
Cinnamon Teal,Anas cyanoptera,U
Northern Shoveler,Anas clypeata,U
Northern Pintail,Anas acuta,U
Green-winged Teal,Anas crecca,FC
Harlequin Duck,Histrionicus histrionicus,FC
Surf Scoter,Melanitta perspicillata,FC
White-winged Scoter,Melanitta fusca,FC
Black Scoter,Melanitta nigra,U
Bufflehead,Bucephala albeola,C
Common Goldeneye,Bucephala clangula,U
Hooded Merganser,Lophodytes cucullatus,U
Common Merganser,Mergus merganser,FC
Red-breasted Merganser,Mergus serrator,FC
Ruddy Duck,Oxyura jamaicensis,FC
Osprey,Pandion haliaetus,C
White-tailed Kite,Elanus leucurus,C
Bald Eagle,Haliaeetus leucocephalus,R
Northern Harrier,Circus cyaneus,FC
Sharp-shinned Hawk,Accipiter striatus,U
Cooper's Hawk,Accipiter cooperii,U
Red-shouldered Hawk,Buteo lineatus,FC
Broad-winged Hawk,Buteo platypterus,R
Red-tailed Hawk,Buteo jamaicensis,C
Ferruginous Hawk,Buteo regalis,U
Rough-legged Hawk,Buteo lagopus,U
Golden Eagle,Aquila chrysaetos,R
American Kestrel,Falco sparverius,FC
Merlin,Falco columbarius,U
Peregrine Falcon,Falco peregrinus,U
Wild Turkey,Meleagris gallopavo,C
California Quail,Callipepla californica,C
Virginia Rail,Rallus limicola,R
Sora,Porzana carolina,R
American Coot,Fulica americana,C
Black-bellied Plover,Pluvialis squatarola,FC
Pacific Golden-Plover,Pluvialis fulva,U
Semipalmated Plover,Charadrius semipalmatus,FC
Killdeer,Charadrius vociferus,C
Black Oystercatcher,Haematopus bachmani,C
American Avocet,Recurvirostra americana,UC
Greater Yellowlegs,Tringa melanoleuca,UC
Lesser Yellowlegs,Tringa flavipes,R
Willet,Catoptrophorus semipalmatus,C
Wandering Tattler,Heteroscelus incanus,FC
Spotted Sandpiper,Actitis macularia,C
Marbled Godwit,Limosa fedoa,U
Ruddy Turnstone,Arenaria interpres,U
Black Turnstone,Arenaria melanocephala,C
Surfbird,Aphriza virgata,FC
Sanderling,Calidris alba,C
Western Sandpiper,Calidris mauri,FC
Least Sandpiper,Calidris minutilla,FC
Baird's Sandpiper,Calidris bairdii,R
Pectoral Sandpiper,Calidris melanotos,R
Dunlin,Calidris alpina,FC
Short-billed Dowitcher,Limnodromus griseus,UC
Long-billed Dowitcher,Limnodromus scolopaceus,UC
Wilson's Phalarope,Phalaropus tricolor,R
Red-necked Phalarope,Phalaropus lobatus,U
Red Phalarope,Phalaropus fulicaria,R
Pomarine Jaeger,Stercorarius pomarinus,R
Long-tailed Jaeger,Stercorarius longicaudus,R
Bonaparte's Gull,Larus philadelphia,UC
Heermann's Gull,Larus heermanni,C
Mew Gull,Larus canus,C
Ring-billed Gull,Larus delawarensis,C
California Gull,Larus californicus,C
Herring Gull,Larus argentatus,FC
Thayer's Gull,Larus thayeri,R
Western Gull,Larus occidentalis,C
Glaucous-winged Gull,Larus glaucescens,C
Glaucous Gull,Larus hyperboreus,R
Black-legged Kittiwake,Rissa tridactyla,R
Caspian Tern,Sterna caspia,FC
Elegant Tern,Sterna elegans,R
Forster's Tern,Sterna forsteri,U
Common Murre,Uria aalge,FC
Pigeon Guillemot,Cepphus columba,C
Ancient Murrelet,Synthliboramphus antiquus,R
Rhinoceros Auklet,Cerorhinca monocerata,R
Rock Dove,Columba livia,FC
Band-tailed Pigeon,Columba fasciata,C
Mourning Dove,Zenaida macroura,C
Barn Owl,Tyto alba,R
Western Screech-Owl,Otus kennicottii,U
Great Horned Owl,Bubo virginianus,U
Northern Pygmy-Owl,Glaucidium gnoma,U
Burrowing Owl,Athene cunicularia,R
Spotted Owl,Strix occidentalis,R
Northern Saw-whet Owl,Aegolius acadicus,R
Common Nighthawk,Chordeiles minor,R
Common Poorwill,Phalaenoptilus nuttallii,X
Vaux's Swift,Chaetura vauxi,U
Anna's Hummingbird,Calypte anna,C
Rufous Hummingbird,Selasphorus rufus,C
Allen's Hummingbird,Selasphorus sasin,C
Belted Kingfisher,Ceryle alcyon,C
Acorn Woodpecker,Melanerpes formicivorus,C
Red-breasted Sapsucker,Sphyrapicus ruber,FC
Downy Woodpecker,Picoides pubescens,C
Hairy Woodpecker,Picoides villosus,C
Northern Flicker,Colaptes auratus,C
Pileated Woodpecker,Dryocopus pileatus,FC
Olive-sided Flycatcher,Contopus cooperi,FC
Western Wood-Pewee,Contopus sordidulus,FC
Willow Flycatcher,Empidonax traillii,R
Pacific-slope Flycatcher,Empidonax difficilis,C
Black Phoebe,Sayornis nigricans,C
Say's Phoebe,Sayornis saya,U
Ash-throated Flycatcher,Myiarchus cinerascens,X
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,X
Western Kingbird,Tyrannus verticalis,R
Scissor-tailed Flycatcher,Tyrannus forficatus,X
Loggerhead Shrike,Lanius ludovicianus,R
Cassin's Vireo,Vireo cassinii,FC
Hutton's Vireo,Vireo huttoni,C
Warbling Vireo,Vireo gilvus,C
Gray Jay,Perisoreus canadensis,R
Steller's Jay,Cyanocitta stelleri,C
Western Scrub-Jay,Aphelocoma californica,C
Common Raven,Corvus corax,C
Purple Martin,Progne subis,FC
Tree Swallow,Tachycineta bicolor,FC
Violet-green Swallow,Tachycineta thalassina,FC
Northern Rough-winged Swallow,Stelgidopteryx serripennis,FC
Cliff Swallow,Petrochelidon pyrrhonota,C
Barn Swallow,Hirundo rustica,C
Chestnut-backed Chickadee,Poecile rufescens,C
Oak Titmouse,Baeolophus inornatus,U
Bushtit,Psaltriparus minimus,FC
Red-breasted Nuthatch,Sitta canadensis,FC
White-breasted Nuthatch,Sitta carolinensis,U
Pygmy Nuthatch,Sitta pygmaea,FC
Brown Creeper,Certhia americana,C
Rock Wren,Salpinctes obsoletus,X
Bewick's Wren,Thryomanes bewickii,U
House Wren,Troglodytes aedon,U
Winter Wren,Troglodytes troglodytes,C
Marsh Wren,Cistothorus palustris,R
Golden-crowned Kinglet,Regulus satrapa,U
Ruby-crowned Kinglet,Regulus calendula,FC
Western Bluebird,Sialia mexicana,FC
Townsend's Solitaire,Myadestes townsendi,R
Swainson's Thrush,Catharus ustulatus,C
Hermit Thrush,Catharus guttatus,C
American Robin,Turdus migratorius,C
