#,Citations,Journal
1,1780,Science
2,1732,Nature
3,1080,Proceedings of the National Academy of Sciences of the United States of America
4,1053,royal gazette
5,948,New England Journal of Medicine
6,794,The Astrophysical Journal
7,653,The Journal of Biological Chemistry
8,593,The Lancet
9,511,Journal of the American Medical Association
10,490,British Medical Journal
11,416,Zootaxa
12,409,Bulletins of American Paleontology
13,376,"Icarus, International Journal of Solar System Studies"
14,361,Cell
15,358,Journal of the American Chemical Society
16,315,The Astronomical Journal
17,312,Molecular and Cellular Biology
18,311,Nucleic Acids Research
19,310,
20,302,Annals of Internal Medicine
21,300,Astronomy & Astrophysics
22,254,Tissue Antigens
23,253,Pediatrics
24,241,The Cochrane Database of Systematic Reviews
25,232,Neurology
26,202,The American Journal of Psychiatry
27,202,Physical Review Letters
28,192,International Journal of Systematic and Evolutionary Microbiology
29,188,The Journal of Virology
30,185,The American Journal of Clinical Nutrition
31,185,The New York Times
32,181,Monthly Notices of the Royal Astronomical Society
33,177,Clinical Infectious Diseases
34,172,Australian Systematic Botany
35,166,hm magazine
36,166,The American Journal of Human Genetics
37,165,The Journal of Bacteriology
38,165,The EMBO Journal
39,164,Blood
40,162,Journal of Molecular Biology
41,155,Nature Genetics
42,153,Circulation
43,146,The Journal of Vertebrate Paleontology
44,143,Archives of Internal Medicine
45,142,white dwarf
46,134,The Journal of Neuroscience
47,132,Copeia
48,130,The Journal of Immunology
49,129,The Journal of Clinical Investigation
50,129,Current Biology
51,128,Biochimica et Biophysica Acta
52,123,American Family Physician
53,123,The Journal of Nutrition
54,122,Gastroenterology
55,122,Biochemistry
56,121,The Journal of Clinical Psychiatry
57,117,Environmental Health Perspectives
58,117,Biochemical and Biophysical Research Communications
59,112,The Journal of Infectious Diseases
60,110,The American Journal of Gastroenterology
61,109,Angewandte Chemie International Edition
62,108,Physical Review
63,107,The Medical Journal of Australia
64,106,American Journal of Botany
65,105,Gut
66,105,Biochemical Journal
67,105,Journal of Geophysical Research
68,104,rolling stone
69,103,American Journal of Medicine
70,102,Human Immunology
71,100,Scientific American
72,98,The Journal of Pharmacology And Experimental Therapeutics
73,96,Journal of Clinical Microbiology
74,93,Molecular Phylogenetics and Evolution
75,93,Genes & Development
76,92,FEBS Letters
77,91,Antimicrobial Agents and Chemotherapy
78,90,time
79,89,Journal of Organic Chemistry
80,89,Applied and Environmental Microbiology
81,87,Nature Medicine
82,87,Cancer Research
83,85,Geology
84,85,Chest
85,85,The Journal of Clinical Endocrinology & Metabolism
86,84,Biological Psychiatry
87,84,RNA
88,82,Molecular Biology and Evolution
89,82,Neuron
90,81,Journal of Paleontology
91,80,doctor who magazine
92,79,Annals of Neurology
93,78,Journal of the American Veterinary Medical Association
94,78,New Scientist
95,77,The Journal of Experimental Medicine
96,77,Journal of the National Cancer Institute
97,76,berichte der deutschen chemischen gesellschaft
98,75,The Washington Post
99,75,virology
100,74,Annual Review of the New York Academy of Sciences
