Rang,Name,Staat(en),FlÃ¤che-(km2),LÃ¤nge-(km),Max.-Tiefe-(m),Volumen-(km?)
1.,Kaspisches-Meer,Aserbaidschan Russland Kasachstan Turkmenistan Iran,371.000,1199,1025,78.200
2.,Oberer-See,USA-Kanada,82.414,616,405,12.100
3.,Victoriasee,Kenia Tansania Uganda,69.485,322,84,2750
4.,Huronsee,USA-Kanada,59.596,397,229,3540
5.,Michigansee,USA,58.016,517,282,4918
6.,Tanganjikasee,Tansania DR-Kongo Sambia Burundi,32.893,676,1470,18.900
7.,Baikalsee,Russland,31.500,636,1680 (2008),23.600
8.,Großer-Bärensee,Kanada,31.080,373,446,2236
9.,Malawisee,Malawi Mosambik Tansania,30.044,579,706,8400
10.,Großer-Sklavensee,Kanada,28.930,480,614,2090
11.,Eriesee,USA-Kanada,25.719,388,64,489
12.,Winnipegsee,Kanada,23.553,425,18,283
13.,Ontariosee,USA-Kanada,19.477,311,244,1639
14.,Balchaschsee,Kasachstan,18.428,605,26,106
15.,Ladogasee,Russland,18.130,219,230,908
16.,Aralsee,Kasachstan Usbekistan,17.160,428,-,-
17.,Wostoksee,Antarktis,15.690,250,1000,5400
18.,Onegasee,Russland,9891,248,120,280
19.,Titicacasee,Bolivien-Peru,8135,177,281,893
20.,Nicaraguasee,Nicaragua,8001,177,26,-
21.,Athabascasee,Kanada,7920,335,243,204
22.,Turkanasee,Kenia-?thiopien,6405,248,109,204
23.,Reindeer-Lake,Kanada,6330,245,337,?
24.,Issyk-Kul,Kirgisistan,6200,182,668,1738
25.,Urmia-See,Iran,6001,130,16,-
26.,Koko-Nor,VR-China,5694,-,-,-
27.,Vänern,Schweden,5545,140,106,153
28.,Lake-Winnipegosis,Kanada,5403,245,-,-
29.,Albertsee,Uganda DR-Kongo,5299,161,58,280
30.,Mwerusee,Sambia DR-Kongo,5120,-,27,-
31.,Nettilling-Lake,Kanada,5051,123,-,-
32.,Lake-Nipigon,Kanada,4848,-,165,-
33.,Lake-Manitoba,Kanada,4706,200,-,-
34.,Taimyrsee,Russland,4560,250,26,-
35.,Chankasee,Russland VR-China,4400,80,-,-
36.,Lake-of-the-Woods,Kanada-USA,4390,120,-,-
37.,Lake-Dubawnt,Kanada,3833,-,-,-
38.,Vansee,T?rkei,3740,120,457,-
39.,Tanasee,?thiopien,3628,84,14,-
40.,Peipussee,Estland Russland,3555,143,14,-
41.,Ubsa-Nor,Mongolei,3350,200,-,-
42.,Amadjuak-Lake,Kanada,3115,80,-,-
43.,Aydar-Ko?l,Usbekistan,3000,250,-,"44,3"
44.,Kiwusee,DR-Kongo Ruanda,2650,-,450,-
45.,Alakol,Kasachstan,2650,-,54,"58,6"
