Year,Winner/2nd,,Scores,Total,Money (US$)
1998,Fred Couples,1,64-70-66-66-66,332,"414,000.00"
,Bruce Lietzke,2,65-65-71-62-69,332,"248,400.00"
1997,John Cook,1,66-69-67-62-63,327,"270,000.00"
,Mark Calcavecchia,2,64-67-66-64-67,328,"162,000.00"
1996,Mark Brooks,1,66-68-69-67-67,337,"234,000.00"
,John Huston,2,69-71-65-65-68,338,"140,400.00"
1995,Kenny Perry,1,63-71-64-67-70,335,"216,000.00"
,David Duval,2,67-68-65-67-69,336,"129,600.00"
1994,Scott Hoch,1,66-62-70-66-70,334,"198,000.00"
,Fuzzy Zoeller,T2,70-67-66-68-66,337,"82,133.34"
,Lennie Clements,T2,67-69-61-72-68,337,"82,133.33"
,"Jim Gallagher, Jr.",T2,66-67-74-62-68,337,"82,133.33"
1993,Tom Kite,1,67-67-64-65-62,325,"198,000.00"
,Rick Fehr,2,66-66-70-62-67,331,"118,800.00"
1992,John Cook,1,65-73-63-69-66,336,"198,000.00"
,Rick Fehr,T2,64-72-66-71-63,336,"72,600"
,Tom Kite,T2,65-73-68-67-63,336,"72,600.00"
,Mark O'Meara,T2,66-69-65-67-69,336,"72,600.00"
,Gene Sauers,T2,69-65-64-70-68,336,"72,600.00"
1991,Corey Pavin,1,65-69-66-66-65,331,"198,000.00"
,Mark O'Meara,2,66-65-66-67-67,331,"118,800.00"
1990,Peter Jacobsen,1,67-66-69-66-71,339,"180,000.00"
,Scott Simpson,T2,68-69-67-68-68,340,"88,000.00"
,Brian Tennyson,T2,73-68-66-67-66,340,"88,000.00"
1989,Steve Jones,1,76-68-67-63-69,343,"180,000.00"
,Paul Azinger,T2,69-68-70-67-69,343,"88,000.00"
,Sandy Lyle,T2,70-68-68-68-69,343,"88,000.00"
1988,Jay Haas,1,63-68-69-68-70,338,"180,000.00"
,David Edwards,2,66-71-71-65-67,340,"108,000.00"
1987,Corey Pavin,1,72-71-65-66-67,341,"162,000.00"
,Bernhard Langer,2,68-66-68-70-70,342,"97,200.00"
1986,Donnie Hammond,1,69-64-68-68-66,335,"108,000.00"
,John Cook,2,68-67-65-69-66,335,"64,800.00"
1985,Lanny Wadkins,1,67-67-68-66-65,333,"90,000.00"
,Craig Stadler,2,66-68-64-69-66,333,"54,000.00"
1984,John Mahaffey,1,66-70-70-68-66,340,"72,000.00"
,Jim Simons,2,69-63-70-69-69,340,"43,200.00"
1983,Keith Fergus,1,71-69-65-65-65,335,"67,500.00"
,Rex Caldwell,2,67-69-69-65-65,335,"40,500.00"
1982,Ed Fiori,1,70-65-66-67-67,335,"50,000.00"
,Tom Kite,2,68-66-66-69-66,335,"29,700.00"
1981,Bruce Lietzke,1,65-66-65-70-69,335,"50,000.00"
,Jerry Pate,2,66-67-68-67-69,337,"29,700.00"
1980,Craig Stadler,1,69-68-70-69-67,343,"50,000.00"
,Tom Purtzer,T2,70-70-68-69-68,345,"24,200.00"
,Mike Sullivan,T2,71-70-65-71-68,345,"24,200.00"
