World rank,City,Country,City population,Metro population,Mayor
64,KABUL,Afghanistan,"3,586,000","4,000,000",Mohammad Yunus Noandesh
211,ALGIERS,Algeria,"1,520,000","3,354,000",Tayeb Zitouni
547,Oran,Algeria,"683,000","772,000",Saddek Benkada
41,LUANDA,Angola,"4,799,000","5,500,000",Josй Maria Ferraz dos Santos
6,BUENOS AIRES,Argentina,"11,655,000","12,924,000",Mauricio Macri
288,Cordoba,Argentina,"1,310,000","1,528,000",Daniel Giacomino
307,La Matanza,Argentina,"1,255,000",,n/k
343,Rosario,Argentina,"1,160,000","1,358,000",Miguel Lifschitz
535,La Plata,Argentina,"710,000","833,000",Pablo Bruera
n/r,Tucuman,Argentina,"528,000","830,000",Domingo Amaya
n/r,Mendoza,Argentina,"113,000","849,000",Vнctor Fayad
365,YEREVAN,Armenia,"1,108,000","1,246,000",Gagik Beglaryan
48,Sydney,Australia,"4,400,000",,Clover Moore
61,Melbourne,Australia,"3,635,000","3,3635,000",Robert Doyle
193,Perth,Australia,"1,603,000",,Lisa Scaffidi
204,Brisbane,Australia,"1,544,000","1,544,000",Campbell Newman
296,Adelaide,Australia,"1,290,000",,Stephen Yarwood
180,VIENNA,Austria,"1,681,000","2,269,000",Michael Hдupl
138,BAKU,Azerbaijan,"2,040,000","2,072,000",Hajibala Abutalybov
19,DHAKA,Bangladesh,"7,940,000","12,797,000",Sadeque Hossain Khosa
100,Chittagong,Bangladesh,"2,580,000","3,858,000",Mohammed Manjur Alam
463,Khulna,Bangladesh,"856,000","1,388,000",Talukder Abdul Khaleque
155,MINSK,Belarus,"1,831,000",,Nikolai Ladutko
427,BRUSSELS,Belgium,"958,000","1,740,000",Freddy Thielemans
n/r,Antwerp,Belgium,"444,000","948,000",Patrick Janssens
n/r,Gent,Belgium,"233,000",,Daniлl Termont
n/r,Bruges,Belgium,"117,000",,Patrick Moenaert
196,Santa Cruz,Bolivia,"1,595,000","1,863,000",Percy Fernandez
212,LA PAZ,Bolivia,"1,517,000","1,551,000",Luis Antonio Revilla Herrero
568,Cochabamba,Bolivia,"608,000","798,000",n/k
9,Sao Paulo,Brazil,"11,038,000","19,890,000",Gilberto Kassab
31,Rio de Janeiro,Brazil,"6,093,000","14,387,000",Eduardo Paes
79,Salvador da Bahia,Brazil,"2,998,000","3,173,000",Joгo Henrique Carneiro
108,Fortaleza,Brazil,"2,506,000","3,415,000",Luizianne Lins
114,Belo Horizonte,Brazil,"2,453,000","5,397,000",Marcio Lacerda
134,BRASILIA,Brazil,"2,089,000","2,090,000",Josй Roberto Arruda
153,Curitiba,Brazil,"1,851,000","3,261,000",Carlos Richa
173,Manaus,Brazil,"1,739,000","1,924,000",Amazonino Mendes
200,Recife,Brazil,"1,561,000","3,769,000",Joгo da Costa Bezerra Filho
251,Belem,Brazil,"1,409,000","1,913,000",Duciomar Costa
273,Porto Alegre,Brazil,"1,355,000","3,646,000",Josй Fortunati
300,Guarulhos,Brazil,"1,283,000","1,500,000",Sebastiгo Moreira
301,Goiania,Brazil,"1,282,000","2,064,000",Нris Rezende Machado
386,Campinas,Brazil,"1,059,000","3,200,000",Hйlio de Oliveira Santos
417,Sao Luis,Brazil,"987,000","1,228,000",Joгo Castelo
419,Sao Goncalo,Brazil,"973,000","1.221,000",n/k
437,Maceio,Brazil,"922,000","1,100,000",Josй Cнcero Soares de Almeida
453,Teresina,Brazil,"893,000","949,000",Silvio Mendes
462,Duque de Caxias,Brazil,"864,000","1,000,000",Josй Camilo Zito dos Santos Filho
469,Nova Iguacu,Brazil,"846,000","959,000",Lindberg Farias
