Dauer,Geb?udename,Stadt,Etagen,H?he
2007 - Heute,Burj Khalifa,Dubai,163,828 m
2004 - 2007,Taipei 101,Taipei,101,509 m
1998 - 2004,Petronas Towers,Kuala Lumpur,88,452 m
1974 - 1998,Willis Tower,Chicago,108,442 m
1972 - 1974,World Trade Center,New York City,110,417 m
1931 - 1972,Empire State Building,New York City,102,381 m
1930 - 1931,Chrysler Building,New York City,77,319 m
1930 - 1930,The Trump Building,New York City,70,283 m
1913 - 1930,Woolworth Building,New York City,57,241 m
1909 - 1913,Metropolitan Life Tower,New York City,50,213 m
1908 - 1909,Singer Building,New York City,47,187 m
1901 - 1908,Philadelphia City Hall,Philadelphia,9,167 m
