Anaximander,c. 611-547 B.C.,
Pythagoras,c. 581-497 B.C.,
Hippocrates of Cos,c. 460-377 B.C.,
Democritus of Abdera,c. 460-370 B.C.,
Plato,c. 427-347 B.C.,Platonism / Greek philosophy
Aristotle,c. 384-322 B.C.,Platonism / Greek philosophy
Euclid,c. 330-260 B.C.,Platonism / Greek philosophy
Archimedes,c. 287-212 B.C.,Greek philosophy
Hipparchus,c. 170-125 B.C.,
Zhang Heng,78-139 A.D.,
Ptolemy,90-168 A.D.,
Galen of Pergamum,130-201 A.D.,
Al-Khwarizmi,800-850,Islam
Johannes Gutenberg,1400-1468,Catholic
Leonardo da Vinci,1452-1519,Catholic
Nicolas Copernicus,1473-1543,Catholic (priest)
Andreas Vesalius,1514-1564,Catholic
William Gilbert,1540-1603,
Francis Bacon,1561-1626,Anglican
Galileo Galileo,1564-1642,Catholic
Johannes Kepler,1571-1630,Lutheran
William Harvey,1578-1657,Anglican (nominal)
Johann van Helmont,1579-1644,
Rene Descartes,1596-1650,Catholic
Blaise Pascal,1623-1662,Jansenist
Robert Boyle,1627-1691,Anglican
Christiann Huygens,1629-1695,Calvinist
Anton van Leeuwenhoek,1632-1723,Dutch Reformed
Robert Hooke,1635-1703,Anglican
Sir Isaac Newton,1642-1727,"Anglican (rejected Trinitarianism, i.e., Athanasianism; believed in the Arianism of the Primitive Church)"
Edmund Halley,1656-1742,
Thomas Newcomen,1663-1729,Baptist
Daniel Fahrenheit,1686-1736,
Benjamin Franklin,1706-1790,Presbyterian; Deist
Joseph Black,1728-1799,
Henry Cavendish,1731-1810,
Joseph Priestley,1733-1804,Unitarian
James Watt,1736-1819,Presbyterian (lapsed)
Charles de Coulomb,1736-1806,
Joseph Montgolfier,1740-1810,
Karl Wilhelm Scheele,1742-1786,
Antoine Lavoisier,1743-1794,Catholic
Count Alessandro Volta,1745-1827,Catholic
Edward Jenner,1749-1823,Anglican
John Dalton,1766-1844,Quaker
Andre-Marie Ampere,1755-1836,
Amedo Avogadro,1776-1856,Catholic
Joseph Gay-Lussac,1778-1850,
Charles Babbage,1791-1871,Anglican
Michael Faraday,1791-1867,Sandemanian
Charles Darwin,1809-1881,Anglican (nominal); Unitarian
James Joule,1818-1920,
Louis Pasteur,1822-1895,Catholic
Johann Gregor Mendel,1822-1884,Catholic (Augustinian monk)
Jean-Joseph Lenoir,1822-1900,
Lord Kelvin,1824-1907,Anglican
James Clerk Maxwell,1831-1879,Presbyterian; Anglican; Baptist
Alfred Nobel,1833-1896,
Wilhelm Gottlieb Daimler,1834-1900,
Dmitri Mendeleev,1834-1907,
Wilhelm Conrad Roentgen,1845-1923,
Thomas Alva Edison,1847-1931,Congregationalist; agnostic
Alexander Graham Bell,1847-1922,Unitarian/Universalist
Antoine-Henri Becquerel,1852-1908,Catholic
Paul Ehrlich,1854-1915,Jewish
Nikola Tesla,1856-1943,
Sir John Joseph Thomson,1856-1940,
Sigmund Freud,1856-1939,Jewish; Atheist; Freudian psychoanalysis (Freudianism)
Heinrich Rudolf Hertz,1857-1894,Lutheran
Max Planck,1858-1947,Protestant
Leo Baekeland,1863-1944,
Thomas Hunt Morgan,1866-1945,
Marie Curie,1867-1934,Catholic (lapsed)
Ernest Rutherford,1871-1937,
The Wright Brothers,Wilbur: 1867-1912; Orville: 1871-1948,United Brethren
Guglielmo Marconi,1847-1937,Catholic and Anglican
Frederick Soddy,1877-1956,
Albert Einstein,1879-1955,Jewish
Alexander Fleming,1881-1955,Catholic
Robert Goddard,1882-1945,
Neils Bohr,1885-1962,Jewish Lutheran
Erwin Schrodinger,1887-1961,Catholic
Henry Moseley,1887-1915,
Edwin Hubble,1889-1953,
Sir James Chadwick,1891-1974,
Frederick Banting,1891-1941,
Louis de Broglie,1892-1987,
Enrico Fermi,1901-1954,Catholic
Werner Heisenberg,1901-1954,Lutheran
Linus Carl Pauling,1901-1994,Lutheran
Robert Oppenheimer,1904-1967,Jewish
Sir Frank Whittle,1907-1996,
Edward Teller,1908-,Jewish
William Shockley,1910-1989,
Alan Turing,1912-1954,Jewish
Jonas Salk,1914-1995,Jewish
Rosalind Franklin,1920-1958,Jewish
James Dewey Watson,1928-,
Stephen Hawking,1942-,atheist
Tim Berners-Lee,1955-,Unitarian
