Political Party,Appropriate Officer,Total value of donations disclosed
Christian Democrats (The National Party),Mr. Daniel J.Desmond,Nil
Christian Solidarity Party,Mr. Michael Redmond,Nil
Communist Party of Ireland,Mr. Eugene McCartan,Nil
Fianna Fбil,Mr. Seбn Dorgan,Nil
Fine Gael,Mr. Tom Curran,Nil
Green Party,Mr. Martin C. Nolan,"30,600"
Labour Party,Mr. Mike Allen,"11,100"
Progressive Democrats,Mr. John Higgins,Nil
Sinn Fйin,Mr. Desmond Mackin,"87,233.80"
Socialist Party,Mr. Michael Murphy,"11,819.55"
Socialist Workers Party,Ms. Brнd Smith,Nil
South Kerry Independent Alliance,Mr. Donie Doody,Nil
The Workers Party,Mr. John Lowry,Nil
Total,,"140,753.35"
