World rank,City,Country,City population,Metro population,Mayor
n/r,Sacramento,USA,"419,000","1,000,000",Kevin Johnson
432,Safi,Morocco,"933,000",,n/k
n/r,Saint Louis,USA,"371,000","2,850,000",Francis G. Slay
334,Saitama,Japan,"1,183,000",,Hayato Shimizu
470,Sakai,Japan,"836,000",,Keisuke Kiharac
446,Salé,Morocco,"904,000",,n/k
n/r,Salt Lake City,USA,"188,000","1,677,000",Ralph Becker
79,Salvador da Bahia,Brazil,"2,998,000","3,173,000",João Henrique Carneiro
344,Samara,Russia,"1,160,000","1,500,000",Viktor Tarkhov
276,San Antonio,USA,"1,351,000","2,031,000",Julian Castro
305,San Diego,USA,"1,280,000","3,001,000",Jerry Sanders
491,San Francisco,USA,"809,000","3,229,000",n/k
n/r,SAN JOSE,Costa Rica,"357,000","1,370,000",Johnny Araya
409,San Jose,USA,"1,007,000","1,819,000",Chuck Reed
n/r,SAN JUAN,Puerto Rico,"442,000","2,500,000",Jorge A. Santini Padilla
544,San Luis Potosi,Mexico,"685,000","957,000",Jorge Lozano Armengol
n/r,SAN SALVADOR,El Salvador,"520,000","1,580,000",Norman Quijano
172,SANAA,Yemen,"1,747,000","2,168,000",Abdulrahman al-Akwaa
196,Santa Cruz,Bolivia,"1,595,000","1,863,000",Percy Fernandez
35,SANTIAGO,Chile,"5,278,000","6,677,000",Pablo Zalaquett Said
284,Santiago de los Caballeros,Dominican Republic,"1,329,000","1,937.000",Gilberto Serulle
494,Santiago de Queretaro,Mexico,"805,000","1,085,000",Francisco Domínguez Servien
80,SANTO DOMINGO,Dominican Republic,"2,989,000","3,813,000",Roberto Salcedo
n/r,Santos,Brazil,"418,000","1,477,000",João Paulo Tavares Papa
507,Sao Bernardo do Campo,Brazil,"783,000",,Luiz Marinho
419,Sao Goncalo,Brazil,"973,000","1.221,000",n/k
567,Sao Jose dos Campos,Brazil,"611,000","794,000",Eduardo Cury
417,Sao Luis,Brazil,"987,000","1,228,000",João Castelo
9,Sao Paulo,Brazil,"11,038,000","19,890,000",Gilberto Kassab
148,Sapporo,Japan,"1,906,000","2,130,000",Fumio Ueda
472,Saratov,Russia,"831,000","1,100,000",Vyacheslav Leonovich Somov
581,Seattle,USA,"578,000","3,584,000",Mike McGinn
259,Semarang,Indonesia,"1,393,000","1,400,000",Soemarmo HS
396,Sendai,Japan,"1,032,000","1,300,000",Emiko Okuyama
379,Seongnam,South Korea,"1,073,000",,n/k
