Fans' Rank,Title,Year,Director(s),Overall Rank
201,The Grand Illusion,1937,Jean Renoir,90
202,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,176
203,Cinema Paradiso,1988,Giuseppe Tornatore,192
204,American Graffiti,1973,George Lucas,198
205,Traffic,2000,Steven Soderbergh,713
206,His Girl Friday,1940,Howard Hawks,72
207,The Breakfast Club,1985,John Hughes,346
208,Aguirre: The Wrath of God,1972,Werner Herzog,188
209,Dead Poets Society,1989,Peter Weir,384
210,Rosemary's Baby,1968,Roman Polanski,193
211,The Thin Red Line,1998,Terrence Malick,357
212,Blazing Saddles,1974,Mel Brooks,224
213,Wild Strawberries,1957,Ingmar Bergman,208
214,Deliverance,1972,John Boorman,326
215,Animal House,1978,John Landis,299
216,The Gold Rush,1925,Charles Chaplin,97
217,The Thing,1982,John Carpenter,210
218,Toy Story 2,1999,John Lasseter,268
219,Nosferatu,1922,F.W. Murnau,105
220,The Lion King,1994,Roger Allers and Rob Minkoff,270
221,Apollo 13,1995,Ron Howard,485
222,All the President's Men,1976,Alan J. Pakula,277
223,M*A*S*H,1970,Robert Altman,128
224,Kill Bill: Vol. 2,2004,Quentin Tarantino,701
225,Miller's Crossing,1990,Joel Coen,460
226,Eyes Wide Shut,1999,Stanley Kubrick,853
227,As Good as It Gets,1997,James L. Brooks,635
228,True Romance,1993,Tony Scott,430
229,Night of the Living Dead,1968,George A. Romero,139
230,Sunrise,1927,F.W. Murnau,99
231,All Quiet on the Western Front,1930,Lewis Milestone,146
232,"O Brother, Where Art Thou?",2000,Joel Coen,776
233,Shrek,2001,Andrew Adamson and Vicky Jenson,284
234,Snatch.,2000,Guy Ritchie,1088
235,When Harry Met Sally?,1989,Rob Reiner,167
236,The Hustler,1961,Robert Rossen,222
237,The Blues Brothers,1980,John Landis,293
238,Rushmore,1998,Wes Anderson,286
239,A Christmas Story,1983,Bob Clark,642
240,Goldfinger,1964,Guy Hamilton,186
241,Barry Lyndon,1975,Stanley Kubrick,355
242,From Here to Eternity,1953,Fred Zinnemann,220
243,Three Colors: Red,1994,Krzysztof Kieslowski,232
244,Dawn of the Dead,1978,George A. Romero,216
245,Shakespeare in Love,1998,John Madden,244
246,The Last Picture Show,1971,Peter Bogdanovich,325
247,Nashville,1975,Robert Altman,86
248,Doctor Zhivago,1965,David Lean,191
249,Tokyo Story,1953,Yasujiro Ozu,110
250,Dirty Harry,1971,Don Siegel,255
251,Chasing Amy,1997,Kevin Smith,1430
252,Jackie Brown,1997,Quentin Tarantino,927
253,Tootsie,1982,Sydney Pollack,197
254,Yojimbo,1961,Akira Kurosawa,342
255,Snow White and the Seven Dwarfs,1937,David Hand,89
256,The Godfather: Part III,1990,Francis Ford Coppola,432
257,"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,740
258,The Producers,1968,Mel Brooks,184
259,Who Framed Roger Rabbit,1988,Robert Zemeckis,367
260,Spirited Away,2001,Hayao Miyazaki,174
261,Natural Born Killers,1994,Oliver Stone,759
262,The Road Warrior,1981,George Miller,306
263,Ikiru,1952,Akira Kurosawa,331
264,Wings of Desire,1987,Wim Wenders,195
265,Spider-Man,2002,Sam Raimi,501
266,The Royal Tenenbaums,2001,Wes Anderson,516
267,Gandhi,1982,Richard Attenborough,251
268,Easy Rider,1969,Dennis Hopper,160
269,Bride of Frankenstein,1935,James Whale,121
270,A Hard Day's Night,1964,Richard Lester,157
271,Who's Afraid of Virginia Woolf?,1966,Mike Nichols,476
272,Stagecoach,1939,John Ford,106
273,Sling Blade,1996,Billy Bob Thornton,826
274,Blow-Up,1966,Michelangelo Antonioni,266
275,Dumb & Dumber,1994,Peter Farrelly,1311
276,Frankenstein,1931,James Whale,137
277,Children of Paradise,1945,Marcel Carn?,129
278,The Adventures of Robin Hood,1938,Michael Curtiz and William Keighley,153
279,My Fair Lady,1964,George Cukor,164
280,Badlands,1973,Terrence Malick,249
281,Lost in Translation,2003,Sofia Coppola,254
282,Being There,1979,Hal Ashby,459
283,Office Space,1999,Mike Judge,774
284,Breakfast at Tiffany's,1961,Blake Edwards,203
285,La Strada,1954,Federico Fellini,243
286,Andrei Rublev,1966,Andrei Tarkovsky,236
287,The Pianist,2002,Roman Polanski,470
288,Willy Wonka & the Chocolate Factory,1971,Mel Stuart,348
289,The Player,1992,Robert Altman,492
290,The English Patient,1996,Anthony Minghella,231
291,L'Avventura,1960,Michelangelo Antonioni,196
292,A Few Good Men,1992,Rob Reiner,1183
293,Hannah and Her Sisters,1986,Woody Allen,354
294,Jerry Maguire,1996,Cameron Crowe,304
295,Indiana Jones and the Temple of Doom,1984,Steven Spielberg,676
296,The Insider,1999,Michael Mann,647
297,Minority Report,2002,Steven Spielberg,796
298,The Texas Chain Saw Massacre,1974,Tobe Hooper,233
299,Grease,1978,Randal Kleiser,187
300,Superman,1978,Richard Donner,272
