Common Name (Animals),Scientific Name,Category
Acadian flycatcher,Empidonax virescens,Bird
Alder flycatcher,Empidonax alnorum,Bird
American burying beetle,Nicrophorus americanus,Insect
American coot,Fulica americana,Bird
American crow,Corvus brachyrhynchos,Bird
American eel,Anguilla rostrata,Fish
American goldfinch,Carduelis tristis,Bird
American kestrel,Falco sparverius,Bird
American redstart,Setophaga ruticilla,Bird
American robin,Turdus migratorius,Bird
American tree sparrow,Spizella arborea,Bird
American wigeon,Anas americana,Bird
American woodcock,Scolopax minor,Bird
Asiatic clam,Corbicula fluminea,Mussel
Bachman's sparrow,Aimophila aestivalis,Bird
Bald eagle,Haliaeetus leucocephalus,Bird
Baltimore oriole,Icterus galbula,Bird
Banded darter,Etheostoma zonale,Fish
Banded sculpin,Cottus carolinae,Fish
Barn owl,Tyto alba,Bird
Barn swallow,Hirundo rustica,Bird
Barred owl,Strix varia,Bird
Bay-breasted warbler,Dendroica castanea,Bird
Beaver,Castor canadensis,Mammal
Bell's vireo,Vireo bellii,Bird
Belted kingfisher,Ceryle alcyon,Bird
Bewick's wren,Thryomanes bewickii,Bird
Big brown bat,Eptesicus fuscus,Mammal
Bigeye shiner,Notropis boops,Fish
Bison,Bison bison,Mammal
Black bear,Ursus americanus,Mammal
Black bullhead,Ameiurus melas,Fish
Black crappie,Pomoxis nigromaculatus,Fish
Black rat snake,Elaphe obsoleta obsoleta,Reptile
Black redhorse,Moxostoma duquesnei,Fish
Black sandshell,Ligumia recta,Mussel
Black-and-white warbler,Mniotilta varia,Bird
Black-billed cuckoo,Coccyzus erythropthalmus,Bird
Blackburnian warbler,Dendroica fusca,Bird
Black-capped chickadee,Parus atricapillus,Bird
Black-crowned night heron,Nycticorax nycticorax,Bird
Blacknose shiner,Notropis heterolepis,Fish
Blackpoll warbler,Dendroica striata,Bird
Blackspotted topminnow,Fundulus olivaceus,Fish
Black-throated green warbler,Dendroica virens,Bird
Blanchard's cricket frog,Acris crepitans blanchardi,Amphibian
Bleeding shiner,Luxilus zonatus,Fish
Blue grosbeak,Guiraca caerulea,Bird
Blue jay,Cyanocitta cristata,Bird
Bluegill,Lepomis macrochirus,Fish
Blue-gray gnatcatcher,Polioptila caerulea,Bird
Bluestripe darter,Percina cymatotaenia,Fish
Blue-winged teal,Anas discors,Bird
Blue-winged warbler,Vermivora pinus,Bird
Bluntnose minnow,Pimephales notatus,Fish
Bobolink,Dolichonyx oryzivorus,Bird
Broadhead skink,Eumeces laticeps,Reptile
Broad-winged hawk,Buteo platypterus,Bird
Brook silverside,Labidesthes sicculus,Fish
Brown creeper,Certhia americana,Bird
Brown thrasher,Toxostoma rufum,Bird
Brown-headed cowbird,Molothrus ater,Bird
Bufflehead,Bucephala albeola,Bird
Bull frog,Rana catesbeiana,Amphibian
Bullsnake,Pituophis melanoleucus sayi,Reptile
Canada goose,Branta canadensis,Bird
Canada warbler,Wilsonia canadensis,Bird
Canvasback,Aythya valisineria,Bird
Carolina chickadee,Parus carolinensis,Bird
Carolina wren,Thryothorus ludovicianus,Bird
Caspian tern,Sterna caspia,Bird
Cattle egret,Bubulcus ibis,Bird
Cave salamander,Eurycea lucifuga,Amphibian
Cedar waxwing,Bombycilla cedrorum,Bird
Central Missouri cave amphipod,Allocrangonyx hubrichti,Crustacean
Central newt,Notophthalamus viridescens louisianensis,Amphibian
Central stoneroller,Campostoma anomalum,Fish
Cerulean warbler,Dendroica cerulea,Bird
Channel catfish,Ictalurus punctatus,Fish
Chestnut lamprey,Ichthyomyzon castaneus,Fish
Chestnut-sided warbler,Dendroica pensylvanica,Bird
Chimney swift,Chaetura pelagica,Bird
Chipping sparrow,Spizella passerina,Bird
Chuck-will's-widow,Caprimulgus carolinensis,Bird
Cliff swallow,Hirundo pyrrhonota,Bird
Common carp,Cyprinus carpio,Fish
Common goldeneye,Bucephala clangula,Bird
Common grackle,Quiscalus quiscula,Bird
Common loon,Gavia immer,Bird
Common map turtle,Graptemys geographica,Reptile
Common merganser,Mergus merganser,Bird
Common moorhen,Gallinula chloropus,Bird
Common musk turtle,Sternotherus odoratus,Reptile
Common nighthawk,Chordeiles minor,Bird
Common snapping turtle,Chelydra serpentina serpentina,Reptile
Common snipe,Gallinago gallinago,Bird
Common yellowthroat,Geothlypis trichas,Bird
Connecticut warbler,Oporornis agilis,Bird
Cooper's hawk,Accipiter cooperii,Bird
Creek chub,Semotilus atromaculatus,Fish
Dark-eyed junco,Junco hyemalis,Bird
Dark-sided salamander,Eurycea longicauda melanopleura,Amphibian
Deer mouse,Peromyscus maniculatus,Mammal
Devil crayfish,Cambarus diogenes,Crustacean
Dickcissel,Spiza americana,Bird
Double-crested cormorant,Phalacrocorax auritus,Bird
Downy woodpecker,Picoides pubescens,Bird
Dwarf American toad,Bufo americanus charlesmithi,Amphibian
Eastern bluebird,Sialia sialis,Bird
Eastern chipmunk,Tamias striatus,Mammal
Eastern coachwhip,Masticophis flagellum flagellum,Reptile
Eastern collared lizard,Crotaphytus collaris collaris,Reptiles
Eastern cottontail,Sylvilagus floridanus,Mammal
Eastern garter snake,Thamnophis sirtalis sirtalis,Reptile
Eastern gray treefrog,Hyla versicolor,Amphibian
Eastern hellbender,Cryptobranchus alleganiensis alleganiensis,Amphibian
Eastern hognose snake,Heterodon platirhinos,Reptile
Eastern kingbird,Tyrannus tyrannus,Bird
Eastern meadowlark,Sturnella magna,Bird
Eastern narrowmouth toad,Gastrophryne carolinensis,Amphibian
Eastern phoebe,Sayornis phoebe,Bird
Eastern pipistrelle,Pipistrellus subflavus,Mammal
Eastern screech-owl,Otus asio,Bird
Eastern small-footed myotis,Myotis leibii,Mammal
Eastern spiny softshell,Apalone spinifer spinifer,Reptile
Eastern tiger salamander,Ambystoma tigrinum tigrinum,Amphibian
Eastern towhee,Pipilo erythrophthalmus,Bird
Eastern wood rat,Neotoma floridana,Mammal
Eastern wood-pewee,Contopus virens,Bird
Eastern yellowbelly racer,Coluber constrictor flaviventris,Reptile
Elk,Cervus elaphus,Mammal
Elktoe,Alasmidonta marginata,Mollusk
Ellipse,Venustaconcha ellipsiformis,Mussel
European starling,Sturnus vulgaris,Bird
Evening grosbeak,Coccothraustes vespertinus,Bird
False map turtle,Graptemys p. pseudogeographica,Reptile
Fantail darter,Etheostoma flabellare,Fish
Fathead minnow,Pimephales promelas,Fish
Fatmucket or eastern lampmussel,Lampsilis siliquoidea (=radiata),Mussel
Field sparrow,Spizella pusila,Bird
Five-lined skink,Eumeces fasciatus,Reptile
Flathead catfish,Pylodictis olivaris,Fish
Flathead snake,Tantilla gracilis,Reptile
Fluted-shell,Lasmigona costata,Mussel
Forster's tern,Sterna forsteri,Bird
Four-toed salamander,Hemidactylium scutatum,Amphibian
Fowler's toad,Bufo woodhousei fowleri,Amphibian
Fox sparrow,Passerella iliaca,Bird
Fragile papershell,Leptodea fragilis,Mussel
Freshwater drum,Aplodinotus grunniens,Fish
Gadwall,Anas strepera,Bird
Giant floater,Pyganodon (=Anodonta) grandis,Mussel
Gilt darter,Percina evides,Fish
Gizzard shad,Dorosoma cepedianum,Fish
Golden crayfish,Orconectes luteus,Crustacean
Golden eagle,Aquila chrysaetos,Bird
Golden mouse,Ochrotomys nuttalli,Mammal
Golden redhorse,Moxostoma erythrurum,Fish
Golden shiner,Notemigonus crysoleucas,Fish
Golden-crowned kinglet,Regulus satrapa,Bird
Golden-winged warbler,Vermivora chrysoptera,Bird
Goldfish,Carassius auratus,Fish
Grasshopper sparrow,Ammodramus savannarum,Bird
Gravel chub,Erimystax x-punctatus,Fish
Gray bat,Myotis grisecens,Mammal
Gray catbird,Dumetella carolinensis,Bird
Gray wolf,Canis lupus,Mammal
Graybelly salamander,Eurycea multiplicata griseogaster,Amphibian
Gray-cheeked thrush,Catharus minimus,Bird
Great blue heron,Ardea herodias,Bird
Great crested flycatcher,Myiarchus crinitus,Bird
Great egret,Ardea albus,Bird
Great horned owl,Bubo virginianus,Bird
Great Plains rat snake,Elaphe guttata emoryi,Reptile
Greater yellowlegs,Tringa melanoleuca,Bird
Green frog,Rana clamitans melanota,Amphibian
Green heron,Butorides virescens,Bird
Green sunfish,Lepomis cyanellus,Fish
Greenside darter,Etheostoma blennioides,Fish
Green-winged teal,Anas crecca,Bird
Grotto salamander,Typhlotriton spelaeus,Amphibian
Ground skink,Scincella lateralis,Reptile
Hairy woodpecker,Picoides villosus,Bird
Henslow's sparrow,Ammodramus henslowii,Bird
Hermit thrush,Catharus guttatus,Bird
Herring gull,Larus argentatus,Bird
Highfin carpsucker,Carpiodes velifer,Fish
Hooded merganser,Lophodytes cucullatus,Bird
Hooded warbler,Wilsonia citrina,Bird
Horned grebe,Podiceps auritus,Bird
Horned lark,Eremophila alpestris,Bird
Hornyhead chub,Nocomis biguttatus,Fish
House sparrow,Passera domesticus,Bird
House wren,Troglodytes aedon,Bird
Hybrid sunfish,Lepomis sp.,Fish
Indiana bat,Myotis sodalis,Mammal
Indigo bunting,Passerina cyanea,Bird
Kentucky warbler,Oporornis formosus,Bird
Killdeer,Charadrius vociferus,Bird
Largemouth bass,Micropterus salmoides,Fish
Largescale stoneroller,Campostoma oligolepis,Fish
Lark sparrow,Chondestes grammacus,Bird
Laughing gull,Larus atricilla,Bird
Least flycatcher,Empidonax minimus,Bird
Least sandpiper,Calidris minutilla,Bird
Lesser scaup,Aythya affinis,Bird
Lesser yellowlegs,Tringa flavipes,Bird
Little brown bat,Myotis lucifugus,Mammal
Loggerhead shrike,Lanius ludovicianus,Bird
Logperch,Percina caprodes,Fish
Longear sunfish,Lepomis megalotis,Fish
Longnose gar,Lepisosteus osseus,Fish
Long-tailed weasel,Mustela frenata,Mammal
Louisiana waterthrush,Seiurus motacilla,Bird
Magnolia warbler,Dendroica magnolia,Bird
Mallard,Anas platyrhynchos,Bird
Marbled salamander,Ambystoma opacum,Amphibian
Marsh wren,Cistothorus palustris,Bird
Merlin,Falco columbarius,Bird
Midland brown snake,Storeria dekayi wrightorum,Reptile
Midland smooth softshell,Apalone muticus muticus,Reptile
Mink,Mustela vison,Mammal
Missouri River cooter,Pseudemys concinna metteri,Reptile
Missouri saddled darter,Etheostoma tetrazonum,Fish
Monkeyface,Quadrula metanevra,Mussel
Mooneye,Hiodon tergisus,Fish
Mosquitofish,Gambusia affinis,Fish
Mountain lion,Felis concolor,Mammal
Mourning dove,Zenaida macroura,Bird
Mourning warbler,Oporornis philadelphia,Bird
Mucket,Actinonaias ligamentina,Mussel
Mudpuppy,Necturus maculosus,Amphibian
Muskrat,Ondatra zibethicus,Mammal
Nashville warbler,Vermivora ruficapilla,Bird
Northen spring peeper,Hyla crucifer crucifer,Amphibian
Northern bobwhite,Colinus virginianus,Bird
Northern broken-ray,Lampsilis reeviana brittsi,Mussel
Northern brook lamprey,Ichthyomyzon fossor,Fish
Northern cardinal,Cardinalis cardinalis,Bird
Northern fence lizard,Sceloporus undulatus hyacinthinus,Reptile
Northern flicker,Colaptes auratus,Bird
Northern harrier,Circus cyaneus,Bird
Northern hog sucker,Hypentelium nigricans,Fish
Northern mockingbird,Mimus polyglottos,Bird
Northern parula,Parula americana,Bird
Northern pintail,Anas acuta,Bird
Northern redbelly snake,Storeria occipitomaculata occipitomaculata,Reptile
Northern rough-winged swallow,Stelgidopteryx serripennis,Bird
Northern scarlet snake,Cemophora coccinea copei,Reptiles
Northern shoveler,Anas clypeata,Bird
Northern studfish,Fundulus catenatus,Fish
Northern water snake,Nerodia sipedon sipedon,Reptile
Northern waterthrush,Seiurus noveboracensis,Bird
Onondaga cave amphipod,Stygobromus onondagaensis,Crustacean
Orange-crowned warbler,Vermicora celata,Bird
Orangespotted sunfish,Lepomis humilis,Fish
Orangethroat darter,Etheostoma spectabile,Fish
Orchard oriole,Icterus spurius,Bird
Ornate box turtle,Terrapene ornata ornata,Reptile
Osage copperhead,Agkistrodon contortrix phaeogaster,Reptile
Osprey,Pandion haliaetus,Bird
Ouachita kidneyshell,Ptychobranchus occidentalis,Mussel
Ovenbird,Seiurus aurocapillus,Bird
Ozark broken-ray,Lampsilis reeviana brevicula,Mussel
Ozark minnow,Notropis nubilus,Fish
Ozark pigtoe,Fusconaia ozarkensis,Mussel
Ozark sculpin,Cottus hypselurus,Fish
Palm warbler,Dendroica palmarum,Bird
Paper pondshell,Utterbackia (=Anodonta) imbecillis,Mussel
Pickerel frog,Rana palustris,Amphibian
Pied-billed grebe,Podilymbus podiceps,Bird
Pileated woodpecker,Dryocopus pileatus,Bird
Pimpleback,Quadrula pustulosa,Mussel
Pine warbler,Dendroica pinus,Bird
Pink heelsplitter,Potamilus alatus,Mussel
Pistolgrip,Tritogonia verrucosa,Mussel
Plain pocketbook,Lampsilis cardium,Mussel
Plains topminnow,Fundulus sciadicus,Fish
Pondmussel,Ligumia subrostrata,Mussel
Prairie kingsnake,Lampropeltis calligaster calligaster,Reptile
Prairie racerunner,Cnemidophorus sexlineatus viridis,Reptile
Prairie ringneck snake,Diadophis punctatus arnyi,Reptile
Prairie vole,Microtus ochrogaster,Mammal
Prairie warbler,Dendroica discolor,Bird
Prothonotary warbler,Protonotaria citrea,Bird
Purple finch,Carpodacus purpureus,Bird
Purple martin,Progne subis,Bird
Purple wartyback,Cyclonaias tuberculata,Mussel
Quillback,Carpiodes cyprinus,Fish
Raccoon,Procyon lotor,Mammal
Rainbow darter,Etheostoma caeruleum,Fish
Rainbow trout,Oncorhynchus mykiss,Fish
Red milk snake,Lampropeltis triangulum syspila,Reptile
Red-bellied woodpecker,Melanerpes carolinus,Bird
Red-breasted nuthatch,Sitta canadensis,Bird
Red-eared slider,Trachemys scripta elegans,Reptile
Red-eyed vireo,Vireo olivaceus,Bird
Redfin shiner,Lythrurus umbratilis,Fish
Redhead,Aythya americana,Bird
Red-headed woodpecker,Melanerpes erythrocephalus,Bird
Redhorse sp.,Moxostoma sp.,Fish
Red-shouldered hawk,Buteo lineatus,Bird
Red-tailed hawk,Buteo jamaicensis,Bird
Red-winged blackbird,Agelaius phoeniceus,Bird
Ringed salamander,Ambystoma annulatum,Amphibian
Ring-necked duck,Aythya collaris,Bird
River carpsucker,Carpiodes carpio,Fish
River redhorse,Moxostoma carinatum,Fish
Rock bass,Ambloplites rupestris,Fish
Rock dove,Columba livia,Bird
Rose-breasted grosbeak,Pheucticus ludovicianus,Bird
Rosyface shiner,Notropis rubellus,Fish
Rough earth snake,Virginia striatula,Reptile
Rough green snake,Opheodrys aestivus,Reptile
Round pigtoe,Pleurobema coccineum,Mussel
Ruby-crowned kinglet,Regulus calendula,Bird
Ruby-throated hummingbird,Archilochus colubris,Bird
Ruddy duck,Oxyura jamaicensis,Bird
Ruffed grouse,Bonasa umbellus,Bird
Salem cave crayfish,Cambarus hubrichti,Crustacean
Sand shiner,Notropis stramineus,Fish
Savannah sparrow,Passerculus sandwichensis,Bird
Scarlet tanager,Piranga olivacea,Bird
Scissor-tailed flycatcher,Tyrannus forficatus,Bird
Sedge wren,Cistothorus platensis,Bird
Semipalmated sandpiper,Calidris pusilla,Bird
Sharp-shinned hawk,Accipiter striatus,Bird
Shorthead redhorse,Moxostoma macrolepidotum,Fish
Shortnose gar,Lepisosteus platostomus,Fish
Silver redhorse,Moxostoma anisurum,Fish
Skipjack herring,Alosa chrysochloris,Fish
Slender madtom,Noturus exilis,Fish
Slenderhead darter,Percina phoxocephala,Fish
Slippershell mussel,Alasmidonta viridis,Mussel
Smallmouth bass,Micropterus dolomieu,Fish
Smallmouth buffalo,Ictiobus bubalus,Fish
Snow goose,Chen caerulescens,Bird
Snowy egret,Egretta thula,Bird
Softshell turtles,Trionyx spp.,Reptile
Solitary vireo,Vireo solitarius,Bird
Song sparrow,Melospiza melodia,Bird
Sora,Porzana carolina,Bird
