Title,Publisher,North America,Europe,Japan,Cost,Size
11eyes CrossOver,5pb.,,,"2010-06-08June 8, 2010","?2,940JP",4.78 GB
50 Cent: Blood on the Sand,THQ,"2011-05-17May 17, 2011","2011-05-17May 17, 2011",,$59.99US,6.36 GB
A-Train HX,Artdink,,,"2009-12-16December 16, 2009","?3,990JP",567.28 MB
Absolute: Blazing Infinity,Idea Factory,,,"2009-12-22December 22, 2009","?2,940JP",2.13 GB
Adrenalin Misfits,Konami,"2011-08-09August 9, 2011",,,$39.99US,3.29 GB
Akatsuki no Amaneka to Aoi Kyojin,CyberFront Corporation,,,"2011-06-28June 28, 2011","?2,940JP",832.21 MB
Alan Wake,Microsoft Game Studios,"2010-11-23November 23, 2010","2010-11-23November 23, 2010",,$29.99US,6.23 GB
Alice: Madness Returns,Electronic Arts,"2011-12-13December 13, 2011","2011-12-13December 13, 2011",,$39.99US,5.41 GB
Alone in the Dark,Atari,"2011-02-22February 22, 2011","2011-02-22February 22, 2011",,$19.99US,6.46 GB
Apache: Air Assault,Activision,"2011-11-29November 29, 2011","2011-11-29November 29, 2011",,$49.99US,1.4 GB
Apocalypse: Desire Next,Idea Factory,,,"2010-01-26January 26, 2010","?2,940JP",4.12 GB
Armored Core 4,From Software,,,"2009-09-08September 8, 2009","?2,600JP",6.04 GB
Armored Core: For Answer,From Software,,,"2009-10-13October 13, 2009","?2,600JP",5.88 GB
Army of Two,Electronic Arts,"2009-10-20October 20, 2009","2009-10-20October 20, 2009","2010-03-02March 2, 2010",$19.99US,5.01 GB
Army of Two: The 40th Day,Electronic Arts,"2010-12-07December 7, 2010","2010-12-07December 7, 2010",,$19.99US,6.05 GB
Ashes Cricket 2009,Codemasters,,"2011-07-26July 26, 2011",,?17.99UK,2 GB
Assassin's Creed,Ubisoft,"2009-08-06August 6, 2009","2009-08-06August 6, 2009",,$19.99US,6.56 GB
Assassin's Creed II,Ubisoft,"2010-09-28September 28, 2010","2010-09-28September 28, 2010",,$19.99US,5.19 GB
Assassin's Creed: Brotherhood,Ubisoft,"2011-06-07June 7, 2011","2011-06-07June 7, 2011",,$39.99US,6.51 GB
Avatar: The Last Airbender ? The Burning Earth,THQ,"2010-03-23March 23, 2010",,,$19.99US,5 GB
Backbreaker,505 Games,"2012-01-03January 3, 2012","2012-01-03January 3, 2012",,$19.99US,1 GB
Backyard Sports: Rookie Rush,Atari,"2011-11-15November 15, 2011",,,$19.99US,1.07 GB
Backyard Sports: Sandlot Sluggers,Atari,"2011-11-01November 1, 2011",,,$19.99US,698.87 MB
Baja: Edge of Control,THQ,"2010-03-16March 16, 2010","2010-04-06April 6, 2010",,$19.99US,4 GB
Bakugan,Activision,"2011-10-18October 18, 2011","2011-10-18October 18, 2011",,$39.99US,3.13 GB
