,1998 Data Country,GDP Per Capita,GDP Growth Rate,GDP,Inflation,Population,Popul. Growth,Infant Mortality
1,United States,"$30,200",3.80%,"$8,083.0",2.00%,"270,311,756",0.87%,6.44
2,Norway,"$27,400",3.50%,$120.5,2.00%,"4,419,955",0.44%,5.01
3,Singapore,"$24,600",6.00%,$84.6,1.80%,"3,490,356",1.20%,3.87
4,Japan,"$24,500",0.90%,"$3,080.0",1.70%,"125,931,533",0.20%,4.10
5,U. A. Emirates,"$24,000",5.00%,$54.2,3.60%,"2,303,088",1.78%,14.77
6,Switzerland,"$23,800",0.40%,$172.4,-0.10%,"7,260,357",0.22%,4.92
7,Denmark,"$23,200",3.00%,$122.5,2.20%,"5,333,617",0.49%,5.17
8,Belgium,"$23,200",2.30%,$236.3,1.70%,"10,174,922",0.09%,6.27
9,France,"$22,700",2.30%,"$1,320.0",2.00%,"58,804,944",0.31%,5.69
10,Kuwait,"$22,300",1.00%,$46.3,3.20%,"1,913,285",4.10%,10.74
11,Netherlands,"$22,000",3.25%,$343.9,2.00%,"15,731,112",0.50%,5.17
12,Canada,"$21,700",3.50%,$658.0,1.80%,"30,675,398",1.09%,5.59
13,Italy,"$21,500",1.50%,"$1,240.0",1.90%,"56,782,748",-0.08%,6.40
14,Australia,"$21,400",3.30%,$394.0,1.00%,"18,613,087",0.93%,5.26
15,Austria,"$21,400",2.10%,$174.1,1.30%,"8,133,611",0.05%,5.16
16,United Kingdom,"$21,200",3.50%,"$1,242.0",3.10%,"58,970,119",0.25%,5.87
17,Germany (1),"$20,800",2.40%,"$1,740.0",1.80%,"82,079,454",0.02%,5.20
18,Finland,"$20,000",4.60%,$102.1,1.20%,"5,149,242",0.20%,3.82
19,Sweden,"$19,700",2.10%,$176.2,2.00%,"8,886,738",0.26%,3.93
20,Ireland,"$18,600",6.00%,$59.9,1.60%,"3,619,480",0.36%,6.04
21,New Zealand,"$17,700",2.50%,$63.4,2.00%,"3,625,388",1.04%,6.37
22,Israel,"$17,500",1.90%,$96.7,9.00%,"5,643,966",1.91%,8.02
23,Qatar,"$16,700",10.00%,$11.2,2.50%,"697,126",3.82%,18.09
24,Spain,"$16,400",3.30%,$642.2,2.10%,"39,133,996",0.08%,6.51
25,Portugal,"$15,200",3.30%,$149.5,2.30%,"9,927,556",-0.07%,6.87
26,Cyprus (2),"$15,000",2.50%,$9.8,3.50%,"614,165",0.55%,6.53
27,Taiwan,"$14,200",6.80%,$308.0,0.90%,"21,908,135",0.94%,6.34
28,"Korea, South","$13,700",6.00%,$631.2,5.00%,"46,416,796",1.01%,7.79
29,Bahrain,"$13,700",2.70%,$8.2,-0.20%,"616,342",2.09%,15.54
30,Greece,"$13,000",3.70%,$137.4,6.00%,"10,662,138",0.43%,7.26
31,Chile,"$11,600",7.10%,$168.5,6.00%,"14,787,781",1.27%,10.39
32,Malaysia,"$11,100",7.40%,$227.0,36.00%,"20,932,901",2.11%,22.45
33,Czech Republic,"$10,800",0.70%,$111.9,10.00%,"10,286,470",-0.11%,6.79
34,Trinidad&Tobago,"$10,400",3.10%,$13.2,3.40%,"1,116,595",-1.27%,18.84
35,Mauritius,"$10,300",5.40%,$11.7,6.50%,"1,168,256",1.20%,16.54
36,Saudi Arabia,"$10,300",4.00%,$206.5,0.00%,"20,785,955",3.41%,41.34
37,Slovenia,"$10,000",3.25%,$19.5,9.70%,"1,971,739",-0.08%,5.34
38,Argentina,"$9,700",8.40%,$348.2,0.30%,"36,265,463",1.30%,19.03
39,Uruguay,"$8,900",5.10%,$29.1,15.20%,"3,284,841",0.71%,14.11
40,Thailand,"$8,800",-0.40%,$525.0,5.60%,"60,037,366",0.97%,30.82
41,Slovakia,"$8,600",5.90%,$46.3,6.00%,"5,392,982",0.08%,9.73
42,Puerto Rico,"$8,600",3.00%,$32.9,5.50%,"3,857,070",0.68%,12.09
43,Venezuela,"$8,300",5.00%,$185.0,38.00%,"22,803,409",1.77%,27.52
44,Oman,"$8,000",3.50%,$17.2,1.00%,"2,363,591",3.45%,25.55
45,Mexico,"$7,700",7.30%,$694.3,15.70%,"98,552,776",1.77%,25.82
46,Hungary,"$7,400",4.40%,$73.2,18.00%,"10,208,127",-0.23%,9.70
47,Poland,"$7,250",6.90%,$280.7,15.00%,"38,606,922",-0.04%,13.18
48,Panama,"$6,700",3.60%,$18.0,1.20%,"2,735,943",1.56%,24.00
49,Libya,"$6,700",0.50%,$38.0,30.00%,"5,690,727",3.68%,55.81
50,Syria,"$6,600",4.60%,$106.1,15.00%,"16,673,282",3.23%,37.60
51,World,"$6,500",4.00%,"$38,000.0",25.00%,"5,926,466,814",1.30%,58.00
52,Estonia,"$6,450",10.00%,$9.3,11.20%,"1,421,335",-0.99%,13.98
53,Brazil,"$6,300",3.00%,"$1,040.0",4.80%,"169,806,557",1.24%,36.96
54,Colombia,"$6,200",3.10%,$231.1,17.70%,"38,580,949",1.89%,25.44
55,South Africa,"$6,200",3.00%,$270.0,9.70%,"42,834,520",1.42%,52.04
56,Turkey,"$6,100",7.20%,$388.3,99.00%,"64,566,511",1.60%,38.27
57,Tunisia,"$6,100",5.60%,$56.5,4.60%,"9,380,404",1.43%,32.64
58,Iran,"$5,500",3.20%,$371.2,23.00%,"68,959,931",2.04%,48.95
59,Costa Rica,"$5,500",3.00%,$19.6,11.20%,"3,604,642",1.95%,13.10
60,Romania,"$5,300",-6.60%,$114.2,151.00%,"22,395,848",-0.32%,18.83
61,Belarus,"$4,800",8.50%,$50.4,65.00%,"10,409,050",-0.05%,14.16
62,Jordan,"$4,800",5.30%,$20.7,3.00%,"4,434,978",2.54%,33.29
63,Dominican Rep.,"$4,700",7.00%,$38.3,10.90%,"7,998,766",1.63%,44.26
64,Russia,"$4,700",0.40%,$692.0,11.00%,"146,861,022",-0.31%,23.26
65,Indonesia,"$4,600",4.00%,$960.0,50.00%,"212,941,810",1.49%,59.23
66,Croatia,"$4,500",4.40%,$22.7,3.70%,"4,671,584",0.13%,8.00
67,Peru,"$4,420",7.30%,$110.2,6.70%,"26,111,110",1.97%,43.42
68,Egypt,"$4,400",5.20%,$267.1,4.90%,"66,050,004",1.86%,69.23
69,Lebanon,"$4,400",4.00%,$15.2,9.00%,"3,505,794",1.62%,31.64
70,Ecuador,"$4,400",3.40%,$53.4,31.00%,"12,336,572",1.86%,32.07
71,Latvia,"$4,260",6.00%,$10.4,7.40%,"2,385,396",-1.41%,17.44
72,Lithuania,"$4,230",6.00%,$15.4,8.60%,"3,600,158",-0.45%,14.75
73,Bulgaria,"$4,100",-7.40%,$35.6,1.00%,"8,240,426",-0.60%,12.78
74,Guatemala,"$4,000",4.10%,$45.8,9.00%,"12,007,580",2.71%,47.68
75,Algeria,"$4,000",2.50%,$120.4,7.00%,"30,480,793",2.14%,45.44
76,Paraguay,"$3,900",2.60%,$21.9,6.20%,"5,291,020",2.68%,37.39
77,Sri Lanka,"$3,800",6.00%,$72.1,9.60%,"18,933,558",1.12%,16.33
78,Swaziland,"$3,800",3.00%,$3.9,9.50%,"966,462",1.96%,103.37
79,Namibia,"$3,700",3.00%,$6.2,8.00%,"1,622,328",1.60%,66.76
80,Jamaica,"$3,660",-1.40%,$9.5,17.00%,"2,634,678",0.70%,14.47
81,Morocco,"$3,500",-2.20%,$107.0,3.00%,"29,114,497",1.89%,52.99
82,China,"$3,460",8.80%,"$4,250.0",2.80%,"1,236,914,658",0.83%,45.46
83,Armenia,"$2,750",2.70%,$9.5,13.20%,"3,421,775",-0.36%,40.77
84,Ukraine,"$2,500",-3.20%,$124.9,10.00%,"50,125,108",-0.64%,21.80
85,Moldova,"$2,400",-2.00%,$10.8,11.20%,"4,457,729",0.04%,43.72
86,Serbia,"$2,280",7.00%,$24.3,7.00%,"11,206,039",0.02%,17.11
87,Bosnia & Herzeg.,"$1,690",35.00%,$4.4,?,"3,365,727",3.63%,30.80
88,India,"$1,600",5.00%,"$1,534.0",7.00%,"984,003,683",1.71%,63.14
89,Georgia,"$1,570",11.80%,$8.1,7.10%,"5,108,527",-0.92%,51.07
90,Azerbaijan,"$1,460",5.80%,$11.9,3.70%,"7,855,576",0.70%,81.64
91,Albania,"$1,370",-8.00%,$4.5,40.00%,"3,330,754",0.97%,45.01
92,F.Y.R.O.M. (3),$960,1.50%,$2.0,3.50%,"2,009,387",0.68%,19.49
