Industry,Company/Organization,Video uses/ Type of video
Diversified Industrials,3M Co.,"Solutions videos, demo videos"
Aluminum,Alcoa Inc.,"Plant expansion, news, events, awards"
Consumer Finance,American Express Co.,-
Full Line Insurance,American International Group Inc.,-
Telecoms,AT&T Inc.,"New products, video share"
Institutional and Retail banking,Bank of America,"New products, commercials"
Aerospace & Defense,Boeing Co.,"Plane virtual tours, first flights, carrier takeoffs and landings"
Commercial Vehicles & Trucks,Caterpillar Inc.,Product commercials
Oil and gas,Chevron Corp.,"Technology overview, corporate news"
Banks,Citigroup Inc.,Community videos
Beverages,Coca-Cola Co.,"Product commercials, branding"
Commodity Chemicals,E.I. DuPont de Nemours & Co.,Product videos
Integrated Oil & Gas,Exxon Mobil Corp.,Math and science initiative
Diversified Industrials,General Electric Co.,"News, desalination project, jet engine composites, cleaner coal, etc."
Automobiles,General Motors Corp.,"President's message, car videos"
Diversified Computer Systems,Hewlett-Packard Co.,"Success stories, innovation, recycling cartridges, marketing a small business, HP Uncut, Enterprise TV"
Home improvement retailers,Home Depot Inc.,"HomeDepot.com/know-how, HomeDepot.com TV, instructional videos, kitchen project, flooring project, how-tos, product demos, news, volunteer projects, community"
Semiconductors,Intel Corp.,"Commercials, news, chip chat, behind the scenes, breakthroughs"
Computer Services,International Business Machines Corp.,"Videos in English, French, German, Italian, and Spanish, Video surveillance, crime and video, troubleshooting"
Pharmaceuticals,Johnson & Johnson,"Company videos, innovation videos, advertising videos"
Banks,JPMorgan Chase & Co.,"Financial services, online banking videos, video tours"
Restaurants & Bars,McDonald's Corp.,Happy meal movie trailers
Pharmaceuticals,Merck & Co. Inc.,"Merck manual, public health challenges"
Software,Microsoft Corp.,"Robotics studio tour, video tutorials, business solutions"
Pharmaceuticals,Pfizer Inc.,"Charlie Rose Science Series, video archive, Multimedia library behind login, video Webcast"
Non-Durable Household Products,Procter & Gamble Co.,"Product videos, fixodent.com, sustainability, special Olympics, community diversity"
"Aerospace, Heating/Cooling, Elevators",United Technologies Corp.,Shareholder reports (link broken)
Telecoms,Verizon Communications Inc.,"Video clips for phones, Vcast Mobile TV"
Broadline Retailers,Wal-Mart Stores Inc.,"Associates videos, sustainability, video center"
Broadcasting & Entertainment,Walt Disney Co.,"Entertainment, TV shows, movie trailers"
