Country Name (Click For Destination Guides),Capital City,Geographic Info (Click for info)
"Bahamas, The",Nassau,Geography of The Bahamas
Bahrain,Manama,Geography of Bahrain
Baker Island,none,Geography of Baker Island
Bangladesh,Dhaka,Geography of Bangladesh
Barbados,Bridgetown,Geography of Barbados
Bassas da India,none,Geography of Bassas Da India
Belarus,Minsk,Geography of Belarus
Belgium,Brussels,Geography of Belgium
Belize,Belmopan,Geography of Belize
Benin,Porto-Novo (official capital) Cotonou (seat of government),Geography of Benin
Bermuda,Hamilton,Geography of Bermuda
Bhutan,Thimphu,Geography of Bhutan
Bolivia,La Paz (seat of government); Sucre (legal capital and seat of judiciary),Geography of Bolivia
Bosnia and Herzegovina,Sarajevo,Geography of Bosnia & Herzegovina
Botswana,Gaborone,Geography of Botswana
Bouvet Island,none,Geography of Bouvet Island
Brazil,Brasilia,Geography of Brazil
British Virgin Islands,Road Town,Geography of British Virgin Islands
British Indian Ocean Territory,none,Geography of British Indian Ocean Territory
Brunei,Bandar Seri Begawan,Geography of Brunei
Bulgaria,Sofia,Geography of Bulgaria
Burkina Faso,Ouagadougou,Geography of Burkina Faso
Burma or Myanmar,Rangoon (regime refers to the capital as Yangon),Geography of Burma or Myanmar
Burundi,Bujumbura,Geography of Burundi
