Title,Author,Source
Adventures of Huckleberry Finn,Mark Twain,ALA [11]
The Adventures of Super Diaper Baby,Dav Pilkey,ALA [47]
The Adventures of Tom Sawyer,Mark Twain,ALA
Alice series,Phyllis Reynolds Naylor,ALA [2]
All the King's Men,Robert Penn Warren,Rad
Always Running,Luis J. Rodriguez,ALA [66]
American Psycho,Bret Easton Ellis,ALA
An American Tragedy,Theodore Dreiser,Rad
The Anarchist Cookbook,William Powell,ALA
Anastasia Again!,Lois Lowry,ALA [81]
And Tango Makes Three,Justin Richardson and Peter Parnell,ALA [9]
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,ALA [32]
Annie on My Mind,Nancy Garden,ALA
"Are You There God? It's Me, Margaret",Judy Blume,ALA [82]
Arming America,Michael Bellasiles,ALA [34]
Arizona Kid,Ron Koertge,ALA
As I Lay Dying,William Faulkner,Rad
Asking About Sex and Growing Up,Joanna Cole,ALA
Athletic Shorts,Chris Crutcher,ALA [38]
Beloved,Toni Morrison,ALA [24] /Rad
Black Boy,Richard Wright,ALA [67]
"Bless Me, Ultima",Rudolfo A. Anaya,ALA [39]
Blood and Chocolate,Annette Curtis Klause,ALA [54]
Blubber,Judy Blume,ALA [36]
The Bluest Eye,Toni Morrison,ALA [12]
The Boy Who Lost His Face,Louis Sachar,ALA [79]
Boys and Sex,Wardell Pomeroy,ALA
Brave New World,Aldous Huxley,ALA [37] /Rad
Bridge to Terabithia,Katherine Paterson,ALA [20]
Bumps in the Night,Harry Allard,ALA [83]
The Call of the Wild,Jack London,Rad
Captain Underpants,Dav Pilkey,ALA [10]
Carrie,Stephen King,ALA
The Catcher in the Rye,J. D. Salinger,ALA [19] /Rad
Catch-22,Joseph Heller,Rad
Cat's Cradle,Kurt Vonnegut,Rad
The Chocolate War,Robert Cormier,ALA [3]
Christine,Stephen King,ALA
A Clockwork Orange,Anthony Burgess,Rad
The Color Purple,Alice Walker,ALA [14] /Rad
Crazy Lady!,Jane Conly,ALA [42]
"Cross Your Fingers, Spit in Your Hat",Alvin Schwartz,ALA
Cujo,Stephen King,ALA
"Curses, Hexes and Spells",Daniel Cohen,ALA
Cut,Patricia McCormick,ALA [86]
Daddy's Roommate,Michael Willhoite,ALA
A Day No Pigs Would Die,Robert Newton Peck,ALA
The Dead Zone,Stephen King,ALA
Deenie,Judy Blume,ALA
Detour for Emmy,Marilyn Reynolds,ALA
The Drowning of Stephan Jones,Bette Greene,ALA
